"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Abdominal Aortic Aneurysm",NA,"AAA - Abdominal aortic aneurysm",NA,1,"Diseases of the Circulatory System",2,"5058441000006113","233985008","350581018","termsearch"
NA,"Abdominal Aortic Aneurysm",NA,"Abdominal aortic aneurysm",NA,1,"Diseases of the Circulatory System",2,"884601000006114","530151000000109","884601000006114","termsearch"
"","Abdominal Aortic Aneurysm","","aaa - abdominal aortic aneurysm without mention of rupture","AAA without leak or rupture (4)",1,"Diseases of the Circulatory System",2,"12759211000006117","530151000000109","1184101000000118","originalreadcode"
"","Abdominal Aortic Aneurysm","","abdominal aortic aneurysm without mention of rupture","AAA without leak or rupture (4)",1,"Diseases of the Circulatory System",2,"12718771000006116","530151000000109","1184111000000116","originalreadcode"
"","Abdominal Aortic Aneurysm","","tube graft abdominal aortic aneurysm (emergency)","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"12450841000006116","233377005","349694013","originalreadcode"
"","Abdominal Aortic Aneurysm","","y graft of abdominal aortic aneurysm (emergency)","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"12450041000006113","233374003","349689013","originalreadcode"
"7A11000","Abdominal Aortic Aneurysm","96654","Emerg repl aneurysm bifurc aorta by anast aorta to fem art","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"639641000006113","175283003","271421014","cleansedreadcode"
"7A11200","Abdominal Aortic Aneurysm","69922","Emerg repl aneurysm bifurc aorta by anast aorta to iliac a","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"639651000006110","265492000","394302013","cleansedreadcode"
"7A11211","Abdominal Aortic Aneurysm","92925","Y graft of abdominal Aortic aneurysm (emergency)","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"349689013","233374003","2669093011","cleansedreadcode"
"7A13.00","Abdominal Aortic Aneurysm","31613","Emergency replacement of aneurysmal segment of aorta","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"271446014","175297006","271446014","cleansedreadcode"
"7A13.11","Abdominal Aortic Aneurysm","17220","Emergency repair of aortic aneurysm","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"271447017","175297006","271447017","cleansedreadcode"
"7A13300","Abdominal Aortic Aneurysm","66232","Emerg replace aneurysm infrarenal aorta by anast aorta/aorta","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"639811000006110","175301002","271451015","cleansedreadcode"
"7A13400","Abdominal Aortic Aneurysm","54192","Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"639721000006114","123679006","192168019","cleansedreadcode"
"7A13411","Abdominal Aortic Aneurysm","63408","Tube graft abdominal Aortic aneurysm (emergency)","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"349694013","233377005","2669005014","cleansedreadcode"
"7A13y00","Abdominal Aortic Aneurysm","45477","Emergency replacement of aneurysmal segment of aorta OS","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"640221000006110","175297006","271446014","cleansedreadcode"
"7A13z00","Abdominal Aortic Aneurysm","45474","Emergency replacement of aneurysmal segment of aorta NOS","Emergency AAA repair (3)",1,"Diseases of the Circulatory System",2,"271456013","175297006","271446014","cleansedreadcode"
"G714.00","Abdominal Aortic Aneurysm","1867","Abdominal aortic aneurysm without mention of rupture","AAA without leak or rupture (4)",1,"Diseases of the Circulatory System",2,"300441019","233985008","350580017","cleansedreadcode"
"G714.11","Abdominal Aortic Aneurysm","17345","AAA - Abdominal aortic aneurysm without mention of rupture","AAA without leak or rupture (4)",1,"Diseases of the Circulatory System",2,"300442014","233985008","350580017","cleansedreadcode"
"G716.00","Abdominal Aortic Aneurysm","16034","Aortic aneurysm without mention of rupture NOS","AAA without leak or rupture (4)",1,"Diseases of the Circulatory System",2,"300447015","67362008","111949011","cleansedreadcode"
"G716000","Abdominal Aortic Aneurysm","40787","Thoracoabdominal aortic aneurysm, without mention of rupture","AAA without leak or rupture (4)",1,"Diseases of the Circulatory System",2,"300448013","233984007","350579015","cleansedreadcode"
