"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Abdominal Hernia","","abdominal cavity hernia nos","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"12728171000006111","611821000000102","1352731000000116","originalreadcode"
"","Abdominal Hernia","","inguinal hernia nos","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"12729371000006118","647891000000101","1425331000000116","originalreadcode"
"","Abdominal Hernia","","obturator hernia with obstruction","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"3498461000006119","61456005","102101010","originalreadcode"
"","Abdominal Hernia","","perineal hernia","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"1839131000006119","415074004","1839131000006119","originalreadcode"
"","Abdominal Hernia","","repair of epigastric hernia, unspecified","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"982791000006111","982791000006107","982791000006111","originalreadcode"
"","Abdominal Hernia","","repair of other hernia of abdominal wall nos","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"12720331000006113","553941000000103","1233391000000117","originalreadcode"
"","Abdominal Hernia","","repair of umbilical hernia nos","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"12725311000006112","634271000000109","1397951000000115","originalreadcode"
"","Abdominal Hernia","","repair of umbilical hernia using sutures","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"11904461000006119","719289004","172691000006112","originalreadcode"
"","Abdominal Hernia","","richter's hernia","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"12720011000006116","236020007","353793011","originalreadcode"
"","Abdominal Hernia","","sciatic hernia","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"12702521000006110","70911004","155671000006115","originalreadcode"
"","Abdominal Hernia","","ventral hernia nos","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"12730071000006111","618881000000107","1366951000000116","originalreadcode"
"25P..12","Abdominal Hernia","1559","O/E - hernia","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"411935016","275959004","411935016","cleansedreadcode"
"25P2.00","Abdominal Hernia","29341","O/E - reducible hernia","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"254465015","163317009","254465015","cleansedreadcode"
"25P3.00","Abdominal Hernia","29847","O/E - irreducible hernia","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"254466019","163318004","254466019","cleansedreadcode"
"25P4.00","Abdominal Hernia","31216","O/E - strangulated hernia","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"254467011","163319007","254467011","cleansedreadcode"
"25P5.00","Abdominal Hernia","29693","O/E-hernia-cough impulse shown","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"254468018","163320001","254468018","cleansedreadcode"
"25P6.00","Abdominal Hernia","52808","O/E-hernia descends to scrotum","Diagnosis of Abdominal Hernia",2,"Diseases of the Digestive System",3,"254469014","163321002","254469014","cleansedreadcode"
"7H10.00","Abdominal Hernia","17898","Simple excision of inguinal hernial sac","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"275293013","177854007","275293013","cleansedreadcode"
"7H10y00","Abdominal Hernia","59925","Other specified simple excision of inguinal hernial sac","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"275299012","177854007","275293013","cleansedreadcode"
"7H10z00","Abdominal Hernia","35236","Simple excision of inguinal hernial sac NOS","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"275300016","177854007","275293013","cleansedreadcode"
"7H11.00","Abdominal Hernia","3742","Primary repair of inguinal hernia","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"275301017","177860007","275301017","cleansedreadcode"
"7H11000","Abdominal Hernia","45687","Primary repair inguinal hernia using insert natural material","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"206021000006114","177861006","275303019","cleansedreadcode"
"7H11100","Abdominal Hernia","33485","Prim repair inguinal hernia using insert prosthet material","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"208951000006115","177862004","275306010","cleansedreadcode"
"7H11111","Abdominal Hernia","10139","Primary mesh repair of inguinal hernia","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"275307018","177862004","275307018","cleansedreadcode"
"7H11200","Abdominal Hernia","14670","Primary repair of inguinal hernia using sutures","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"410872018","274955000","410872018","cleansedreadcode"
"7H11211","Abdominal Hernia","34915","Bassini repair of inguinal hernia","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"411193014","275238003","411193014","cleansedreadcode"
"7H11212","Abdominal Hernia","94065","Ferguson repair of inguinal hernia","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"668811000006112","44558001","74324015","cleansedreadcode"
"7H11213","Abdominal Hernia","99143","McVay repair of inguinal hernia","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"714841000006112","44558001","74324015","cleansedreadcode"
"7H11214","Abdominal Hernia","36963","Shouldice repair of inguinal hernia","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"411194015","275239006","411194015","cleansedreadcode"
"7H11300","Abdominal Hernia","19219","Primary repair inguinal hernia & reduction of sliding hernia","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"206011000006118","177864003","275314016","cleansedreadcode"
"7H11400","Abdominal Hernia","33743","Endoscopic primary repair of inguinal hernia","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"275315015","177865002","275315015","cleansedreadcode"
"7H11500","Abdominal Hernia","9949","Bilateral inguinal hernia repair","Procedure for Abdominal Hernia",2,"Diseases of the Digestive System",3,"275316019","177866001","275316019","cleansedreadcode"
