"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"2FG5.00","Acne","17895","Acne scar","Diagnosis of Acne",3,"Skin conditions",15,"369523011","247459000","369523011","cleansedreadcode"
"M260.00","Acne","48105","Acne varioliformis","Diagnosis of Acne",3,"Skin conditions",15,"40135015","23894009","40135015","cleansedreadcode"
"M260000","Acne","10183","Acne frontalis","Diagnosis of Acne",3,"Skin conditions",15,"40136019","23894009","40136019","cleansedreadcode"
"M260z00","Acne","54566","Acne varioliformis NOS","Diagnosis of Acne",3,"Skin conditions",15,"399940016","23894009","40135015","cleansedreadcode"
"M260z11","Acne","20164","Acne necrotica","Diagnosis of Acne",3,"Skin conditions",15,"453041000006115","45072005","494096014","cleansedreadcode"
"M261.00","Acne","4065","Other acne","Diagnosis of Acne",3,"Skin conditions",15,"309109014","11381005","19696016","cleansedreadcode"
"M261000","Acne","379","Acne vulgaris","Diagnosis of Acne",3,"Skin conditions",15,"146927011","88616000","146927011","cleansedreadcode"
"M261011","Acne","8065","Blackhead","Diagnosis of Acne",3,"Skin conditions",15,"369535010","247467008","369535010","cleansedreadcode"
"M261012","Acne","15609","Comedo","Diagnosis of Acne",3,"Skin conditions",15,"221391000000119","238744006","357821013","cleansedreadcode"
"M261100","Acne","9008","Acne conglobata","Diagnosis of Acne",3,"Skin conditions",15,"70464010","42228007","70464010","cleansedreadcode"
"M261200","Acne","107861","Bromine acne","Diagnosis of Acne",3,"Skin conditions",15,"309114013","201215003","309114013","cleansedreadcode"
"M261300","Acne","55983","Chlorine acne","Diagnosis of Acne",3,"Skin conditions",15,"138786017","83684005","138786017","cleansedreadcode"
"M261400","Acne","67453","Iodine acne","Diagnosis of Acne",3,"Skin conditions",15,"309116010","201217006","309116010","cleansedreadcode"
"M261500","Acne","72243","Colloid acne","Diagnosis of Acne",3,"Skin conditions",15,"309117018","201218001","309117018","cleansedreadcode"
"M261600","Acne","1654","Cystic acne","Diagnosis of Acne",3,"Skin conditions",15,"22719019","13277001","22719019","cleansedreadcode"
"M261900","Acne","31828","Occupational acne","Diagnosis of Acne",3,"Skin conditions",15,"309119015","201220003","309119015","cleansedreadcode"
"M261A00","Acne","4360","Pustular acne","Diagnosis of Acne",3,"Skin conditions",15,"98310017","59172008","98310017","cleansedreadcode"
"M261B00","Acne","32041","Steroid acne","Diagnosis of Acne",3,"Skin conditions",15,"309121013","201222006","309121013","cleansedreadcode"
"M261C00","Acne","21182","Tropical acne","Diagnosis of Acne",3,"Skin conditions",15,"19014018","10954006","19014018","cleansedreadcode"
"M261F00","Acne","53994","Acne fulminans","Diagnosis of Acne",3,"Skin conditions",15,"8786013","4659007","8786013","cleansedreadcode"
"M261G00","Acne","43811","Acne agminata","Diagnosis of Acne",3,"Skin conditions",15,"357834014","238752009","357834014","cleansedreadcode"
"M261J00","Acne","34937","Acne necrotica","Diagnosis of Acne",3,"Skin conditions",15,"494096014","45072005","494096014","cleansedreadcode"
"M261X00","Acne","25590","Acne, unspecified","Diagnosis of Acne",3,"Skin conditions",15,"453121000006111","11381005","19696016","cleansedreadcode"
"M261z00","Acne","15655","Other acne NOS","Diagnosis of Acne",3,"Skin conditions",15,"309129010","11381005","19696016","cleansedreadcode"
"M26y200","Acne","9058","Giant comedo","Diagnosis of Acne",3,"Skin conditions",15,"43904014","403357002","1782404010","cleansedreadcode"
"Myu6800","Acne","52909","[X]Other acne","Diagnosis of Acne",3,"Skin conditions",15,"309361018","11381005","19696016","cleansedreadcode"
"Myu6F00","Acne","33367","[X]Acne, unspecified","Diagnosis of Acne",3,"Skin conditions",15,"309368012","11381005","19696016","cleansedreadcode"
"N25..00","Acne","25737","SAPHO syndrome Synov, Acne, Pustul, Hyperost, Osteomyelitis","Diagnosis of Acne",3,"Skin conditions",15,"161571000006113","60684003","100823019","cleansedreadcode"
"","Acne","","acne fulminans","Diagnosis of Acne",3,"Skin conditions",15,"982841000006114","982841000006105","982841000006114","originalreadcode"
NA,"Acne",NA,"Mild acne vulgaris",NA,3,"Skin conditions",15,"1930241000006118","1930241000006102","1930241000006118","termsearch"
NA,"Acne",NA,"Moderate acne vulgaris",NA,3,"Skin conditions",15,"1930251000006116","1930251000006100","1930251000006116","termsearch"
NA,"Acne",NA,"Severe acne vulgaris",NA,3,"Skin conditions",15,"1930261000006119","1930261000006103","1930261000006119","termsearch"
