"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Alcohol Misuse",NA,"Admitted to alcohol detoxification center",NA,4,"Mental Health Disorders",11,"4723831000006118","183486001","283558010","termsearch"
NA,"Alcohol Misuse",NA,"Alcohol consumption counseling",NA,4,"Mental Health Disorders",11,"6841781000006117","413473000","2532938013","termsearch"
NA,"Alcohol Misuse",NA,"Alcohol detoxification declined",NA,4,"Mental Health Disorders",11,"1779661000006118","1779661000006102","1779661000006118","termsearch"
NA,"Alcohol Misuse",NA,"Alcohol harm reduction program",NA,4,"Mental Health Disorders",11,"7798471000006110","720175009","3319642014","termsearch"
NA,"Alcohol Misuse",NA,"Alcohol reduction-maintain abstinence",NA,4,"Mental Health Disorders",11,"852381000006110","852381000006106","852381000006110","termsearch"
NA,"Alcohol Misuse",NA,"Alcohol withdrawal-induced convulsion",NA,4,"Mental Health Disorders",11,"5981291000006110","308742005","452062011","termsearch"
NA,"Alcohol Misuse",NA,"Alcoholic liver damage NOS",NA,4,"Mental Health Disorders",11,"886501000006115","589511000000102","886501000006115","termsearch"
NA,"Alcohol Misuse",NA,"Alcoholism counseling",NA,4,"Mental Health Disorders",11,"2885451000006111","24165007","40570014","termsearch"
NA,"Alcohol Misuse",NA,"Counseling about alcohol consumption",NA,4,"Mental Health Disorders",11,"6841791000006119","413473000","2692124018","termsearch"
NA,"Alcohol Misuse",NA,"Counselling about alcohol by other agencies",NA,4,"Mental Health Disorders",11,"8197801000006118","527961000000108","1179631000000113","termsearch"
NA,"Alcohol Misuse",NA,"Counselling about alcohol consumption",NA,4,"Mental Health Disorders",11,"6841801000006118","413473000","2692125017","termsearch"
NA,"Alcohol Misuse",NA,"Detoxication psychiatric therapy for alcoholism",NA,4,"Mental Health Disorders",11,"3545831000006115","64297001","2160425017","termsearch"
NA,"Alcohol Misuse",NA,"Detoxication therapy for alcoholism",NA,4,"Mental Health Disorders",11,"3545841000006113","64297001","106877013","termsearch"
NA,"Alcohol Misuse",NA,"Evidence of alcohol withdrawal",NA,4,"Mental Health Disorders",11,"940781000006116","940781000006100","940781000006116","termsearch"
NA,"Alcohol Misuse",NA,"In-house alcohol detoxification",NA,4,"Mental Health Disorders",11,"1878791000006112","1878791000006108","1878791000006112","termsearch"
NA,"Alcohol Misuse",NA,"Mental and behav dis due to use alcohol: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]",NA,4,"Mental Health Disorders",11,"1973871000006116","1973871000006100","1973871000006116","termsearch"
NA,"Alcohol Misuse",NA,"Mental and behav dis due to use alcohol: withdrawal state, uncomplicated",NA,4,"Mental Health Disorders",11,"1974191000006110","1974191000006106","1974191000006110","termsearch"
NA,"Alcohol Misuse",NA,"Mental and behav dis due to use alcohol: withdrawal state, with convulsions",NA,4,"Mental Health Disorders",11,"1974231000006117","1974231000006101","1974231000006117","termsearch"
NA,"Alcohol Misuse",NA,"Not interested in reducing alcohol",NA,4,"Mental Health Disorders",11,"852391000006113","852391000006109","852391000006113","termsearch"
NA,"Alcohol Misuse",NA,"Patient referral for alcoholism rehabilitation",NA,4,"Mental Health Disorders",11,"3122331000006110","38670004","64351016","termsearch"
NA,"Alcohol Misuse",NA,"Ready to start reducing alcohol",NA,4,"Mental Health Disorders",11,"852401000006110","852401000006106","852401000006110","termsearch"
NA,"Alcohol Misuse",NA,"Reduced alcohol intake",NA,4,"Mental Health Disorders",11,"1957791000006115","1957791000006104","1957791000006115","termsearch"
NA,"Alcohol Misuse",NA,"Referral by community alcohol team",NA,4,"Mental Health Disorders",11,"1675391000006112","1675391000006108","1675391000006112","termsearch"
NA,"Alcohol Misuse",NA,"Referral to alcohol abuse team",NA,4,"Mental Health Disorders",11,"831091000006115","831091000006104","831091000006115","termsearch"
NA,"Alcohol Misuse",NA,"Referral to alcohol counsellor",NA,4,"Mental Health Disorders",11,"831101000006114","831101000006105","831101000006114","termsearch"
NA,"Alcohol Misuse",NA,"Referral to alcohol recovery project",NA,4,"Mental Health Disorders",11,"851931000006116","851931000006100","851931000006116","termsearch"
NA,"Alcohol Misuse",NA,"Thinking about reducing alcohol",NA,4,"Mental Health Disorders",11,"852411000006113","852411000006109","852411000006113","termsearch"
NA,"Alcohol Misuse",NA,"Uncomplicated alcohol withdrawal",NA,4,"Mental Health Disorders",11,"3890681000006118","85561006","141818010","termsearch"
NA,"Alcohol Misuse",NA,"Unsuccessful attempts to reduce alcohol consumption",NA,4,"Mental Health Disorders",11,"1806211000006115","1806211000006104","1806211000006115","termsearch"
NA,"Alcohol Misuse",NA,"Withdrawn from alcohol detoxification program",NA,4,"Mental Health Disorders",11,"7785371000006113","719340007","3316031015","termsearch"
"","Alcohol Misuse","","[v]alcohol rehabilitation","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"12456651000006117","471691000000107","895711000000114","originalreadcode"
"","Alcohol Misuse","","alcoholic liver damage unspecified","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"12721711000006110","589511000000102","1307221000000116","originalreadcode"
"","Alcohol Misuse","","alcoholic polyneuropathy","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"2626141000006112","7916009","14103017","originalreadcode"
"","Alcohol Misuse","","alcoholic psychoses","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"11922951000006112","42344001","476741000006111","originalreadcode"
"","Alcohol Misuse","","alcoholism","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"2614651000006115","7200002","12878014","originalreadcode"
"","Alcohol Misuse","","other alcoholic psychosis","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"12730491000006117","623961000000108","1377231000000110","originalreadcode"
"136S.00","Alcohol Misuse","19494","Hazardous alcohol use","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"299061000000117","198421000000108","299061000000117","cleansedreadcode"
"136T.00","Alcohol Misuse","30695","Harmful alcohol use","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"299081000000114","198431000000105","299081000000114","cleansedreadcode"
"136W.00","Alcohol Misuse","94670","Alcohol misuse","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"606991000000117","15167005","606991000000117","cleansedreadcode"
"13Y8.00","Alcohol Misuse","18156","Alcoholics anonymous","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"251195015","1099951000000107","2753901000000119","cleansedreadcode"
"1B1c.00","Alcohol Misuse","38061","Alcohol induced hallucinations","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"2549849017","417633001","2549849017","cleansedreadcode"
"66e..00","Alcohol Misuse","12442","Alcohol disorder monitoring","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"2474678017","413130000","2474678017","cleansedreadcode"
"66e0.00","Alcohol Misuse","32964","Alcohol abuse monitoring","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"405461000000114","247721000000109","405461000000114","cleansedreadcode"
"7P22100","Alcohol Misuse","56410","Delivery of rehabilitation for alcohol addiction","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"371501000000110","231161000000109","371501000000110","cleansedreadcode"
"8BA8.00","Alcohol Misuse","2083","Alcohol detoxification","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"106878015","64297001","106878015","cleansedreadcode"
"8CAv.00","Alcohol Misuse","97309","Advised to contact primary care alcohol worker","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"739501000000112","375941000000101","739501000000112","cleansedreadcode"
"8G32.00","Alcohol Misuse","29691","Aversion therapy - alcoholism","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"283451018","183388004","283451018","cleansedreadcode"
"8H35.00","Alcohol Misuse","21650","Admitted to alcohol detoxification centre","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"283559019","183486001","283559019","cleansedreadcode"
"8H7p.00","Alcohol Misuse","9849","Referral to community alcohol team","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"1484890014","390857005","1484890014","cleansedreadcode"
"8HkG.00","Alcohol Misuse","94553","Referral to specialist alcohol treatment service","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"622961000000116","431260004","2768649019","cleansedreadcode"
"8HkJ.00","Alcohol Misuse","96993","Referral to alcohol brief intervention service","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"740641000000115","376401000000103","740641000000115","cleansedreadcode"
"9NN2.00","Alcohol Misuse","9489","Under care of community alcohol team","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"216585018","135827004","216585018","cleansedreadcode"
"9k1..00","Alcohol Misuse","11740","Alcohol misuse - enhanced services administration","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"236441000000113","166251000000100","1153251000000119","cleansedreadcode"
"9k12.00","Alcohol Misuse","63529","Alcohol misuse - enhanced service completed","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"226571000000116","166471000000105","1154571000000110","cleansedreadcode"
"9k1A.00","Alcohol Misuse","96053","Brief intervention for excessive alcohol consumptn completed","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"1680121000006110","366371000000105","691601000000110","cleansedreadcode"
"9k1B.00","Alcohol Misuse","96054","Extended intervention for excessive alcohol consumptn complt","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"1680131000006113","366421000000103","691701000000115","cleansedreadcode"
"C150500","Alcohol Misuse","65754","Alcohol-induced pseudo-Cushing's syndrome","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"356292013","237738005","356292013","cleansedreadcode"
"C251.11","Alcohol Misuse","4501","Wernicke's encephalopathy","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"59951000006113","21007002","35314011","cleansedreadcode"
"C253.00","Alcohol Misuse","11107","Wernicke's encephalopathy","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"35314011","21007002","35314011","cleansedreadcode"
"E01..00","Alcohol Misuse","16237","Alcoholic psychoses","Diagnosis of Alcohol Problems",4,"Mental Health Disorders",11,"476741000006111","42344001","70655012","cleansedreadcode"
