"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Alcoholic liver disease",NA,"Alcoholic liver damage NOS",NA,5,"Diseases of the Digestive System",3,"886501000006115","589511000000102","886501000006115","termsearch"
"","Alcoholic liver disease","","alcoholic liver damage unspecified","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"12721711000006110","589511000000102","1307221000000116","originalreadcode"
"","Alcoholic liver disease","","laennec's cirrhosis","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"6941931000006112","419728003","2579818016","originalreadcode"
"G852300","Alcoholic liver disease","8363","Oesophageal varices in alcoholic cirrhosis of the liver","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"453265010","309783001","453265010","cleansedreadcode"
"J610.00","Alcoholic liver disease","10691","Alcoholic fatty liver","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"83834016","50325005","83834016","cleansedreadcode"
"J611.00","Alcoholic liver disease","3216","Acute alcoholic hepatitis","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"17390014","9953008","17390014","cleansedreadcode"
"J612.00","Alcoholic liver disease","4743","Alcoholic cirrhosis of liver","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"476611000006116","420054005","2920441014","cleansedreadcode"
"J612.12","Alcoholic liver disease","100474","Laennec's cirrhosis","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"2579818016","419728003","2576980018","cleansedreadcode"
"J612000","Alcoholic liver disease","21713","Alcoholic fibrosis and sclerosis of liver","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"353594015","235880004","353594015","cleansedreadcode"
"J613.00","Alcoholic liver disease","7885","Alcoholic liver damage unspecified","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"303399018","41309000","68906017","cleansedreadcode"
"J613000","Alcoholic liver disease","17330","Alcoholic hepatic failure","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"353595019","235881000","353595019","cleansedreadcode"
"J617.00","Alcoholic liver disease","7943","Alcoholic hepatitis","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"353587018","235875008","353587018","cleansedreadcode"
"J617000","Alcoholic liver disease","7602","Chronic alcoholic hepatitis","Diagnosis of Alcoholic liver disease",5,"Diseases of the Digestive System",3,"451124014","307757001","451124014","cleansedreadcode"
