"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Allergic and chronic rhinitis",NA,"Hay fever",NA,6,"Diseases of the Respiratory System",8,"481105015","21719001","885121000006110","termsearch"
NA,"Allergic and chronic rhinitis",NA,"Hay fever",NA,6,"Diseases of the Respiratory System",8,"6298141000006118","367498001","2119211000000114","termsearch"
NA,"Allergic and chronic rhinitis",NA,"Hay fever",NA,6,"Diseases of the Respiratory System",8,"933361000006117","61582004","933361000006117","termsearch"
NA,"Allergic and chronic rhinitis",NA,"Seasonal allergic rhinitis",NA,6,"Diseases of the Respiratory System",8,"492457012","367498001","1956781000006116","termsearch"
"H120.00","Allergic and chronic rhinitis","774","Chronic rhinitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"142764012","86094006","142764012","cleansedreadcode"
"H120000","Allergic and chronic rhinitis","28589","Chronic simple rhinitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"301176016","195765002","301176016","cleansedreadcode"
"H120100","Allergic and chronic rhinitis","805","Chronic catarrhal rhinitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"396095011","266342009","396095011","cleansedreadcode"
"H120200","Allergic and chronic rhinitis","15553","Chronic hypertrophic rhinitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"301181013","195768000","301181013","cleansedreadcode"
"H120300","Allergic and chronic rhinitis","16441","Chronic atrophic rhinitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"301182018","195769008","301182018","cleansedreadcode"
"H120400","Allergic and chronic rhinitis","16158","Chronic infective rhinitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"301183011","195770009","301183011","cleansedreadcode"
"H120500","Allergic and chronic rhinitis","42556","Chronic ulcerative rhinitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"301184017","195771008","301184017","cleansedreadcode"
"H120600","Allergic and chronic rhinitis","42065","Chronic membranous rhinitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"301185016","195772001","301185016","cleansedreadcode"
"H120700","Allergic and chronic rhinitis","104543","Chronic fibrinous rhinitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"301186015","195773006","301186015","cleansedreadcode"
"H120z00","Allergic and chronic rhinitis","14645","Chronic rhinitis NOS","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"301187012","86094006","142764012","cleansedreadcode"
"H13..11","Allergic and chronic rhinitis","10546","Chronic rhinosinusitis","Diagnosis of Allergic and chronic rhinitis",6,"Diseases of the Respiratory System",8,"1229598015","40055000","1229598015","cleansedreadcode"
