"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"D0...00","Anaemia_other","7841","Deficiency anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"399193019","267513007","399193019","cleansedreadcode"
"D00..11","Anaemia_other","882","Hypochromic - microcytic anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"789001000006115","44666001","493975011","cleansedreadcode"
"D00..12","Anaemia_other","539","Microcytic - hypochromic anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"703501000006114","44666001","493975011","cleansedreadcode"
"D00y100","Anaemia_other","4839","Microcytic hypochromic anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"493975011","44666001","493975011","cleansedreadcode"
"D00z200","Anaemia_other","40750","Idiopathic hypochromic anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293885013","191136008","293885013","cleansedreadcode"
"D01..00","Anaemia_other","11961","Other deficiency anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"399196010","267513007","399193019","cleansedreadcode"
"D01..11","Anaemia_other","4475","Megaloblastic anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"496576014","53165003","496576014","cleansedreadcode"
"D012112","Anaemia_other","59103","Megaloblastic anaemia due to dietary causes","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"351101015","234358000","351101015","cleansedreadcode"
"D012500","Anaemia_other","3981","Macrocytic anaemia unspecified cause","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"731981000006116","83414005","505602015","cleansedreadcode"
"D013.00","Anaemia_other","51489","Other specified megaloblastic anaemia NEC","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293946019","53165003","88429014","cleansedreadcode"
"D013z00","Anaemia_other","56348","Other specified megaloblastic anaemia NEC NOS","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293949014","53165003","88429014","cleansedreadcode"
"D014.00","Anaemia_other","2452","Protein-deficiency anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293952018","85746008","142125016","cleansedreadcode"
"D014000","Anaemia_other","64601","Amino-acid deficiency anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"479141000006117","85746008","142125016","cleansedreadcode"
"D014100","Anaemia_other","71773","Oroticaciduria","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"41521000006112","47641009","79408019","cleansedreadcode"
"D014z00","Anaemia_other","70835","Protein-deficiency anaemia NOS","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293956015","85746008","142125016","cleansedreadcode"
"D01y.00","Anaemia_other","58136","Other specified nutritional deficiency anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293959010","267513007","399192012","cleansedreadcode"
"D01y000","Anaemia_other","104812","Vitamin C deficiency anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293961018","191161006","293961018","cleansedreadcode"
"D01y100","Anaemia_other","62257","Vitamin E deficiency anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293965010","24962009","482070013","cleansedreadcode"
"D01yy00","Anaemia_other","100576","Other specified other nutritional deficiency anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293966011","267513007","399192012","cleansedreadcode"
"D01yz00","Anaemia_other","92106","Other specified nutritional deficiency anaemia NOS","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293969016","267513007","399192012","cleansedreadcode"
"D01z.00","Anaemia_other","57274","Other deficiency anaemias NOS","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"399205010","267513007","399193019","cleansedreadcode"
"D01z.11","Anaemia_other","53799","Megaloblastic anaemia NOS","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"351100019","53165003","496576014","cleansedreadcode"
"D01z000","Anaemia_other","10506","[X]Megaloblastic anaemia NOS","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293977017","53165003","496576014","cleansedreadcode"
"D0y..00","Anaemia_other","26327","Other specified deficiency anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293978010","267513007","399193019","cleansedreadcode"
"D0z..00","Anaemia_other","8054","Deficiency anaemias NOS","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"293981017","267513007","399193019","cleansedreadcode"
"D2...00","Anaemia_other","37539","Aplastic and other anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294148013","271737000","406636013","cleansedreadcode"
"D21..00","Anaemia_other","3265","Other and unspecified anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"38181000006111","271737000","406638014","cleansedreadcode"
"D210.00","Anaemia_other","15936","Sideroblastic anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"493120017","41841004","493120017","cleansedreadcode"
"D210000","Anaemia_other","43330","Congenital sideroblastic anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"499346019","48983004","81603013","cleansedreadcode"
"D210100","Anaemia_other","41699","Acquired sideroblastic anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"508873014","90175006","508873014","cleansedreadcode"
"D210200","Anaemia_other","72276","Pyridoxine-responsive sideroblastic anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294231010","191260004","294231010","cleansedreadcode"
"D210300","Anaemia_other","31550","Secondary sideroblastic anaemia due to disease","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294232015","191261000","294232015","cleansedreadcode"
"D210400","Anaemia_other","47225","Secondary sideroblastic anaemia due to drugs and toxins","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294235018","191262007","294235018","cleansedreadcode"
"D210z00","Anaemia_other","94387","Sideroblastic anaemia NOS","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294236017","41841004","493120017","cleansedreadcode"
"D211.00","Anaemia_other","2743","Acute posthaemorrhagic anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"399228011","267530009","399228011","cleansedreadcode"
"D211.11","Anaemia_other","45929","Normocytic anaemia following acute bleed","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"445119014","303060002","445119014","cleansedreadcode"
"D212.00","Anaemia_other","30637","Anaemia in neoplastic disease","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294245016","191265009","294245016","cleansedreadcode"
"D212000","Anaemia_other","48145","Anaemia in ovarian carcinoma","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"451077018","307726001","451077018","cleansedreadcode"
"D213.00","Anaemia_other","16052","Refractory Anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"344913019","109996008","344913019","cleansedreadcode"
"D214.00","Anaemia_other","12176","Chronic anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294251014","191268006","294251014","cleansedreadcode"
"D215.00","Anaemia_other","16929","Anaemia secondary to renal failure","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"454255014","310647000","454255014","cleansedreadcode"
"D215000","Anaemia_other","25394","Anaemia secondary to chronic renal failure","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"480871000006117","49708008","495474017","cleansedreadcode"
"D21y.00","Anaemia_other","34934","Other specified anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"15581000006119","271737000","406638014","cleansedreadcode"
"D21y000","Anaemia_other","53422","Congenital dyshaematopoietic anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"582091000006116","52951008","88102013","cleansedreadcode"
"D21y011","Anaemia_other","31040","Congenital dyserythropoietic anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"496498015","52951008","496498015","cleansedreadcode"
"D21y012","Anaemia_other","56752","Congenital dyserythropoiesis NEC","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"351096015","52951008","88102013","cleansedreadcode"
"D21y200","Anaemia_other","33278","Leukoerythroblastic anaemia","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"745101000006113","2694001","483387010","cleansedreadcode"
"D21y300","Anaemia_other","70732","Hereditary erythroblast multinuclearity + positive acid test","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"821351000006113","68870007","1233095010","cleansedreadcode"
"D21yy00","Anaemia_other","58695","Other specified other anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294275014","271737000","406638014","cleansedreadcode"
"D21yz00","Anaemia_other","28768","Other specified anaemia NOS","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294278011","271737000","406636013","cleansedreadcode"
"D21z.00","Anaemia_other","739","Anaemia unspecified","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"399230013","271737000","406638014","cleansedreadcode"
"D21z.11","Anaemia_other","4670","Secondary anaemia NOS","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"351071018","271737000","406638014","cleansedreadcode"
"D21z.12","Anaemia_other","1702","Normocytic anaemia due to unspecified cause","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"351067016","300980002","442184016","cleansedreadcode"
"D21z.13","Anaemia_other","797","Macrocytic anaemia of unspecified cause","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"351097012","83414005","505602015","cleansedreadcode"
"D2y..00","Anaemia_other","25876","Other specified anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294290013","271737000","406638014","cleansedreadcode"
"D2z..00","Anaemia_other","35160","Other anaemias NOS","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294291012","271737000","406638014","cleansedreadcode"
"Dyu0.00","Anaemia_other","71840","[X]Nutritional anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294564014","66612000","500483015","cleansedreadcode"
"Dyu2200","Anaemia_other","31205","[X]Anaemia in other chronic diseases classified elsewhere","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294603013","234347009","351077019","cleansedreadcode"
"Dyu2400","Anaemia_other","51169","[X]Other specified anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"294607014","271737000","406636013","cleansedreadcode"
"Q455.00","Anaemia_other","31248","Congenital anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"499626019","63565007","499626019","cleansedreadcode"
"Q455000","Anaemia_other","99494","Congenital anaemia from fetal blood loss","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"316730019","53743006","89335018","cleansedreadcode"
"Q456.00","Anaemia_other","19574","Anaemia of prematurity","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"494753011","47100003","494753011","cleansedreadcode"
"Qyu5C00","Anaemia_other","99222","[X]Other congenital anaemias, not elsewhere classified","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"316946018","63565007","105647010","cleansedreadcode"
"4234","Anaemia_other","35749","Haemoglobin very low","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"257182019","165396004","257182019","originalreadcode"
"4235","Anaemia_other","3942","Haemoglobin low","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"257185017","165397008","257185017","originalreadcode"
"","Anaemia_other","","[x]anaemia in other chronic diseases classified elsewhere","Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"12716111000006113","389601000000102","923951000000113","originalreadcode"
"","Anaemia_other","","anaemia unspecified","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"12725801000006119","668381000000100","1466691000000111","originalreadcode"
"","Anaemia_other","","macrocytic anaemia of unspecified cause","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"12762241000006118","83414005","12762241000006118","originalreadcode"
"","Anaemia_other","","other deficiency anaemias","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"12726931000006112","643101000000109","1415691000000116","originalreadcode"
"","Anaemia_other","","other specified megaloblastic anaemia nec","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"12732821000006116","579711000000100","1287001000000110","originalreadcode"
"","Anaemia_other","","other specified nutritional deficiency anaemia","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"12730451000006111","623661000000101","1376621000000113","originalreadcode"
"","Anaemia_other","","secondary anaemia nos","Possible Diagnosis of Other anaemias",8,"Haematological/Immunological conditions",9,"11903981000006116","271737000","11903981000006116","originalreadcode"
NA,"Anaemia_other",NA,"Macrocytic anaemia",NA,8,"Haematological/Immunological conditions",9,"3857521000006111","83414005","3857521000006111","termsearch"
NA,"Anaemia_other",NA,"Megoblastic anaemia NOS",NA,8,"Haematological/Immunological conditions",9,"881961000006117","579711000000100","881961000006117","termsearch"
NA,"Anaemia_other",NA,"Anaemia NOS",NA,8,"Haematological/Immunological conditions",9,"882041000006112","668381000000100","882041000006112","termsearch"
NA,"Anaemia_other",NA,"Anaemias",NA,8,"Haematological/Immunological conditions",9,"881921000006111","267513007","881921000006111","termsearch"
NA,"Anaemia_other",NA,"Anaemia",NA,8,"Haematological/Immunological conditions",9,"960301000006116","960301000006100","960301000006116","termsearch"
