"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Anterior and Intermediate Uveitis",NA,"Acute iritis (iridocyclitis)",NA,11,"Diseases of the Eye",6,"883281000006117","267618008","883281000006117","termsearch"
"","Anterior and Intermediate Uveitis","","chronic iritis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"6598751000006111","398155003","2477006014","originalreadcode"
"","Anterior and Intermediate Uveitis","","unspecified acute iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"12730081000006114","619301000000100","1367821000000118","originalreadcode"
"A173300","Anterior and Intermediate Uveitis","38342","Tuberculous chronic iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"286320016","186266008","286320016","cleansedreadcode"
"A532200","Anterior and Intermediate Uveitis","55940","Herpes zoster iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"18585010","10698009","18585010","cleansedreadcode"
"A544400","Anterior and Intermediate Uveitis","61223","Herpes simplex iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"23218017","13608004","23218017","cleansedreadcode"
"A984100","Anterior and Intermediate Uveitis","106506","Gonococcal iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"16007016","9091006","16007016","cleansedreadcode"
"C34y300","Anterior and Intermediate Uveitis","50067","Gouty iritis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"72069017","43193009","72069017","cleansedreadcode"
"F432300","Anterior and Intermediate Uveitis","19645","Posterior cyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"458789018","314428001","458789018","cleansedreadcode"
"F432311","Anterior and Intermediate Uveitis","7882","Pars planitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"76191012","45688009","76191012","cleansedreadcode"
"F44..12","Anterior and Intermediate Uveitis","2703","Iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"129405018","77971008","129405018","cleansedreadcode"
"F440.00","Anterior and Intermediate Uveitis","10579","Acute and subacute iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"399440013","267618008","399440013","cleansedreadcode"
"F440.11","Anterior and Intermediate Uveitis","478","Iritis - acute","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"745731000006116","29050005","48631012","cleansedreadcode"
"F440000","Anterior and Intermediate Uveitis","43159","Unspecified acute iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"297958015","267618008","399440013","cleansedreadcode"
"F440100","Anterior and Intermediate Uveitis","63210","Unspecified subacute iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"297959011","267618008","399440013","cleansedreadcode"
"F440200","Anterior and Intermediate Uveitis","69723","Primary iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"21698018","12630008","21698018","cleansedreadcode"
"F440300","Anterior and Intermediate Uveitis","21163","Recurrent iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"12361010","6869001","12361010","cleansedreadcode"
"F440400","Anterior and Intermediate Uveitis","92888","Secondary infected iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"297962014","193487008","297962014","cleansedreadcode"
"F440500","Anterior and Intermediate Uveitis","54389","Secondary noninfected iridocyclitis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"151821000006115","193488003","297963016","cleansedreadcode"
"F440600","Anterior and Intermediate Uveitis","20130","Hypopyon","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"145575018","87807004","145575018","cleansedreadcode"
"F440700","Anterior and Intermediate Uveitis","17313","Diabetic iritis","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"297964010","193489006","297964010","cleansedreadcode"
"F440z00","Anterior and Intermediate Uveitis","6849","Acute or subacute iritis NOS","Diagnosis of anterior uveitis",11,"Diseases of the Eye",6,"297965011","267618008","399440013","cleansedreadcode"
