"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Anxiety disorders",NA,"Agoraphobia",NA,12,"Mental Health Disorders",11,"882381000006115","191722009","882381000006115","termsearch"
NA,"Anxiety disorders",NA,"Agoraphobia",NA,12,"Mental Health Disorders",11,"988881000006118","191723004","988881000006118","termsearch"
NA,"Anxiety disorders",NA,"Anxiety counseling",NA,12,"Mental Health Disorders",11,"6025531000006111","313087008","1207928017","termsearch"
NA,"Anxiety disorders",NA,"Counseling for anxiety",NA,12,"Mental Health Disorders",11,"6025541000006118","313087008","2693180015","termsearch"
NA,"Anxiety disorders",NA,"Counselling for anxiety",NA,12,"Mental Health Disorders",11,"6025551000006116","313087008","2695968012","termsearch"
NA,"Anxiety disorders",NA,"Panic disorder without agoraphobia",NA,12,"Mental Health Disorders",11,"1808521000006110","56576003","94086016","termsearch"
NA,"Anxiety disorders",NA,"Symptoms of agoraphobia",NA,12,"Mental Health Disorders",11,"1809331000006113","1809331000006109","1809331000006113","termsearch"
"","Anxiety disorders","","[x]phobia nos","Diagnosis of Anxiety disorders",12,"Mental Health Disorders",11,"11920891000006113","386810004","420631000006114","originalreadcode"
"","Anxiety disorders","","agoraphobia without mention of panic attacks","Diagnosis of Anxiety disorders",12,"Mental Health Disorders",11,"12716981000006115","191723004","294993018","originalreadcode"
"","Anxiety disorders","","anxiety counselling","Diagnosis of Anxiety disorders",12,"Mental Health Disorders",11,"6025521000006113","313087008","456917011","originalreadcode"
"","Anxiety disorders","","phobic anxiety","Diagnosis of Anxiety disorders",12,"Mental Health Disorders",11,"853241000006119","853241000006103","853241000006119","originalreadcode"
"","Anxiety disorders","","phobic disorder nos","Diagnosis of Anxiety disorders",12,"Mental Health Disorders",11,"12731491000006112","563201000000101","1252611000000113","originalreadcode"
"1B1H.11","Anxiety disorders","5347","Fear","Diagnosis of Anxiety disorders",12,"Mental Health Disorders",11,"2665410014","1402001","2665410014","cleansedreadcode"
"1B1V.00","Anxiety disorders","11890","C/O - panic attack","Diagnosis of Anxiety disorders",12,"Mental Health Disorders",11,"1488717011","395017009","1488717011","cleansedreadcode"
