"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"D20..00","Aplastic anaemias","15422","Aplastic anaemia","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"448863016","306058006","448863016","cleansedreadcode"
"D200.00","Aplastic anaemias","69027","Constitutional aplastic anaemia","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"590121000006115","28975000","484030019","cleansedreadcode"
"D200.13","Aplastic anaemias","109273","Blackfan - Diamond syndrome","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"514811000006112","5315003","496572011","cleansedreadcode"
"D200.15","Aplastic anaemias","44913","Hypoplastic anaemia - familial","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"1216286014","28975000","1216286014","cleansedreadcode"
"D200000","Aplastic anaemias","37320","Congenital hypoplastic anaemia","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"508244016","28975000","484030019","cleansedreadcode"
"D200011","Aplastic anaemias","69061","Constitutional aplastic anaemia without malformation","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"590151000006112","28975000","48508019","cleansedreadcode"
"D200100","Aplastic anaemias","34754","Fanconi's familial refractory anaemia","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"1216340010","30575002","1216340010","cleansedreadcode"
"D200111","Aplastic anaemias","64625","Fanconi's hypoplastic anaemia","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"1216339013","30575002","1216339013","cleansedreadcode"
"D200200","Aplastic anaemias","102848","Constitutional aplastic anaemia with malformation","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"399217012","267524009","399217012","cleansedreadcode"
"D200211","Aplastic anaemias","31491","Pancytopenia-dysmelia","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"411515013","275523003","411515013","cleansedreadcode"
"D200300","Aplastic anaemias","72252","Constitutional red cell aplasia and hypoplasia","Diagnosis of Aplastic anaemias",13,"Haematological/Immunological conditions",9,"399219010","267525005","399219010","cleansedreadcode"
