"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Asthma",NA,"Acute infective exacerbation of asthma",NA,15,"Diseases of the Respiratory System",8,"2010031000006116","2010031000006100","2010031000006116","termsearch"
NA,"Asthma",NA,"Acute non-infective exacerbation of asthma",NA,15,"Diseases of the Respiratory System",8,"2010041000006114","2010041000006105","2010041000006114","termsearch"
NA,"Asthma",NA,"Adverse reaction to Drugs For Prophylaxis Of Asthma",NA,15,"Diseases of the Respiratory System",8,"1012731000006119","1012731000006103","1012731000006119","termsearch"
NA,"Asthma",NA,"Asthma clinical management plan no longer in place",NA,15,"Diseases of the Respiratory System",8,"1877351000006118","1877351000006102","1877351000006118","termsearch"
NA,"Asthma",NA,"Asthma control unsatisfactory",NA,15,"Diseases of the Respiratory System",8,"856051000006115","856051000006104","856051000006115","termsearch"
NA,"Asthma",NA,"Asthma monitoring in primary care",NA,15,"Diseases of the Respiratory System",8,"1855521000006111","1855521000006107","1855521000006111","termsearch"
NA,"Asthma",NA,"Asthma monitoring in secondary care",NA,15,"Diseases of the Respiratory System",8,"1855531000006114","1855531000006105","1855531000006114","termsearch"
NA,"Asthma",NA,"Asthma stable < 3 months",NA,15,"Diseases of the Respiratory System",8,"856031000006110","856031000006106","856031000006110","termsearch"
NA,"Asthma",NA,"Asthma stable > 3 months",NA,15,"Diseases of the Respiratory System",8,"856041000006117","856041000006101","856041000006117","termsearch"
NA,"Asthma",NA,"Asthma trigger - perfume",NA,15,"Diseases of the Respiratory System",8,"2131281000000114","818161000000104","2131281000000114","termsearch"
NA,"Asthma",NA,"Asthmatic bronchitis",NA,15,"Diseases of the Respiratory System",8,"6720721000006111","405944004","2157699014","termsearch"
NA,"Asthma",NA,"Date of asthma diagnosis",NA,15,"Diseases of the Respiratory System",8,"1859261000006117","1859261000006101","1859261000006117","termsearch"
NA,"Asthma",NA,"Extrinsic asthma - atopy",NA,15,"Diseases of the Respiratory System",8,"885291000006115","389145006","885291000006115","termsearch"
NA,"Asthma",NA,"Follow-up asthma assessment",NA,15,"Diseases of the Respiratory System",8,"1856351000006118","1856351000006102","1856351000006118","termsearch"
NA,"Asthma",NA,"No change in asthma management plan",NA,15,"Diseases of the Respiratory System",8,"1880001000006114","1880001000006105","1880001000006114","termsearch"
NA,"Asthma",NA,"Seen in school asthma clinic",NA,15,"Diseases of the Respiratory System",8,"1769451000000116","791401000000104","1769451000000116","termsearch"
NA,"Asthma",NA,"[RFC] Asthma",NA,15,"Diseases of the Respiratory System",8,"905331000006118","905331000006102","905331000006118","termsearch"
NA,"Asthma",NA,"[RFC] Asthma",NA,15,"Diseases of the Respiratory System",8,"908841000006111","908841000006107","908841000006111","termsearch"
"","Asthma","","acute exacerbation of asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"7627241000006119","708038006","7627241000006119","originalreadcode"
"","Asthma","","exercise induced asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"3005811000006119","31387002","3035282010","originalreadcode"
"","Asthma","","late-onset asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"5054341000006110","233679003","350149018","originalreadcode"
"","Asthma","","occupational asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"955631000006116","955631000006100","955631000006116","originalreadcode"
"","Asthma","","severe asthma attack","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"11903851000006115","708038006","145961000006117","originalreadcode"
"173A.00","Asthma","5867","Exercise induced asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"655601000006113","31387002","52467014","cleansedreadcode"
"173c.00","Asthma","22752","Occupational asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"95786019","57607007","95786019","cleansedreadcode"
"173d.00","Asthma","73522","Work aggravated asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"983771000006118","57607007","95786019","cleansedreadcode"
"1780","Asthma","41017","Aspirin induced asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"929091000006111","407674008","2159273015","originalreadcode"
"1O2..00","Asthma","11370","Asthma confirmed","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"1780388018","401193004","1780388018","cleansedreadcode"
"2126200","Asthma","10996","Asthma resolved","History of Asthma",15,"Diseases of the Respiratory System",8,"496491000006117","162660004","253533013","cleansedreadcode"
"212G.00","Asthma","11839","Asthma resolved","History of Asthma",15,"Diseases of the Respiratory System",8,"253533013","162660004","253533013","cleansedreadcode"
"H312000","Asthma","5798","Chronic asthmatic bronchitis","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"301450011","195949008","301450011","cleansedreadcode"
"H33..00","Asthma","78","Asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"301485011","195967001","301485011","cleansedreadcode"
"H33..11","Asthma","1555","Bronchial asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"301480018","195967001","301480018","cleansedreadcode"
"H330.00","Asthma","7146","Extrinsic (atopic) asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"660351000006118","389145006","1493645010","cleansedreadcode"
"H330.11","Asthma","2290","Allergic asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"1483199016","389145006","1483199016","cleansedreadcode"
"H330.12","Asthma","1208","Childhood asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"350147016","233678006","350147016","cleansedreadcode"
"H330.13","Asthma","15248","Hay fever with asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"817361000006114","233683003","350153016","cleansedreadcode"
"H330.14","Asthma","7731","Pollen asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"350154010","233683003","350154010","cleansedreadcode"
"H330000","Asthma","14777","Extrinsic asthma without status asthmaticus","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"104872017","63088003","104872017","cleansedreadcode"
"H330011","Asthma","5627","Hay fever with asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"350153016","233683003","350153016","cleansedreadcode"
"H330100","Asthma","27926","Extrinsic asthma with status asthmaticus","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"151338014","1086701000000102","2722231000000112","cleansedreadcode"
"H330111","Asthma","6707","Extrinsic asthma with asthma attack","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"350151019","708093000","3083642013","cleansedreadcode"
"H330z00","Asthma","45782","Extrinsic asthma NOS","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"301499010","424643009","2648327010","cleansedreadcode"
"H331.00","Asthma","5267","Intrinsic asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"396114013","266361008","396114013","cleansedreadcode"
"H331.11","Asthma","3665","Late onset asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"350148014","233679003","350148014","cleansedreadcode"
"H331000","Asthma","29325","Intrinsic asthma without status asthmaticus","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"21390015","12428000","21390015","cleansedreadcode"
"H331100","Asthma","58196","Intrinsic asthma with status asthmaticus","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"98546013","1086711000000100","2722261000000119","cleansedreadcode"
"H331111","Asthma","18323","Intrinsic asthma with asthma attack","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"350156012","708094006","3032866010","cleansedreadcode"
"H331z00","Asthma","45073","Intrinsic asthma NOS","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"301508013","266361008","396114013","cleansedreadcode"
"H332.00","Asthma","25796","Mixed asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"301509017","195977004","301509017","cleansedreadcode"
"H333.00","Asthma","185","Acute exacerbation of asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"419211018","708038006","3032747019","cleansedreadcode"
"H334.00","Asthma","40823","Brittle asthma","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"338238011","225057002","338238011","cleansedreadcode"
"H335.00","Asthma","106805","Chronic asthma with fixed airflow obstruction","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"2240591000000119","866881000000101","2240591000000119","cleansedreadcode"
"H33z.00","Asthma","4442","Asthma unspecified","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"301511014","195967001","301485011","cleansedreadcode"
"H33z.11","Asthma","32727","Hyperreactive airways disease","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"2535857010","195967001","2475605013","cleansedreadcode"
"H33z000","Asthma","4892","Status asthmaticus NOS","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"396118011","734904007","3511368015","cleansedreadcode"
"H33z011","Asthma","233","Severe asthma attack","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"145961000006117","708090002","3033029011","cleansedreadcode"
"H33z100","Asthma","232","Asthma attack","Diagnosis of Asthma",15,"Diseases of the Respiratory System",8,"396119015","708038006","3032734012","cleansedreadcode"
