"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"212R.00","Atrial Fibrillation","28994","Atrial fibrillation resolved","History of atrial fibrillation or flutter (1)",16,"Diseases of the Circulatory System",2,"294601000000110","196371000000102","294601000000110","cleansedreadcode"
"3272","Atrial Fibrillation","3757","ECG: atrial fibrillation","Atrial fibrillation, not otherwise specified (5)",16,"Diseases of the Circulatory System",2,"256478018","164889003","256478018","originalreadcode"
"3273","Atrial Fibrillation","6771","ECG: atrial flutter","Atrial flutter (7)",16,"Diseases of the Circulatory System",2,"256479014","164890007","256479014","originalreadcode"
"662S.00","Atrial Fibrillation","18746","Atrial fibrillation monitoring","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"216183015","134377004","216183015","cleansedreadcode"
"6A9..00","Atrial Fibrillation","45773","Atrial fibrillation annual review","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"406861000000119","248411000000105","406861000000119","cleansedreadcode"
"9Os..00","Atrial Fibrillation","57832","Atrial fibrillation monitoring administration","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"406251000000118","713801000000102","1565041000000112","cleansedreadcode"
"9Os0.00","Atrial Fibrillation","90187","Atrial fibrillation monitoring first letter","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"408081000000116","717221000000101","1569761000000112","cleansedreadcode"
"9Os1.00","Atrial Fibrillation","90188","Atrial fibrillation monitoring second letter","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"408101000000110","716981000000106","1569531000000111","cleansedreadcode"
"9Os2.00","Atrial Fibrillation","90189","Atrial fibrillation monitoring third letter","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"408121000000118","716181000000109","1568741000000115","cleansedreadcode"
"9Os3.00","Atrial Fibrillation","90190","Atrial fibrillation monitoring verbal invite","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"408141000000113","717011000000100","1570401000000119","cleansedreadcode"
"9Os4.00","Atrial Fibrillation","90191","Atrial fibrillation monitoring telephone invite","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"408241000000115","716721000000107","1570381000000119","cleansedreadcode"
"9hF..00","Atrial Fibrillation","63350","Exception reporting: atrial fibrillation quality indicators","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"294171000000112","716871000000101","1569421000000113","cleansedreadcode"
"9hF1.00","Atrial Fibrillation","39114","Excepted from atrial fibrillation qual indic: Inform dissent","Atrial fibrillation monitoring (2)",16,"Diseases of the Circulatory System",2,"1000031000006118","717381000000109","1569921000000118","cleansedreadcode"
"G573.00","Atrial Fibrillation","2212","Atrial fibrillation and flutter","Atrial fibrillation or flutter (6)",16,"Diseases of the Circulatory System",2,"300130013","195080001","300130013","cleansedreadcode"
"G573000","Atrial Fibrillation","1664","Atrial fibrillation","Atrial fibrillation, not otherwise specified (5)",16,"Diseases of the Circulatory System",2,"82343012","49436004","82343012","cleansedreadcode"
"G573100","Atrial Fibrillation","1757","Atrial flutter","Atrial flutter (7)",16,"Diseases of the Circulatory System",2,"9988012","5370000","9988012","cleansedreadcode"
"G573200","Atrial Fibrillation","1268","Paroxysmal atrial fibrillation","Paroxysmal atrial fibrillation (3)",16,"Diseases of the Circulatory System",2,"421235014","282825002","421235014","cleansedreadcode"
"G573300","Atrial Fibrillation","35127","Non-rheumatic atrial fibrillation","Atrial fibrillation, not otherwise specified (5)",16,"Diseases of the Circulatory System",2,"350465014","233911009","350465014","cleansedreadcode"
"G573400","Atrial Fibrillation","96277","Permanent atrial fibrillation","Persistent or permanent atrial fibrillation (4)",16,"Diseases of the Circulatory System",2,"636721000000112","440028005","2793259018","cleansedreadcode"
"G573500","Atrial Fibrillation","96076","Persistent atrial fibrillation","Persistent or permanent atrial fibrillation (4)",16,"Diseases of the Circulatory System",2,"636701000000115","440059007","2793372019","cleansedreadcode"
"G573z00","Atrial Fibrillation","23437","Atrial fibrillation and flutter NOS","Atrial fibrillation or flutter (6)",16,"Diseases of the Circulatory System",2,"300132017","195080001","300130013","cleansedreadcode"
