"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"E140.00","Autism and Asperger's syndrome","22098","Infantile autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"781051000006117","408857007","2470703014","cleansedreadcode"
"E140.11","Autism and Asperger's syndrome","43444","Kanner's syndrome","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"2477201014","408856003","2477201014","cleansedreadcode"
"E140.12","Autism and Asperger's syndrome","1276","Autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"2579633010","35919005","486317010","cleansedreadcode"
"E140.13","Autism and Asperger's syndrome","7302","Childhood autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"72723012","43614003","72723012","cleansedreadcode"
"E140000","Autism and Asperger's syndrome","63251","Active infantile autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"294935010","191689008","294935010","cleansedreadcode"
"E140100","Autism and Asperger's syndrome","69016","Residual infantile autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"294936011","191690004","294936011","cleansedreadcode"
"E140z00","Autism and Asperger's syndrome","36662","Infantile autism NOS","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"294937019","408857007","2470703014","cleansedreadcode"
"Eu84000","Autism and Asperger's syndrome","3637","[X]Childhood autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"370801000006114","43614003","72723012","cleansedreadcode"
"Eu84011","Autism and Asperger's syndrome","9982","[X]Autistic disorder","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"366581000006112","408856003","2470702016","cleansedreadcode"
"Eu84012","Autism and Asperger's syndrome","50337","[X]Infantile autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"389671000006119","408857007","2470703014","cleansedreadcode"
"Eu84014","Autism and Asperger's syndrome","110478","[X]Kanner's syndrome","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"394581000006118","408856003","2477201014","cleansedreadcode"
"Eu84100","Autism and Asperger's syndrome","24044","[X]Atypical autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"366531000006111","231536004","347022013","cleansedreadcode"
"Eu84112","Autism and Asperger's syndrome","34174","[X]Mental retardation with autistic features","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"398241000006118","231536004","347022013","cleansedreadcode"
"Eu84500","Autism and Asperger's syndrome","2950","[X]Asperger's syndrome","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"363931000006110","23560001","2162281017","cleansedreadcode"
"Eu84511","Autism and Asperger's syndrome","51375","[X]Autistic psychopathy","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"366591000006110","23560001","2162281017","cleansedreadcode"
"Eu84z11","Autism and Asperger's syndrome","42941","[X]Autistic spectrum disorder","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"2535850012","35919005","486317010","cleansedreadcode"
"","Autism and Asperger's syndrome","","autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"6768081000006116","408856003","2579633010","originalreadcode"
"","Autism and Asperger's syndrome","","autism","Diagnosis of Autism and Asperger's syndrome",18,"Mental Health Disorders",11,"853581000006111","853581000006107","853581000006111","originalreadcode"
