"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"2BE3.00","Autonomic Neuropathy","22097","O/E - Horner's syndrome","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"255372014","164018003","255372014","cleansedreadcode"
"F17..00","Autonomic Neuropathy","22849","Autonomic nervous system disorders","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"500291000006112","15241006","477252016","cleansedreadcode"
"F170.00","Autonomic Neuropathy","16368","Idiopathic peripheral autonomic neuropathy","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"143436010","86489003","143436010","cleansedreadcode"
"F170000","Autonomic Neuropathy","16471","Carotid sinus syndrome","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"86133015","51723007","86133015","cleansedreadcode"
"F170100","Autonomic Neuropathy","62733","Cervical sympathetic paralysis","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"297161015","192915005","297161015","cleansedreadcode"
"F170z00","Autonomic Neuropathy","49664","Idiopathic peripheral autonomic neuropathy NOS","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"297162010","86489003","143436010","cleansedreadcode"
"F171.00","Autonomic Neuropathy","33257","Peripheral autonomic neuropathy disease EC","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"297163017","128123007","194717012","cleansedreadcode"
"F171000","Autonomic Neuropathy","30668","Autonomic neuropathy due to amyloid","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"297164011","192918007","297164011","cleansedreadcode"
"F171100","Autonomic Neuropathy","17067","Autonomic neuropathy due to diabetes","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"1230890017","50620007","1230890017","cleansedreadcode"
"F171z00","Autonomic Neuropathy","50099","Peripheral autonomic neuropathy due to disease NOS","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"297165012","11060002","19167016","cleansedreadcode"
"F172.00","Autonomic Neuropathy","5600","[X] Horners syndrome","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"358981000006112","271730003","406625018","cleansedreadcode"
"F173.00","Autonomic Neuropathy","10733","Shoulder-hand syndrome","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"4637014","712537009","3082984014","cleansedreadcode"
"F175.00","Autonomic Neuropathy","103862","Autonomic dysreflexia","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"208437018","129618003","208437018","cleansedreadcode"
"F17z.00","Autonomic Neuropathy","2748","Autonomic nervous system disorder NOS","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"399402010","15241006","25864017","cleansedreadcode"
"F17z.11","Autonomic Neuropathy","16167","Horner's syndrome","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"21857010","271730003","406625018","cleansedreadcode"
"F17z.12","Autonomic Neuropathy","40383","Autonomic failure","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"506064012","84438001","506064012","cleansedreadcode"
"F347.00","Autonomic Neuropathy","93531","Complex regional pain syndrome type II","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"2477180015","408751001","2477180015","cleansedreadcode"
"F369.00","Autonomic Neuropathy","105257","Complex regional pain syndrome","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"206425010","128200000","206425010","cleansedreadcode"
"FyuAC00","Autonomic Neuropathy","72889","[X]Autonomic neuropathy/endocrine+metabolic diseases CE","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"366601000006119","15241006","25864017","cleansedreadcode"
"FyuAD00","Autonomic Neuropathy","70344","[X]Other disordrs/autonomic nervous system/other diseases CE","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"409661000006115","15241006","25864017","cleansedreadcode"
"N337.00","Autonomic Neuropathy","41595","Algoneurodystrophy","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"13134012","128200000","206425010","cleansedreadcode"
"N337.11","Autonomic Neuropathy","16789","Algodystrophy","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"84384011","128200000","3511838018","cleansedreadcode"
"N337.12","Autonomic Neuropathy","7197","Reflex sympathetic dystrophy","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"186201000006114","128200000","3512095018","cleansedreadcode"
"N337100","Autonomic Neuropathy","4098","Sudek's atrophy","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"2475469012","15743005","26677017","cleansedreadcode"
"N337111","Autonomic Neuropathy","30069","Reflex sympathetic dystrophy","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"194673013","128200000","3512095018","cleansedreadcode"
"N337200","Autonomic Neuropathy","56230","Algodystrophy of hand","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"312220010","734989004","3512279013","cleansedreadcode"
"N337300","Autonomic Neuropathy","57586","Algodystrophy of knee","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"312221014","734988007","3512276018","cleansedreadcode"
"N337400","Autonomic Neuropathy","61889","Algodystrophy of foot","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"312222019","734987002","3512273014","cleansedreadcode"
"N337z00","Autonomic Neuropathy","95745","Algoneurodystrophy NOS","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"312223012","734947007","3512092015","cleansedreadcode"
"N33C.00","Autonomic Neuropathy","95878","Complex regional pain syndrome type I","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"495737017","128200000","206425010","cleansedreadcode"
"P2x2.00","Autonomic Neuropathy","45647","Familial dysautonomia","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"48792010","29159009","48792010","cleansedreadcode"
"P2x5.00","Autonomic Neuropathy","31616","Riley - Day syndrome","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"163861000006115","29159009","48793017","cleansedreadcode"
"","Autonomic Neuropathy","","autonomic dysreflexia","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"1773241000006118","1773241000006102","1773241000006118","originalreadcode"
"","Autonomic Neuropathy","","complex regional pain syndrome type i","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"3512092015","734947007","3512092015","originalreadcode"
"","Autonomic Neuropathy","","horner's syndrome","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"2702531000006114","12731000","21857010","originalreadcode"
"","Autonomic Neuropathy","","sudek's atrophy","Diagnosis of autonomic neuropathy",20,"Neurological conditions",13,"11903461000006116","15743005","119301000006112","originalreadcode"
