"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Bipolar affective disorder and mania",NA,"Hypomanic",NA,24,"Mental Health Disorders",11,"851691000006114","851691000006105","851691000006114","termsearch"
NA,"Bipolar affective disorder and mania",NA,"Mania/hypomania",NA,24,"Mental Health Disorders",11,"882321000006119","268619003","882321000006119","termsearch"
NA,"Bipolar affective disorder and mania",NA,"Manic-depressive psychoses",NA,24,"Mental Health Disorders",11,"882311000006110","13746004","882311000006110","termsearch"
"1S42.00","Bipolar affective disorder and mania","22713","Manic mood","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"2157096015","405273008","2157096015","cleansedreadcode"
"212V.00","Bipolar affective disorder and mania","85102","Bipolar affective disorder resolved","History of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"492761000000114","285491000000101","492761000000114","cleansedreadcode"
"E11..11","Bipolar affective disorder and mania","8567","Bipolar psychoses","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"513871000006118","13746004","23447014","cleansedreadcode"
"E11..13","Bipolar affective disorder and mania","26161","Manic psychoses","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"223601000000119","231494001","346966018","cleansedreadcode"
"E110.00","Bipolar affective disorder and mania","37070","Manic disorder, single episode","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"401765010","268619003","401765010","cleansedreadcode"
"E110.11","Bipolar affective disorder and mania","18909","Hypomanic psychoses","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"789221000006116","231496004","346969013","cleansedreadcode"
"E110000","Bipolar affective disorder and mania","20110","Single manic episode, unspecified","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"294802018","268619003","401765010","cleansedreadcode"
"E110100","Bipolar affective disorder and mania","14728","Single manic episode, mild","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"294803011","191583000","294803011","cleansedreadcode"
"E110200","Bipolar affective disorder and mania","24640","Single manic episode, moderate","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"294804017","191584006","294804017","cleansedreadcode"
"E110300","Bipolar affective disorder and mania","43093","Single manic episode, severe without mention of psychosis","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"294805016","764641000000104","1696281000000112","cleansedreadcode"
"E110400","Bipolar affective disorder and mania","50218","Single manic episode, severe, with psychosis","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"294806015","191586008","294806015","cleansedreadcode"
"E110500","Bipolar affective disorder and mania","109485","Single manic episode in partial or unspecified remission","Diagnosis of Bipolar affective disorder and mania",24,"Mental Health Disorders",11,"294807012","764731000000103","1696461000000116","cleansedreadcode"
