"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"COPD",NA,"1 COPD exacerbation in past year",NA,38,"Diseases of the Respiratory System",8,"1882421000006113","1882421000006109","1882421000006113","termsearch"
NA,"COPD",NA,"2 COPD exacerbations in past year",NA,38,"Diseases of the Respiratory System",8,"1882441000006118","1882441000006102","1882441000006118","termsearch"
NA,"COPD",NA,"3+ COPD exacerbations in past year",NA,38,"Diseases of the Respiratory System",8,"1882431000006111","1882431000006107","1882431000006111","termsearch"
NA,"COPD",NA,"Acute infective exacerbation of chronic obstructive airways disease",NA,38,"Diseases of the Respiratory System",8,"424365019","285381006","424365019","termsearch"
NA,"COPD",NA,"Acute non-infective exacerbation of COPD (chronic obstructive pulmonary disease)",NA,38,"Diseases of the Respiratory System",8,"8287171000006115","847091000000104","2196431000000111","termsearch"
NA,"COPD",NA,"Acute non-infective exacerbation of chronic obstructive pulmonary disease",NA,38,"Diseases of the Respiratory System",8,"2010061000006113","847091000000104","2196421000000114","termsearch"
NA,"COPD",NA,"COPD (chronic obstructive pulmonary disease) self-management plan review",NA,38,"Diseases of the Respiratory System",8,"8260631000006112","810951000000101","2115741000000118","termsearch"
NA,"COPD",NA,"COPD - Chronic obstructive pulmonary disease",NA,38,"Diseases of the Respiratory System",8,"2716321000006116","13645005","475427019","termsearch"
NA,"COPD",NA,"COPD GOLD group A",NA,38,"Diseases of the Respiratory System",8,"11932331000006115","11932331000006104","11932331000006115","termsearch"
NA,"COPD",NA,"COPD GOLD group B",NA,38,"Diseases of the Respiratory System",8,"11932341000006113","11932341000006109","11932341000006113","termsearch"
NA,"COPD",NA,"COPD GOLD group C",NA,38,"Diseases of the Respiratory System",8,"11932351000006110","11932351000006106","11932351000006110","termsearch"
NA,"COPD",NA,"COPD GOLD group D",NA,38,"Diseases of the Respiratory System",8,"11932361000006112","11932361000006108","11932361000006112","termsearch"
NA,"COPD",NA,"COPD clinical management plan no longer in place",NA,38,"Diseases of the Respiratory System",8,"1877361000006116","1877361000006100","1877361000006116","termsearch"
NA,"COPD",NA,"COPD patient experience discussed",NA,38,"Diseases of the Respiratory System",8,"1771441000006118","1771441000006102","1771441000006118","termsearch"
NA,"COPD",NA,"Chronic obst. pulm. dis. NOS",NA,38,"Diseases of the Respiratory System",8,"885311000006116","611541000000106","885311000006116","termsearch"
NA,"COPD",NA,"Chronic obst. pulm. dis. NOS",NA,38,"Diseases of the Respiratory System",8,"990641000006110","13645005","990641000006110","termsearch"
NA,"COPD",NA,"Chronic obstructive lung disease",NA,38,"Diseases of the Respiratory System",8,"2716231000006114","13645005","23287019","termsearch"
NA,"COPD",NA,"Chronic obstructive pulmonary disease confirmed",NA,38,"Diseases of the Respiratory System",8,"1823851000006119","1823851000006103","1823851000006119","termsearch"
NA,"COPD",NA,"Chronic obstructive pulmonary disease follow-up assessment",NA,38,"Diseases of the Respiratory System",8,"1856591000006115","1856591000006104","1856591000006115","termsearch"
NA,"COPD",NA,"Chronic obstructive pulmonary disease post discharge review",NA,38,"Diseases of the Respiratory System",8,"2009451000006113","2009451000006109","2009451000006113","termsearch"
NA,"COPD",NA,"Chronic obstructive pulmonary disease severity",NA,38,"Diseases of the Respiratory System",8,"1856571000006116","1856571000006100","1856571000006116","termsearch"
NA,"COPD",NA,"Did not attend chronic obstructive pulmonary disease clinic",NA,38,"Diseases of the Respiratory System",8,"8034781000006113","110011000000107","156561000000110","termsearch"
NA,"COPD",NA,"Excepted from COPD (chronic obstructive pulmonary disease) quality indicators - service unavailable",NA,38,"Diseases of the Respiratory System",8,"12623621000006118","1108721000000102","2774581000000119","termsearch"
NA,"COPD",NA,"No COPD exacerbations in past year",NA,38,"Diseases of the Respiratory System",8,"1882451000006116","1882451000006100","1882451000006116","termsearch"
NA,"COPD",NA,"Not suitable for step down change in COPD management plan",NA,38,"Diseases of the Respiratory System",8,"2009511000006113","2009511000006109","2009511000006113","termsearch"
NA,"COPD",NA,"Referral to COPD (chronic obstructive pulmonary disease) community nursing team",NA,38,"Diseases of the Respiratory System",8,"8249051000006111","790301000000101","1766841000000110","termsearch"
NA,"COPD",NA,"Seen in COPD (chronic obstructive pulmonary disease) clinic",NA,38,"Diseases of the Respiratory System",8,"8294561000006110","857661000000104","2219581000000119","termsearch"
