"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Cardiomyopathy_other","","arrhythmogenic right ventricular cardiomyopathy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"1656521000006113","1656521000006109","1656521000006113","originalreadcode"
"","Cardiomyopathy_other","","constrictive cardiomyopathy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"6873351000006110","415295002","2536835010","originalreadcode"
"","Cardiomyopathy_other","","secondary cardiomyopathy nos","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"11904331000006116","195029002","11904331000006116","originalreadcode"
"C373300","Cardiomyopathy_other","56635","Familial cardiac amyloid","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"666221000006118","27097002","483430019","cleansedreadcode"
"C373G00","Cardiomyopathy_other","105398","Senile cardiac amyloidosis","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"28038011","16573007","28038011","cleansedreadcode"
"F391B00","Cardiomyopathy_other","44272","Cardiomyopathy in Duchenne muscular dystrophy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"460126017","315608004","460126017","cleansedreadcode"
"G343.00","Cardiomyopathy_other","7320","Ischaemic cardiomyopathy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"299796018","194849004","299796018","cleansedreadcode"
"G55..00","Cardiomyopathy_other","3204","Cardiomyopathy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"142397010","85898001","142397010","cleansedreadcode"
"G550.00","Cardiomyopathy_other","15990","Endomyocardial fibrosis","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"1778232017","398754006","1778261016","cleansedreadcode"
"G552.00","Cardiomyopathy_other","68685","Obscure African cardiomyopathy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"395766015","398754006","3448072015","cleansedreadcode"
"G554.00","Cardiomyopathy_other","57306","Other primary cardiomyopathies","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"300032019","85898001","142397010","cleansedreadcode"
"G554100","Cardiomyopathy_other","41488","Constrictive cardiomyopathy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"150511013","415295002","2532896011","cleansedreadcode"
"G554200","Cardiomyopathy_other","21852","Familial cardiomyopathy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"59588016","35728003","59588016","cleansedreadcode"
"G554500","Cardiomyopathy_other","101015","Takotsubo cardiomyopathy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"2816932015","441541008","2816932015","cleansedreadcode"
"G554511","Cardiomyopathy_other","104658","Stress cardiomyopathy","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"2816931010","441541008","2816931010","cleansedreadcode"
"G554z00","Cardiomyopathy_other","40834","Other primary cardiomyopathy NOS","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"300041012","85898001","142397010","cleansedreadcode"
"G557.00","Cardiomyopathy_other","100966","Nutritional and metabolic cardiomyopathies","Diagnosis of Other Cardiomyopathy",26,"Diseases of the Circulatory System",2,"300042017","195023001","300042017","cleansedreadcode"
