"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Cataract",NA,"Cataract extract + lens implant",NA,27,"Diseases of the Eye",6,"928811000006119","385468004","928811000006119","termsearch"
NA,"Cataract",NA,"Cataract extract +lens implant",NA,27,"Diseases of the Eye",6,"859791000006115","385468004","859791000006115","termsearch"
NA,"Cataract",NA,"Cataract extraction",NA,27,"Diseases of the Eye",6,"3390661000006113","54885007","91237012","termsearch"
NA,"Cataract",NA,"Cataract extraction & lens repl",NA,27,"Diseases of the Eye",6,"853291000006111","853291000006107","853291000006111","termsearch"
NA,"Cataract",NA,"Cataract extraction unspec.",NA,27,"Diseases of the Eye",6,"859771000006116","538661000000100","859771000006116","termsearch"
NA,"Cataract",NA,"Extracapsular cataract extraction",NA,27,"Diseases of the Eye",6,"2718741000006113","13793006","1221016013","termsearch"
NA,"Cataract",NA,"Left cataract extraction",NA,27,"Diseases of the Eye",6,"853641000006116","853641000006100","853641000006116","termsearch"
NA,"Cataract",NA,"Left cataract extraction and implant",NA,27,"Diseases of the Eye",6,"853711000006111","853711000006107","853711000006111","termsearch"
NA,"Cataract",NA,"Right cataract extraction",NA,27,"Diseases of the Eye",6,"853651000006119","853651000006103","853651000006119","termsearch"
NA,"Cataract",NA,"Right cataract extraction and implant",NA,27,"Diseases of the Eye",6,"853701000006113","853701000006109","853701000006113","termsearch"
NA,"Cataract",NA,"Secondary cataract",NA,27,"Diseases of the Eye",6,"883311000006115","193600001","883311000006115","termsearch"
NA,"Cataract",NA,"YAG laser post capsulotomy",NA,27,"Diseases of the Eye",6,"859751000006114","172532006","859751000006114","termsearch"
NA,"Cataract",NA,"Yag laser capsulotomy",NA,27,"Diseases of the Eye",6,"857711000006116","857711000006100","857711000006116","termsearch"
"","Cataract","","cataract due to other disorder","Diagnosis of cataract",27,"Diseases of the Eye",6,"12719581000006117","587641000000106","1303421000000111","originalreadcode"
"","Cataract","","cataract extraction and insertion of intraocular lens","Diagnosis of cataract",27,"Diseases of the Eye",6,"1771661000006117","1771661000006101","1771661000006117","originalreadcode"
"","Cataract","","cataract with neovascularization","Diagnosis of cataract",27,"Diseases of the Eye",6,"3741271000006115","76309006","126733015","originalreadcode"
