"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Cerebral Palsy",NA,"Bilateral spastic cerebral palsy",NA,28,"Neurological conditions",13,"2326271000000114","904531000000100","2326271000000114","termsearch"
NA,"Cerebral Palsy",NA,"Spastic paraparesis",NA,28,"Neurological conditions",13,"851371000006119","851371000006103","851371000006119","termsearch"
"","Cerebral Palsy","","[x]cerebral palsy and other paralytic syndromes","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"12465281000006112","408371000000100","897791000000110","originalreadcode"
"","Cerebral Palsy","","spastic diplegic cerebral palsy","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"3445451000006117","58193001","3010096015","originalreadcode"
"","Cerebral Palsy","","vogt's disease","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"297977018","193497004","297977018","description"
"38Gw.00","Cerebral Palsy","107844","Gross Motor Function Classification System Cerebral Palsy","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"1883621000006119","707621005","3030870013","cleansedreadcode"
"F137.11","Cerebral Palsy","73943","Athetoid cerebral palsy","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"497021000006113","75019001","124598014","cleansedreadcode"
"F137.12","Cerebral Palsy","42406","Athetosis - congenital","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"450601010","307355007","450601010","cleansedreadcode"
"F137000","Cerebral Palsy","16977","Athetoid cerebral palsy","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"124598014","75019001","124598014","cleansedreadcode"
"F137011","Cerebral Palsy","64561","Vogt's disease","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"124599018","193497004","297977018","cleansedreadcode"
"F137100","Cerebral Palsy","92598","Double athetosis","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"27369019","16171003","27369019","cleansedreadcode"
"F137111","Cerebral Palsy","66314","Congenital athetosis","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"450600011","307355007","450600011","cleansedreadcode"
"F23..00","Cerebral Palsy","2069","Congenital cerebral palsy","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"411453017","128188000","2995060017","cleansedreadcode"
"F23..11","Cerebral Palsy","15530","Congenital spastic cerebral palsy","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"411454011","230773005","2995835018","cleansedreadcode"
"F23..12","Cerebral Palsy","5560","Infantile cerebral palsy","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"345771011","128188000","2995381013","cleansedreadcode"
"F23..13","Cerebral Palsy","39971","Littles disease","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"740431000006115","128188000","206411014","cleansedreadcode"
"F23..14","Cerebral Palsy","61219","Cerebral atonia","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"542541000006112","128188000","206411014","cleansedreadcode"
"F230.00","Cerebral Palsy","25324","Congenital diplegia","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"411456013","58193001","96717010","cleansedreadcode"
"F230.11","Cerebral Palsy","99040","Paraplegia - congenital","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"223801000000115","192949002","297221013","cleansedreadcode"
"F230000","Cerebral Palsy","37160","Congenital paraplegia","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"297221013","192949002","297221013","cleansedreadcode"
"F230100","Cerebral Palsy","5512","Cerebral palsy with spastic diplegia","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"543071000006115","230773005","345773014","cleansedreadcode"
"F230111","Cerebral Palsy","104775","Spastic diplegic cerebral palsy","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"1815931000006114","58193001","2168501000000119","cleansedreadcode"
"F230z00","Cerebral Palsy","45551","Congenital diplegia NOS","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"297223011","58193001","96715019","cleansedreadcode"
"F231.00","Cerebral Palsy","27966","Congenital hemiplegia","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"72531016","1593000","3769017","cleansedreadcode"
"F232.00","Cerebral Palsy","21249","Congenital quadriplegia","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"411455012","275468009","411455012","cleansedreadcode"
"F232.11","Cerebral Palsy","48126","Tetraplegia - congenital","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"110721000006114","275468009","411455012","cleansedreadcode"
"F233.00","Cerebral Palsy","33925","Congenital monoplegia","Diagnosis of Cerebral Palsy",28,"Neurological conditions",13,"497600015","56409008","497600015","cleansedreadcode"
