"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Chronic Cystitis",NA,"Chronic cystitis",NA,29,"Diseases of the Genitourinary System",7,"886751000006113","647611000000106","886751000006113","termsearch"
"","Chronic Cystitis","","chronic cystitis unspecified","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"12729331000006116","647611000000106","1424771000000119","originalreadcode"
"K151.00","Chronic Cystitis","11585","Chronic interstitial cystitis","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"304177012","197834003","304177012","cleansedreadcode"
"K151000","Chronic Cystitis","4897","Hunner's ulcer","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"131354016","79160001","131354016","cleansedreadcode"
"K151200","Chronic Cystitis","23776","Submucous cystitis","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"304182017","197837005","304182017","cleansedreadcode"
"K151z00","Chronic Cystitis","29460","Chronic interstitial cystitis NOS","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"304183010","197834003","304177012","cleansedreadcode"
"K152.00","Chronic Cystitis","32787","Other chronic cystitis","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"304184016","33655002","56180018","cleansedreadcode"
"K152000","Chronic Cystitis","30068","Subacute cystitis","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"8285011","4324001","8285011","cleansedreadcode"
"K152y00","Chronic Cystitis","3469","Chronic cystitis unspecified","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"304186019","33655002","56180018","cleansedreadcode"
"K152z00","Chronic Cystitis","11315","Other chronic cystitis NOS","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"304187011","33655002","56180018","cleansedreadcode"
"K153.11","Chronic Cystitis","11447","Follicular cystitis","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"107972012","64956000","107972012","cleansedreadcode"
"K15y000","Chronic Cystitis","22682","Cystitis cystica","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"22733019","13285005","22733019","cleansedreadcode"
"Kyu5000","Chronic Cystitis","72686","[X]Other chronic cystitis","Diagnosis of Non-acute cystitis",29,"Diseases of the Genitourinary System",7,"305202016","33655002","56180018","cleansedreadcode"
