"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"8HlL.00","Chronic Fatigue Syndrome","100414","Referral for chronic fatigue syndrome activity management","History of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"1167821000000111","522991000000100","1167821000000111","cleansedreadcode"
"8HlL.11","Chronic Fatigue Syndrome","104407","Referral for myalgic encephalopathy activity management","History of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"1550161000000112","522991000000100","1550161000000112","cleansedreadcode"
"8Q1..00","Chronic Fatigue Syndrome","97140","Activity management for chronic fatigue syndrome","History of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"732301000000114","372601000000101","732301000000114","cleansedreadcode"
"8Q1..11","Chronic Fatigue Syndrome","97528","Activity management for myalgic encephalopathy","History of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"737661000000116","372601000000101","737661000000116","cleansedreadcode"
"E205.00","Chronic Fatigue Syndrome","3361","Neurasthenia - nervous debility","Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"677321000006115","78667006","130532011","cleansedreadcode"
"Eu46000","Chronic Fatigue Syndrome","16561","[X]Neurasthenia","Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"399841000006110","78667006","130532011","cleansedreadcode"
"Eu46011","Chronic Fatigue Syndrome","9656","[X]Fatigue syndrome","Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"386731000006116","84229001","139690015","cleansedreadcode"
"F03y.12","Chronic Fatigue Syndrome","4364","Myalgic encephalomyelitis","Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"684221000006112","52702003","496413011","cleansedreadcode"
"F286.00","Chronic Fatigue Syndrome","4546","Chronic fatigue syndrome","Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"87704019","52702003","87704019","cleansedreadcode"
"F286.11","Chronic Fatigue Syndrome","7529","CFS - Chronic fatigue syndrome","Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"496414017","52702003","496414017","cleansedreadcode"
"F286.12","Chronic Fatigue Syndrome","6190","Postviral fatigue syndrome","Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"496412018","51771007","86205014","cleansedreadcode"
"F286.13","Chronic Fatigue Syndrome","27877","PVFS - Postviral fatigue syn","Diagnosis of Postviral fatigue syndrome, neurasthenia and fibromyalgia",30,"Neurological conditions",13,"195091000006116","51771007","86205014","cleansedreadcode"
