"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 3 with proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104231000006115","324251000000105",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 3 without proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104261000006112","324281000000104",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 3A with proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104301000006115","324311000000101",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 3A without proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104351000006116","324341000000100",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 3B with proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104381000006112","324371000000106",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 3B without proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104411000006110","324411000000105",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 4 with proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104451000006111","324441000000106",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 4 without proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104481000006115","324471000000100",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 5 with proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104511000006111","324501000000107",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD (chronic kidney disease) stage 5 without proteinuria",NA,31,"Diseases of the Genitourinary System",7,"8104551000006112","324541000000105",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD stage 3",NA,31,"Diseases of the Genitourinary System",7,"7174791000006111","433144002",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD stage 3 with proteinuria",NA,31,"Diseases of the Genitourinary System",7,"618431000000114","324251000000105",NA,"termsearch"
NA,"Chronic Kidney Disease",NA,"CKD stage 3 without proteinuria",NA,31,"Diseases of the Genitourinary System",7,"618441000000117","324281000000104",NA,"termsearch"
