"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"H01..11","Chronic sinusitis","243","Sinusitis","Possible Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"61668014","36971009","61668014","cleansedreadcode"
"H13..00","Chronic sinusitis","2257","Chronic sinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"66718013","40055000","66718013","cleansedreadcode"
"H13..11","Chronic sinusitis","10546","Chronic rhinosinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"1229598015","40055000","1229598015","cleansedreadcode"
"H130.00","Chronic sinusitis","4433","Chronic maxillary sinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"59944016","35923002","59944016","cleansedreadcode"
"H130.11","Chronic sinusitis","33437","Antritis - chronic","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"488111000006118","35923002","486320019","cleansedreadcode"
"H130.12","Chronic sinusitis","3624","Maxillary sinusitis","Possible Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"146480018","88348008","146480018","cleansedreadcode"
"H131.00","Chronic sinusitis","15163","Chronic frontal sinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"99894013","60130002","99894013","cleansedreadcode"
"H131.11","Chronic sinusitis","2984","Frontal sinusitis","Possible Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"130650014","78737005","130650014","cleansedreadcode"
"H132.00","Chronic sinusitis","1674","Chronic ethmoidal sinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"121629017","73237007","121629017","cleansedreadcode"
"H133.00","Chronic sinusitis","48703","Chronic sphenoidal sinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"65349012","38961000","65349012","cleansedreadcode"
"H135.00","Chronic sinusitis","17173","Recurrent sinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"301210011","195788001","301210011","cleansedreadcode"
"H13y.00","Chronic sinusitis","49548","Other chronic sinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"301211010","40055000","66718013","cleansedreadcode"
"H13y000","Chronic sinusitis","39501","Chronic pansinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"147320013","88850006","147320013","cleansedreadcode"
"H13y100","Chronic sinusitis","2233","Pansinusitis","Possible Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"301212015","195790000","301212015","cleansedreadcode"
"H13yz00","Chronic sinusitis","54375","Other chronic sinusitis NOS","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"301213013","40055000","66718013","cleansedreadcode"
"H13z.00","Chronic sinusitis","5437","Chronic sinusitis NOS","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"301214019","40055000","66718013","cleansedreadcode"
"H17..12","Chronic sinusitis","18572","Allergic rhinosinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"477701000006111","61582004","102311013","cleansedreadcode"
"Hyu2200","Chronic sinusitis","63733","[X]Other chronic sinusitis","Diagnosis of Chronic sinusitis",32,"Diseases of the Respiratory System",8,"301825016","40055000","66718013","cleansedreadcode"
