"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Chronic viral hepatitis",NA,"Antigen Positive Viral Hepatitis B",NA,33,"Infectious Diseases",10,"487571000006116","487571000006100","487571000006116","termsearch"
NA,"Chronic viral hepatitis",NA,"Hepatitis A total antibody test positive",NA,33,"Infectious Diseases",10,"1976991000006119","1976991000006103","1976991000006119","termsearch"
NA,"Chronic viral hepatitis",NA,"Hepatitis B surface antibody test positive",NA,33,"Infectious Diseases",10,"1977011000006113","1977011000006109","1977011000006113","termsearch"
NA,"Chronic viral hepatitis",NA,"Hepatitis C positive",NA,33,"Infectious Diseases",10,"994021000006115","994021000006104","994021000006115","termsearch"
NA,"Chronic viral hepatitis",NA,"[SHHAPT] Viral hepatitis B (HbsAg positive) - first diagnosis",NA,33,"Infectious Diseases",10,"1761241000006114","1761241000006105","1761241000006114","termsearch"
"","Chronic viral hepatitis","","hepatitis c pcr positive","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1676391000006116","1676391000006100","1676391000006116","originalreadcode"
"","Chronic viral hepatitis","","hepatitis c resolved","History of Chronic viral hepatitis",33,"Infectious Diseases",10,"1756531000006116","1756531000006100","1756531000006116","originalreadcode"
"2126700","Chronic viral hepatitis","102372","Hepatitis C resolved","History of Chronic viral hepatitis",33,"Infectious Diseases",10,"1686831000000111","761381000000102","1686831000000111","cleansedreadcode"
"43B4.00","Chronic viral hepatitis","27175","Hepatitis B surface antig +ve","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"820791000006114","165806002","257840015","cleansedreadcode"
"43B5.00","Chronic viral hepatitis","27174","Hepatitis e antigen present","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"257841016","165807006","257841016","cleansedreadcode"
"43X3.00","Chronic viral hepatitis","28568","Hepatitis C antibody test positive","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"459095018","314706002","459095018","cleansedreadcode"
"43j5.00","Chronic viral hepatitis","27191","Hepatitis C nucleic acid detection","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1786403019","1030511000000102","2595451000000116","cleansedreadcode"
"43jG.00","Chronic viral hepatitis","33316","Hepatitis B nucleic acid detection","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1786360015","1031571000000101","2595441000000119","cleansedreadcode"
"4J3B.00","Chronic viral hepatitis","30884","Hepatitis C viral load","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1488891017","992751000000109","2576171000000118","cleansedreadcode"
"4J3D.00","Chronic viral hepatitis","56066","Hepatitis B viral load","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"354081000000114","222531000000101","354081000000114","cleansedreadcode"
"4JQ3.00","Chronic viral hepatitis","35589","Hepatitis C virus genotype","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1783609017","992771000000100","2581311000000111","cleansedreadcode"
"4JQD.00","Chronic viral hepatitis","102568","Hepatitis C viral ribonucleic acid PCR positive","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1766481000006112","760421000000100","1681741000000116","cleansedreadcode"
"4JQD.11","Chronic viral hepatitis","102565","Hepatitis C PCR positive","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1739601000000111","760421000000100","1739601000000111","cleansedreadcode"
"4JQF.00","Chronic viral hepatitis","104243","Hepatitis C antigen positive","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"2118321000000118","812181000000106","2118321000000118","cleansedreadcode"
"7Q05200","Chronic viral hepatitis","100834","Hepatitis B treatment drugs Band 1","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"350841000000119","221021000000103","350841000000119","cleansedreadcode"
"8BB5.00","Chronic viral hepatitis","110411","12 week virologic response to hepatitis C treatment","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"2155841000000118","829241000000108","2155841000000118","cleansedreadcode"
"9NgR.00","Chronic viral hepatitis","104572","On hepatitis C treatment plan","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"2157051000000119","829731000000106","2157051000000119","cleansedreadcode"
"9kR..00","Chronic viral hepatitis","99898","Chronic hepatitis annual review - enhanced services admin","History of Chronic viral hepatitis",33,"Infectious Diseases",10,"1680591000006117","362421000000102","683201000000111","cleansedreadcode"
"9kV..00","Chronic viral hepatitis","96085","Hepatitis C screening positive - enhanced services admin","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1680661000006114","362751000000101","683911000000119","cleansedreadcode"
"9kV..11","Chronic viral hepatitis","98903","Hepatitis C screening positive","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"683911000000119","362751000000101","683911000000119","cleansedreadcode"
"9kX..00","Chronic viral hepatitis","103362","Hepatitis status 6 months post treatment - enhanced serv adm","History of Chronic viral hepatitis",33,"Infectious Diseases",10,"1680701000006118","355741000000101","1154311000000113","cleansedreadcode"
"9kZ..00","Chronic viral hepatitis","95926","Hepatitis B screening positive - enhanced services admin","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1680731000006114","356121000000100","728581000000110","cleansedreadcode"
"9kZ..11","Chronic viral hepatitis","97735","Hepatitis B screening positive","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"669601000000113","356121000000100","669601000000113","cleansedreadcode"
"A703.00","Chronic viral hepatitis","2860","Viral (serum) hepatitis B","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"61061000006116","66071002","109733012","cleansedreadcode"
"A705000","Chronic viral hepatitis","2834","Viral hepatitis C without mention of hepatic coma","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"286871011","50711007","84513012","cleansedreadcode"
"A705100","Chronic viral hepatitis","32657","Acute delta-(super)infection of hepatitis B carrier","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"353575013","235865005","353575013","cleansedreadcode"
"A707.00","Chronic viral hepatitis","26367","Chronic viral hepatitis","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"17930015","10295004","17930015","cleansedreadcode"
"A707000","Chronic viral hepatitis","24813","Chronic viral hepatitis B with delta-agent","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"353580016","235869004","353580016","cleansedreadcode"
"A707100","Chronic viral hepatitis","41096","Chronic viral hepatitis B without delta-agent","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"286879013","186639003","286879013","cleansedreadcode"
"A707200","Chronic viral hepatitis","30586","Chronic viral hepatitis C","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"557071000006112","128302006","206586011","cleansedreadcode"
"A707300","Chronic viral hepatitis","106642","Chronic viral hepatitis B","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"1232261014","61977001","1232261014","cleansedreadcode"
"A707X00","Chronic viral hepatitis","32277","Chronic viral hepatitis, unspecified","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"557081000006110","10295004","17930015","cleansedreadcode"
"A70A.00","Chronic viral hepatitis","104341","Hepatitis C genotype 1","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"2146441000000113","824841000000105","2146441000000113","cleansedreadcode"
"A70B.00","Chronic viral hepatitis","105664","Hepatitis C genotype 2","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"2146461000000114","824851000000108","2146461000000114","cleansedreadcode"
"A70C.00","Chronic viral hepatitis","104346","Hepatitis C genotype 3","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"2146501000000114","824871000000104","2146501000000114","cleansedreadcode"
"A70D.00","Chronic viral hepatitis","104892","Hepatitis C genotype 4","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"2146521000000117","824881000000102","2146521000000117","cleansedreadcode"
"A70z000","Chronic viral hepatitis","2413","Hepatitis C","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"84516016","50711007","84516016","cleansedreadcode"
"AyuB100","Chronic viral hepatitis","108343","[X]Other chronic viral hepatitis","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"288169017","10295004","17930015","cleansedreadcode"
"AyuB200","Chronic viral hepatitis","107896","[X]Chronic viral hepatitis, unspecified","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"288170016","10295004","17930015","cleansedreadcode"
"Q409100","Chronic viral hepatitis","50245","Congenital hepatitis B infection","Diagnosis of Chronic viral hepatitis",33,"Infectious Diseases",10,"582851000006119","60498001","100520013","cleansedreadcode"
