"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"C310400","Cirrhosis","19512","Glycogenosis with hepatic cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"803961000006119","29633007","49567015","cleansedreadcode"
"C350012","Cirrhosis","8206","Pigmentary cirrhosis of liver","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"1786709019","399126000","1786709019","cleansedreadcode"
"C370800","Cirrhosis","102922","Cystic fibrosis related cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"1736361000000112","776981000000103","1736361000000112","cleansedreadcode"
"G852200","Cirrhosis","26319","Oesophageal varices in cirrhosis of the liver","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"451442010","308129003","451442010","cleansedreadcode"
"G852300","Cirrhosis","8363","Oesophageal varices in alcoholic cirrhosis of the liver","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"453265010","309783001","453265010","cleansedreadcode"
"J61..00","Cirrhosis","6863","Cirrhosis and chronic liver disease","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"303393017","197279005","303393017","cleansedreadcode"
"J612.00","Cirrhosis","4743","Alcoholic cirrhosis of liver","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"476611000006116","420054005","2920441014","cleansedreadcode"
"J612.11","Cirrhosis","68376","Florid cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"126721013","76301009","126721013","cleansedreadcode"
"J612.12","Cirrhosis","100474","Laennec's cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"2579818016","419728003","2576980018","cleansedreadcode"
"J612000","Cirrhosis","21713","Alcoholic fibrosis and sclerosis of liver","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"353594015","235880004","353594015","cleansedreadcode"
"J613.00","Cirrhosis","7885","Alcoholic liver damage unspecified","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"303399018","41309000","68906017","cleansedreadcode"
"J613000","Cirrhosis","17330","Alcoholic hepatic failure","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"353595019","235881000","353595019","cleansedreadcode"
"J615.00","Cirrhosis","16725","Cirrhosis - non alcoholic","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"221111000000114","266468003","396389015","cleansedreadcode"
"J615.11","Cirrhosis","47257","Portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"2576980018","419728003","2576980018","cleansedreadcode"
"J615100","Cirrhosis","69204","Multilobular portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"396390012","266469006","396390012","cleansedreadcode"
"J615300","Cirrhosis","3450","Diffuse nodular cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"303419015","197293003","303419015","cleansedreadcode"
"J615400","Cirrhosis","44676","Fatty portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"303420014","197294009","303420014","cleansedreadcode"
"J615500","Cirrhosis","92909","Hypertrophic portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"493707012","43904005","493707012","cleansedreadcode"
"J615600","Cirrhosis","40567","Capsular portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"303425016","197296006","303425016","cleansedreadcode"
"J615700","Cirrhosis","27438","Cardiac portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"396391011","266470007","396391011","cleansedreadcode"
"J615711","Cirrhosis","108819","Congestive cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"123999018","74669004","123997016","cleansedreadcode"
"J615800","Cirrhosis","96664","Juvenile portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"396392016","266471006","396392016","cleansedreadcode"
"J615812","Cirrhosis","58184","Indian childhood cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"11267010","6183001","11267010","cleansedreadcode"
"J615C00","Cirrhosis","100253","Xanthomatous portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"55851000006118","271440004","406232019","cleansedreadcode"
"J615D00","Cirrhosis","73482","Bacterial portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"303437019","197303009","303437019","cleansedreadcode"
"J615G00","Cirrhosis","109540","Zooparasitic portal cirrhosis","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"303440019","197306001","303440019","cleansedreadcode"
"J615H00","Cirrhosis","48928","Infectious cirrhosis NOS","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"303441015","235896001","353622016","cleansedreadcode"
"J615y00","Cirrhosis","55454","Portal cirrhosis unspecified","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",34,"Diseases of the Digestive System",3,"303442010","419728003","2576980018","cleansedreadcode"
