"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Collapsed vertebra","","collapse of cervical vertebra","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"572141000006117","308757003","452080019","description"
"7J41300","Collapsed vertebra","88269","Vertebroplasty of fracture of spine","Procedure for Collapsed vertebra",36,"Musculoskeletal conditions",12,"370001000000111","230411000000106","370001000000111","cleansedreadcode"
"7J41500","Collapsed vertebra","90472","Balloon kyphoplasty of fracture of spine","Procedure for Collapsed vertebra",36,"Musculoskeletal conditions",12,"2674037014","426243004","2674037014","cleansedreadcode"
"7J48M00","Collapsed vertebra","19376","Vertebroplasty","Procedure for Collapsed vertebra",36,"Musculoskeletal conditions",12,"1780420012","401226007","1780420012","cleansedreadcode"
"N331.11","Collapsed vertebra","28575","Collapse of spine NOS","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"359835018","268029009","400338014","cleansedreadcode"
"N331.12","Collapsed vertebra","2793","Collapse of vertebra NOS","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"359834019","84138006","139537010","cleansedreadcode"
"N331.14","Collapsed vertebra","44386","Osteoporotic vertebral collapse","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"359833013","240198002","359833013","cleansedreadcode"
"N331000","Collapsed vertebra","30616","Pathological fracture of thoracic vertebra","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"405143010","270507001","405143010","cleansedreadcode"
"N331011","Collapsed vertebra","15837","Collapse of thoracic vertebra","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"572221000006119","308756007","452079017","cleansedreadcode"
"N331100","Collapsed vertebra","30352","Pathological fracture of lumbar vertebra","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"405144016","270508006","405144016","cleansedreadcode"
"N331111","Collapsed vertebra","23686","Collapse of lumbar vertebra","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"572171000006113","308758008","452081015","cleansedreadcode"
"N331800","Collapsed vertebra","17377","Osteoporosis + pathological fracture lumbar vertebrae","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"40881000006116","203450003","312162011","cleansedreadcode"
"N331900","Collapsed vertebra","12673","Osteoporosis + pathological fracture thoracic vertebrae","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"40891000006118","203451004","312163018","cleansedreadcode"
"N331A00","Collapsed vertebra","48772","Osteoporosis + pathological fracture cervical vertebrae","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"40871000006119","203452006","312164012","cleansedreadcode"
"N331C00","Collapsed vertebra","37945","Pathological fracture of cervical vertebra","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"451463012","308145001","451463012","cleansedreadcode"
"N331D00","Collapsed vertebra","38728","Collapsed vertebra NOS","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"451464018","84138006","139537010","cleansedreadcode"
"N331E00","Collapsed vertebra","17008","Collapse of cervical vertebra","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"452080019","308757003","452080019","cleansedreadcode"
"N331F00","Collapsed vertebra","9319","Collapse of thoracic vertebra","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"452079017","308756007","452079017","cleansedreadcode"
"N331G00","Collapsed vertebra","11543","Collapse of lumbar vertebra","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"452081015","308758008","452081015","cleansedreadcode"
"N331H00","Collapsed vertebra","45736","Collapse of cervical vertebra due to osteoporosis","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"455433012","311806008","455433012","cleansedreadcode"
"N331J00","Collapsed vertebra","5841","Collapse of lumbar vertebra due to osteoporosis","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"455534015","311890007","455534015","cleansedreadcode"
"N331K00","Collapsed vertebra","19048","Collapse of thoracic vertebra due to osteoporosis","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"455535019","311891006","455535019","cleansedreadcode"
"N331L00","Collapsed vertebra","4013","Collapse of vertebra due to osteoporosis NOS","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"455536018","240198002","2920899019","cleansedreadcode"
"Nyu6700","Collapsed vertebra","73900","[X]Collapsed vertebra in diseases classified elsewhere","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"312617013","50448004","84047017","cleansedreadcode"
"S100H00","Collapsed vertebra","53337","Closed fracture cervical vertebra, wedge","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"318384010","207904007","318384010","cleansedreadcode"
"S102100","Collapsed vertebra","28524","Closed fracture thoracic vertebra, wedge","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"318437014","207940009","318437014","cleansedreadcode"
"S104100","Collapsed vertebra","8266","Closed fracture lumbar vertebra, wedge","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"318456016","207959006","318456016","cleansedreadcode"
"S106000","Collapsed vertebra","72404","Closed compression fracture sacrum","Diagnosis of Collapsed vertebra",36,"Musculoskeletal conditions",12,"318474013","207975009","318474013","cleansedreadcode"
