"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"2126800","Congenital Septal Defect","104307","Ostium secundum atrial septal defect resolved","History of Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"2132891000000115","818681000000104","2132891000000115","cleansedreadcode"
"24M..00","Congenital Septal Defect","104345","Spontaneous closure of ventricular septal defect","History of Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"2899653018","123714004","2899653018","cleansedreadcode"
"7902.11","Congenital Septal Defect","12844","Repair of tetralogy of Fallot","Procedure for Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"270779017","174814003","270779017","cleansedreadcode"
"7902000","Congenital Septal Defect","16538","Correct Fallot tetralogy- valved right ventr outflow conduit","Procedure for Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"596081000006119","174815002","270784011","cleansedreadcode"
"7902100","Congenital Septal Defect","73029","Correct Fallot tetralogy- right ventric outflow conduit NEC","Procedure for Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"596061000006112","448302004","2899822018","cleansedreadcode"
"7902200","Congenital Septal Defect","99198","Correct Fallot tetralogy- right ventricular outflow patch","Procedure for Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"596071000006117","174817005","270786013","cleansedreadcode"
"7902300","Congenital Septal Defect","70857","Revision of correction of tetralogy of Fallot","Procedure for Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"270787016","174818000","270787016","cleansedreadcode"
"7902400","Congenital Septal Defect","88842","Repair of tetralogy of Fallot using transannular patch","Procedure for Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"375271000000119","83698002","138809019","cleansedreadcode"
"7902500","Congenital Septal Defect","88479","Repair of tetralogy of Fallot with absent pulmonary valve","Procedure for Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"2675832010","425785006","2675832010","cleansedreadcode"
"7902600","Congenital Septal Defect","93719","Repair Fallot-type pulmonary atresia aortopulmonary collater","Procedure for Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"1546281000006115","232921000000108","375311000000119","cleansedreadcode"
"7902y00","Congenital Septal Defect","65401","Other specified correction of tetralogy of Fallot","Procedure for Congenital malformations of cardiac septa",37,"Perinatal conditions",14,"270788014","174814003","270779017","cleansedreadcode"
