"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Coronary Heart Disease (not otherwise specified)",NA,"CHD - Coronary heart disease",NA,39,"Diseases of the Circulatory System",2,"3371411000006113","53741008","2536397013","termsearch"
NA,"Coronary Heart Disease (not otherwise specified)",NA,"CHD annual review",NA,39,"Diseases of the Circulatory System",2,"856511000006113","856511000006109","856511000006113","termsearch"
NA,"Coronary Heart Disease (not otherwise specified)",NA,"Coronary heart disease",NA,39,"Diseases of the Circulatory System",2,"3371421000006117","53741008","2536398015","termsearch"
NA,"Coronary Heart Disease (not otherwise specified)",NA,"Coronary heart disease confirmed",NA,39,"Diseases of the Circulatory System",2,"1823891000006113","1823891000006109","1823891000006113","termsearch"
NA,"Coronary Heart Disease (not otherwise specified)",NA,"On coronary heart disease register",NA,39,"Diseases of the Circulatory System",2,"1895641000006114","1895641000006105","1895641000006114","termsearch"
NA,"Coronary Heart Disease (not otherwise specified)",NA,"[RFC] Chronic heart disease (CHD)",NA,39,"Diseases of the Circulatory System",2,"905361000006110","905361000006106","905361000006110","termsearch"
NA,"Coronary Heart Disease (not otherwise specified)",NA,"[RFC] Coronary heart disease",NA,39,"Diseases of the Circulatory System",2,"908791000006113","908791000006109","908791000006113","termsearch"
"","Coronary Heart Disease (not otherwise specified)","","admit ischaemic heart disease emergency","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"12490701000006116","699245006","2983101018","originalreadcode"
"","Coronary Heart Disease (not otherwise specified)","","arteriosclerotic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"3371371000006112","53741008","2536393012","originalreadcode"
"","Coronary Heart Disease (not otherwise specified)","","other acute and subacute ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"12727001000006115","643861000000100","1417221000000112","originalreadcode"
"","Coronary Heart Disease (not otherwise specified)","","other chronic ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"12730281000006119","621601000000104","1372421000000112","originalreadcode"
"6A2..00","Coronary Heart Disease (not otherwise specified)","18135","Coronary heart disease annual review","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"460133017","315614006","460133017","cleansedreadcode"
"6A4..00","Coronary Heart Disease (not otherwise specified)","10260","Coronary heart disease review","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"1484833014","390799004","1484833014","cleansedreadcode"
"8B3k.00","Coronary Heart Disease (not otherwise specified)","11648","Coronary heart disease medication review","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"1488440011","394724007","1488440011","cleansedreadcode"
"8H2V.00","Coronary Heart Disease (not otherwise specified)","95550","Admit ischaemic heart disease emergency","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"585631000000113","699245006","3082941013","cleansedreadcode"
"G3...00","Coronary Heart Disease (not otherwise specified)","240","Ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"2534664018","414545008","2534664018","cleansedreadcode"
"G3...11","Coronary Heart Disease (not otherwise specified)","24783","Arteriosclerotic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"2536393012","443502000","2842265012","cleansedreadcode"
"G3...12","Coronary Heart Disease (not otherwise specified)","20416","Atherosclerotic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"89332015","443502000","2842265012","cleansedreadcode"
"G3...13","Coronary Heart Disease (not otherwise specified)","1792","IHD - Ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"2537480011","414545008","2537480011","cleansedreadcode"
"G31..00","Coronary Heart Disease (not otherwise specified)","27951","Other acute and subacute ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"39111000006114","414545008","2534663012","cleansedreadcode"
"G311000","Coronary Heart Disease (not otherwise specified)","61072","Myocardial infarction aborted","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"682481000006118","194821006","2619484018","cleansedreadcode"
"G311011","Coronary Heart Disease (not otherwise specified)","55137","MI - myocardial infarction aborted","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"2619484018","194821006","2619484018","cleansedreadcode"
"G31y.00","Coronary Heart Disease (not otherwise specified)","9413","Other acute and subacute ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"299723016","414545008","2534663012","cleansedreadcode"
"G31y200","Coronary Heart Disease (not otherwise specified)","39693","Subendocardial ischaemia","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"494438016","46109009","494438016","cleansedreadcode"
"G31y300","Coronary Heart Disease (not otherwise specified)","21844","Transient myocardial ischaemia","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"459488019","315026000","459488019","cleansedreadcode"
"G31yz00","Coronary Heart Disease (not otherwise specified)","27977","Other acute and subacute ischaemic heart disease NOS","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"299750014","414545008","2534663012","cleansedreadcode"
"G34..00","Coronary Heart Disease (not otherwise specified)","28138","Other chronic ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"299776014","413838009","2534672016","cleansedreadcode"
"G340.00","Coronary Heart Disease (not otherwise specified)","5413","Coronary atherosclerosis","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"595731000006114","443502000","2842265012","cleansedreadcode"
"G340.12","Coronary Heart Disease (not otherwise specified)","1344","Coronary artery disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"2536395017","53741008","2536395017","cleansedreadcode"
"G343.00","Coronary Heart Disease (not otherwise specified)","7320","Ischaemic cardiomyopathy","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"299796018","194849004","299796018","cleansedreadcode"
"G344.00","Coronary Heart Disease (not otherwise specified)","29421","Silent myocardial ischaemia","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"350354017","233823002","350354017","cleansedreadcode"
"G34y.00","Coronary Heart Disease (not otherwise specified)","34633","Other specified chronic ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"299800012","413838009","2534671011","cleansedreadcode"
"G34y100","Coronary Heart Disease (not otherwise specified)","23078","Chronic myocardial ischaemia","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"2534674015","413844008","2534674015","cleansedreadcode"
"G34yz00","Coronary Heart Disease (not otherwise specified)","35713","Other specified chronic ischaemic heart disease NOS","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"299804015","413838009","2534671011","cleansedreadcode"
"G34z.00","Coronary Heart Disease (not otherwise specified)","15754","Other chronic ischaemic heart disease NOS","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"299805019","413838009","2534672016","cleansedreadcode"
"G34z000","Coronary Heart Disease (not otherwise specified)","18889","Asymptomatic coronary heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"459859010","315348000","459859010","cleansedreadcode"
"G3y..00","Coronary Heart Disease (not otherwise specified)","22383","Other specified ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"299834013","414545008","2534664018","cleansedreadcode"
"G3z..00","Coronary Heart Disease (not otherwise specified)","1676","Ischaemic heart disease NOS","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"299835014","414545008","2534664018","cleansedreadcode"
"Gyu3.00","Coronary Heart Disease (not otherwise specified)","52517","[X]Ischaemic heart diseases","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"394541000006112","414545008","2534664018","cleansedreadcode"
"Gyu3200","Coronary Heart Disease (not otherwise specified)","68401","[X]Other forms of acute ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"300876010","414545008","2534663012","cleansedreadcode"
"Gyu3300","Coronary Heart Disease (not otherwise specified)","47637","[X]Other forms of chronic ischaemic heart disease","Diagnosed (3)",39,"Diseases of the Circulatory System",2,"300879015","413838009","2534671011","cleansedreadcode"
