"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"J08z900","Crohn's disease","29616","Orofacial Crohn's disease","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"302322010","196578009","302322010","cleansedreadcode"
"J40..00","Crohn's disease","11286","Regional enteritis - Crohn's disease","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"179501000006113","34000006","485713019","cleansedreadcode"
"J40..11","Crohn's disease","593","Crohn's disease","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"56765016","34000006","56765016","cleansedreadcode"
"J40..12","Crohn's disease","51578","Granulomatous enteritis","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"56770011","34000006","56765016","cleansedreadcode"
"J400.00","Crohn's disease","51576","Regional enteritis of the small bowel","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"179571000006119","56689002","94270018","cleansedreadcode"
"J400000","Crohn's disease","71945","Regional enteritis of the duodenum","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"497569010","56287005","497569010","cleansedreadcode"
"J400100","Crohn's disease","63036","Regional enteritis of the jejunum","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"302937016","196976000","302937016","cleansedreadcode"
"J400200","Crohn's disease","28476","Crohn's disease of the terminal ileum","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"601091000006115","196977009","302938014","cleansedreadcode"
"J400300","Crohn's disease","66238","Crohn's disease of the ileum unspecified","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"302939018","38106008","64705019","cleansedreadcode"
"J400400","Crohn's disease","39278","Crohn's disease of the ileum NOS","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"302940016","38106008","64705019","cleansedreadcode"
"J400500","Crohn's disease","36913","Exacerbation of Crohn's disease of small intestine","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"2532958014","414154002","2532958014","cleansedreadcode"
"J400z00","Crohn's disease","9359","Crohn's disease of the small bowel NOS","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"302941017","56689002","94270018","cleansedreadcode"
"J401.00","Crohn's disease","44426","Regional enteritis of the large bowel","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"1495442018","7620006","1495442018","cleansedreadcode"
"J401000","Crohn's disease","62628","Regional enteritis of the colon","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"179521000006115","50440006","1230866018","cleansedreadcode"
"J401100","Crohn's disease","64773","Regional enteritis of the rectum","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"488238014","3815005","488238014","cleansedreadcode"
"J401200","Crohn's disease","39037","Exacerbation of Crohn's disease of large intestine","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"2532950019","414153008","2532950019","cleansedreadcode"
"J401z00","Crohn's disease","20688","Crohn's disease of the large bowel NOS","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"396357012","7620006","13585013","cleansedreadcode"
"J401z11","Crohn's disease","6538","Crohn's colitis","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"601031000006119","50440006","1230866018","cleansedreadcode"
"J402.00","Crohn's disease","15773","Regional ileocolitis","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"302946010","196983007","302946010","cleansedreadcode"
"J40z.00","Crohn's disease","52449","Regional enteritis NOS","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"302947018","34000006","56765016","cleansedreadcode"
"J40z.11","Crohn's disease","59994","Crohn's disease NOS","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"1222351011","34000006","56765016","cleansedreadcode"
"Jyu4000","Crohn's disease","69959","[X]Other Crohn's disease","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"303761010","34000006","56765016","cleansedreadcode"
"N031100","Crohn's disease","20480","Arthropathy in Crohn's disease","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"309744019","201728006","309744019","cleansedreadcode"
"N045300","Crohn's disease","12575","Juvenile arthritis in Crohn's disease","History of Crohn's disease",40,"Diseases of the Digestive System",3,"309833017","201805000","309833017","cleansedreadcode"
"ZR3S.00","Crohn's disease","11337","Crohn's disease activity index","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,NA,NA,NA,"cleansedreadcode"
"ZR3S.11","Crohn's disease","11119","CDAI - Crohn's disease activity index","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,NA,NA,NA,"cleansedreadcode"
"","Crohn's disease","","granulomatous enteritis","Diagnosis of Crohn's disease",40,"Diseases of the Digestive System",3,"3047381000006117","34000006","56770011","originalreadcode"
NA,"Crohn's disease",NA,"Regional enteritis - Crohn",NA,40,"Diseases of the Digestive System",3,"886291000006112","34000006","886291000006112","termsearch"
NA,"Crohn's disease",NA,"[RFC] Crohns disease",NA,40,"Diseases of the Digestive System",3,"906051000006118","906051000006102","906051000006118","termsearch"
