"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"66k..00","Cystic Fibrosis","100430","Cystic fibrosis monitoring","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1148201000000111","515611000000104","1148201000000111","cleansedreadcode"
"66k0.00","Cystic Fibrosis","100520","Cystic fibrosis annual review","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1148241000000114","515631000000107","1148241000000114","cleansedreadcode"
"C10N100","Cystic Fibrosis","93380","Cystic fibrosis related diabetes mellitus","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"494831000000119","426705001","2674608014","cleansedreadcode"
"C370.00","Cystic Fibrosis","6220","Cystic fibrosis","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"293528019","190905008","293528019","cleansedreadcode"
"C370.11","Cystic Fibrosis","13264","Fibrocystic disease","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"293530017","190905008","293530017","cleansedreadcode"
"C370.12","Cystic Fibrosis","24137","Mucoviscidosis","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"293532013","190905008","293532013","cleansedreadcode"
"C370000","Cystic Fibrosis","65344","Cystic fibrosis with no meconium ileus","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1495466012","81423003","1495466012","cleansedreadcode"
"C370100","Cystic Fibrosis","69017","Cystic fibrosis with meconium ileus","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"142759013","86092005","142759013","cleansedreadcode"
"C370111","Cystic Fibrosis","36622","Meconium ileus in cystic fibrosis","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1495490013","86092005","1495490013","cleansedreadcode"
"C370200","Cystic Fibrosis","18914","Cystic fibrosis with pulmonary manifestations","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"606441000006110","86555001","143537016","cleansedreadcode"
"C370300","Cystic Fibrosis","18905","Cystic fibrosis with intestinal manifestations","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"293537019","190909002","293537019","cleansedreadcode"
"C370400","Cystic Fibrosis","100610","Arthropathy in cystic fibrosis","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1174311000000111","526071000000104","1174311000000111","cleansedreadcode"
"C370500","Cystic Fibrosis","103224","Cystic fibrosis with distal intestinal obstruction syndrome","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1174361000000113","526091000000100","1174361000000113","cleansedreadcode"
"C370700","Cystic Fibrosis","110454","Liver disease due to cystic fibrosis","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"2675247013","427022004","2675247013","cleansedreadcode"
"C370800","Cystic Fibrosis","102922","Cystic fibrosis related cirrhosis","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1736361000000112","776981000000103","1736361000000112","cleansedreadcode"
"C370900","Cystic Fibrosis","106432","Exacerbation of cystic fibrosis","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"2222561000000111","859041000000103","2222561000000111","cleansedreadcode"
"C370y00","Cystic Fibrosis","73065","Cystic fibrosis with other manifestations","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"451084014","190905008","293528019","cleansedreadcode"
"C370z00","Cystic Fibrosis","49770","Cystic fibrosis NOS","Diagnosis of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"293539016","190905008","293528019","cleansedreadcode"
"","Cystic Fibrosis","","arthropathy in cystic fibrosis","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1709161000006116","1709161000006100","1709161000006116","originalreadcode"
"","Cystic Fibrosis","","cystic fibrosis annual review","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1708971000006117","1708971000006101","1708971000006117","originalreadcode"
"","Cystic Fibrosis","","cystic fibrosis monitoring","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1708961000006112","1708961000006108","1708961000006112","originalreadcode"
"","Cystic Fibrosis","","liver disease due to cystic fibrosis","History of Cystic Fibrosis",41,"Diseases of the Endocrine System",5,"1709341000006117","1709341000006101","1709341000006117","originalreadcode"
