"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Dementia",NA,"Dementia",NA,42,"Mental Health Disorders",11,"882171000006115","268612007","882171000006115","termsearch"
NA,"Dementia",NA,"Dementia monitoring in primary care",NA,42,"Mental Health Disorders",11,"1856601000006111","1856601000006107","1856601000006111","termsearch"
NA,"Dementia",NA,"Dementia monitoring in secondary care",NA,42,"Mental Health Disorders",11,"1856611000006114","1856611000006105","1856611000006114","termsearch"
NA,"Dementia",NA,"Dementia review",NA,42,"Mental Health Disorders",11,"915111000006112","915111000006108","915111000006112","termsearch"
NA,"Dementia",NA,"[D] Dementia",NA,42,"Mental Health Disorders",11,"914941000006112","914941000006108","914941000006112","termsearch"
NA,"Dementia",NA,"[D] Dementia in Alzheimer's disease",NA,42,"Mental Health Disorders",11,"914951000006114","914951000006105","914951000006114","termsearch"
NA,"Dementia",NA,"[D] Dementia with Lewy bodies",NA,42,"Mental Health Disorders",11,"914931000006119","914931000006103","914931000006119","termsearch"
NA,"Dementia",NA,"[D] Vascular dementia",NA,42,"Mental Health Disorders",11,"914921000006117","914921000006101","914921000006117","termsearch"
"","Dementia","","dementia care plan","History of Dementia",42,"Mental Health Disorders",11,"1834091000006117","1834091000006101","1834091000006117","originalreadcode"
"","Dementia","","multi infarct dementia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"3414261000006114","56267009","2921000019","originalreadcode"
"66h..00","Dementia","55023","Dementia monitoring","History of Dementia",42,"Mental Health Disorders",11,"407461000000119","248711000000102","407461000000119","cleansedreadcode"
"6AB..00","Dementia","12710","Dementia annual review","History of Dementia",42,"Mental Health Disorders",11,"408401000000119","249181000000100","408401000000119","cleansedreadcode"
"8CMZ.00","Dementia","106311","Dementia care plan","History of Dementia",42,"Mental Health Disorders",11,"2248021000000110","736371006","3517265010","cleansedreadcode"
"9Ou..00","Dementia","85853","Dementia monitoring administration","History of Dementia",42,"Mental Health Disorders",11,"406841000000115","713821000000106","1565061000000113","cleansedreadcode"
"9Ou1.00","Dementia","49674","Dementia monitoring first letter","History of Dementia",42,"Mental Health Disorders",11,"408361000000111","715821000000107","1568381000000110","cleansedreadcode"
"9Ou2.00","Dementia","83576","Dementia monitoring second letter","History of Dementia",42,"Mental Health Disorders",11,"408421000000111","717471000000101","1570011000000111","cleansedreadcode"
"9Ou3.00","Dementia","89036","Dementia monitoring third letter","History of Dementia",42,"Mental Health Disorders",11,"408461000000115","716671000000102","1569221000000112","cleansedreadcode"
"9Ou4.00","Dementia","89037","Dementia monitoring verbal invite","History of Dementia",42,"Mental Health Disorders",11,"408481000000112","716221000000104","1568781000000111","cleansedreadcode"
"9Ou5.00","Dementia","65235","Dementia monitoring telephone invite","History of Dementia",42,"Mental Health Disorders",11,"408501000000115","716991000000108","1569541000000119","cleansedreadcode"
"9hD..00","Dementia","44341","Exception reporting: dementia quality indicators","History of Dementia",42,"Mental Health Disorders",11,"294111000000119","715881000000108","1568441000000113","cleansedreadcode"
"9hD0.00","Dementia","30641","Excepted from dementia quality indicators: Patient unsuitabl","History of Dementia",42,"Mental Health Disorders",11,"999961000006114","716341000000104","1568891000000117","cleansedreadcode"
"9hD1.00","Dementia","40805","Excepted from dementia quality indicators: Informed dissent","History of Dementia",42,"Mental Health Disorders",11,"294321000000111","716131000000105","1568691000000118","cleansedreadcode"
"E00..00","Dementia","33707","Senile and presenile organic psychotic conditions","Diagnosis of Dementia",42,"Mental Health Disorders",11,"401757012","268612007","401757012","cleansedreadcode"
"E00..11","Dementia","1916","Senile dementia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"26545010","15662003","26545010","cleansedreadcode"
"E00..12","Dementia","1350","Senile/presenile dementia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"148381000006115","52448006","87274019","cleansedreadcode"
"E000.00","Dementia","7323","Uncomplicated senile dementia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294635013","191449005","294635013","cleansedreadcode"
"E001.00","Dementia","15165","Presenile dementia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"21256010","12348006","21256010","cleansedreadcode"
"E001000","Dementia","42602","Uncomplicated presenile dementia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294637017","191451009","294637017","cleansedreadcode"
"E001100","Dementia","49513","Presenile dementia with delirium","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294638010","191452002","294638010","cleansedreadcode"
"E001200","Dementia","30032","Presenile dementia with paranoia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294641018","191454001","294641018","cleansedreadcode"
"E001300","Dementia","27677","Presenile dementia with depression","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294642013","191455000","294642013","cleansedreadcode"
"E001z00","Dementia","38438","Presenile dementia NOS","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294643015","12348006","21256010","cleansedreadcode"
"E002.00","Dementia","44674","Senile dementia with depressive or paranoid features","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294644014","191457008","294644014","cleansedreadcode"
"E002000","Dementia","18386","Senile dementia with paranoia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294645010","191458003","294645010","cleansedreadcode"
"E002100","Dementia","21887","Senile dementia with depression","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294646011","191459006","294646011","cleansedreadcode"
"E002z00","Dementia","41089","Senile dementia with depressive or paranoid features NOS","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294647019","191457008","294644014","cleansedreadcode"
"E003.00","Dementia","37015","Senile dementia with delirium","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294648012","191461002","294648012","cleansedreadcode"
"E004.00","Dementia","19477","Arteriosclerotic dementia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"497559016","56267009","497559016","cleansedreadcode"
"E004.11","Dementia","8634","Multi infarct dementia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"696161000006115","56267009","93568017","cleansedreadcode"
"E004000","Dementia","43089","Uncomplicated arteriosclerotic dementia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294652012","191463004","294652012","cleansedreadcode"
"E004100","Dementia","56912","Arteriosclerotic dementia with delirium","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294653019","191464005","294653019","cleansedreadcode"
"E004200","Dementia","55467","Arteriosclerotic dementia with paranoia","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294654013","191465006","294654013","cleansedreadcode"
"E004300","Dementia","43292","Arteriosclerotic dementia with depression","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294655014","191466007","294655014","cleansedreadcode"
"E004z00","Dementia","42279","Arteriosclerotic dementia NOS","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294656010","56267009","497559016","cleansedreadcode"
"E00y.00","Dementia","15249","Other senile and presenile organic psychoses","Diagnosis of Dementia",42,"Mental Health Disorders",11,"401759010","268612007","401757012","cleansedreadcode"
"E00y.11","Dementia","51494","Presbyophrenic psychosis","Diagnosis of Dementia",42,"Mental Health Disorders",11,"346897015","231438001","346897015","cleansedreadcode"
"E00z.00","Dementia","2882","Senile or presenile psychoses NOS","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294660013","268612007","401757012","cleansedreadcode"
"E041.00","Dementia","25386","Dementia in conditions EC","Diagnosis of Dementia",42,"Mental Health Disorders",11,"294718018","191519005","294718018","cleansedreadcode"
"Eu00.00","Dementia","7664","[X]Dementia in Alzheimer's disease","Diagnosis of Dementia",42,"Mental Health Disorders",11,"295668011","26929004","45046017","cleansedreadcode"
"Eu00000","Dementia","49263","[X]Dementia in Alzheimer's disease with early onset","Diagnosis of Dementia",42,"Mental Health Disorders",11,"376531000006119","416780008","2957119019","cleansedreadcode"
"Eu00011","Dementia","25704","[X]Presenile dementia,Alzheimer's type","Diagnosis of Dementia",42,"Mental Health Disorders",11,"423351000006115","416780008","2957138011","cleansedreadcode"
"Eu00012","Dementia","60059","[X]Primary degen dementia, Alzheimer's type, presenile onset","Diagnosis of Dementia",42,"Mental Health Disorders",11,"423391000006114","416780008","2957119019","cleansedreadcode"
"Eu00013","Dementia","61528","[X]Alzheimer's disease type 2","Diagnosis of Dementia",42,"Mental Health Disorders",11,"363041000006118","416780008","2957119019","cleansedreadcode"
"Eu00100","Dementia","38678","[X]Dementia in Alzheimer's disease with late onset","Diagnosis of Dementia",42,"Mental Health Disorders",11,"376541000006112","416975007","2957137018","cleansedreadcode"
"Eu00111","Dementia","46762","[X]Alzheimer's disease type 1","Diagnosis of Dementia",42,"Mental Health Disorders",11,"363031000006111","416975007","2957137018","cleansedreadcode"
"Eu00112","Dementia","11379","[X]Senile dementia,Alzheimer's type","Diagnosis of Dementia",42,"Mental Health Disorders",11,"425901000006116","416975007","2957124016","cleansedreadcode"
"Eu00113","Dementia","43346","[X]Primary degen dementia of Alzheimer's type, senile onset","Diagnosis of Dementia",42,"Mental Health Disorders",11,"423381000006111","416975007","2957137018","cleansedreadcode"
