"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Depression","","[x]depressive personality disorder","Diagnosis of Depression",43,"Mental Health Disorders",11,"11914901000006114","78667006","376751000006117","originalreadcode"
"","Depression","","[x]mild depressive episode","Diagnosis of Depression",43,"Mental Health Disorders",11,"11918531000006118","430421000000104","904321000000110","originalreadcode"
"","Depression","","[x]moderate depressive episode","Diagnosis of Depression",43,"Mental Health Disorders",11,"11918561000006110","465441000000108","904331000000112","originalreadcode"
"","Depression","","[x]recurrent severe episodes/reactive depressive psychosis","Diagnosis of Depression",43,"Mental Health Disorders",11,"11921141000006115","191613003","424681000006118","originalreadcode"
"","Depression","","[x]severe depressive episode without psychotic symptoms","Diagnosis of Depression",43,"Mental Health Disorders",11,"11921301000006119","397701000000102","882711000000116","originalreadcode"
"","Depression","","depressive disorder nec","Diagnosis of Depression",43,"Mental Health Disorders",11,"12727931000006110","609311000000100","1347681000000113","originalreadcode"
"","Depression","","single major depressive episode, in full remission","History of Depression",43,"Mental Health Disorders",11,"12451451000006110","19527009","142491000006113","originalreadcode"
"","Depression","","single major depressive episode, moderate","Diagnosis of Depression",43,"Mental Health Disorders",11,"12451461000006112","15639000","142511000006119","originalreadcode"
"212S.00","Depression","19439","Depression resolved","History of Depression",43,"Mental Health Disorders",11,"294621000000118","196381000000100","294621000000118","cleansedreadcode"
"8BK0.00","Depression","44848","Depression management programme","History of Depression",43,"Mental Health Disorders",11,"1773563015","401174001","1773563015","cleansedreadcode"
"8CAa.00","Depression","30483","Patient given advice about management of depression","History of Depression",43,"Mental Health Disorders",11,"2533375017","415044007","2533375017","cleansedreadcode"
"8HHq.00","Depression","32841","Referral for guided self-help for depression","History of Depression",43,"Mental Health Disorders",11,"300711000000119","199111000000100","300711000000119","cleansedreadcode"
"9H90.00","Depression","12399","Depression annual review","History of Depression",43,"Mental Health Disorders",11,"2534096013","413972000","2534096013","cleansedreadcode"
"9H91.00","Depression","12122","Depression medication review","History of Depression",43,"Mental Health Disorders",11,"2534092010","413974004","2534092010","cleansedreadcode"
"9H92.00","Depression","30405","Depression interim review","History of Depression",43,"Mental Health Disorders",11,"2534091015","413973005","2534091015","cleansedreadcode"
"9HA0.00","Depression","42931","On depression register","History of Depression",43,"Mental Health Disorders",11,"2474715017","413169006","2474715017","cleansedreadcode"
"9Ov..00","Depression","51258","Depression monitoring administration","History of Depression",43,"Mental Health Disorders",11,"406881000000111","713831000000108","1565071000000118","cleansedreadcode"
"9Ov0.00","Depression","71009","Depression monitoring first letter","History of Depression",43,"Mental Health Disorders",11,"408521000000112","717211000000107","1569751000000114","cleansedreadcode"
"9Ov1.00","Depression","72966","Depression monitoring second letter","History of Depression",43,"Mental Health Disorders",11,"408541000000117","716681000000100","1569231000000114","cleansedreadcode"
"9Ov2.00","Depression","91105","Depression monitoring third letter","History of Depression",43,"Mental Health Disorders",11,"408561000000116","716961000000102","1569511000000115","cleansedreadcode"
"9Ov3.00","Depression","88644","Depression monitoring verbal invite","History of Depression",43,"Mental Health Disorders",11,"408581000000113","717261000000109","1569801000000119","cleansedreadcode"
"9Ov4.00","Depression","85852","Depression monitoring telephone invite","History of Depression",43,"Mental Health Disorders",11,"408601000000116","716421000000103","1568971000000112","cleansedreadcode"
"9k4..00","Depression","30583","Depression - enhanced services administration","History of Depression",43,"Mental Health Disorders",11,"226411000000110","166291000000108","1154541000000116","cleansedreadcode"
"9k40.00","Depression","65435","Depression - enhanced service completed","History of Depression",43,"Mental Health Disorders",11,"226581000000119","166481000000107","1154701000000110","cleansedreadcode"
"9kQ..00","Depression","96995","On full dose long term treatment depression - enh serv admin","History of Depression",43,"Mental Health Disorders",11,"1680571000006118","361761000000106","681801000000113","cleansedreadcode"
"E001300","Depression","27677","Presenile dementia with depression","Diagnosis of Depression",43,"Mental Health Disorders",11,"294642013","191455000","294642013","cleansedreadcode"
"E002100","Depression","21887","Senile dementia with depression","Diagnosis of Depression",43,"Mental Health Disorders",11,"294646011","191459006","294646011","cleansedreadcode"
"E004300","Depression","43292","Arteriosclerotic dementia with depression","Diagnosis of Depression",43,"Mental Health Disorders",11,"294655014","191466007","294655014","cleansedreadcode"
"E11..12","Depression","2560","Depressive psychoses","Diagnosis of Depression",43,"Mental Health Disorders",11,"613791000006115","35489007","59212011","cleansedreadcode"
"E112.00","Depression","10610","Single major depressive episode","Diagnosis of Depression",43,"Mental Health Disorders",11,"401766011","36923009","61590015","cleansedreadcode"
"E112.11","Depression","5879","Agitated depression","Diagnosis of Depression",43,"Mental Health Disorders",11,"474171000006112","83458005","138421012","cleansedreadcode"
"E112.12","Depression","6546","Endogenous depression first episode","Diagnosis of Depression",43,"Mental Health Disorders",11,"642461000006116","231499006","346972018","cleansedreadcode"
"E112.13","Depression","6950","Endogenous depression first episode","Diagnosis of Depression",43,"Mental Health Disorders",11,"346972018","231499006","346972018","cleansedreadcode"
"E112.14","Depression","595","Endogenous depression","Diagnosis of Depression",43,"Mental Health Disorders",11,"441826016","300706003","441826016","cleansedreadcode"
"E112000","Depression","34390","Single major depressive episode, unspecified","Diagnosis of Depression",43,"Mental Health Disorders",11,"294824018","36923009","61590015","cleansedreadcode"
"E112100","Depression","16506","Single major depressive episode, mild","Diagnosis of Depression",43,"Mental Health Disorders",11,"294825017","79298009","131561018","cleansedreadcode"
"E112200","Depression","15155","Single major depressive episode, moderate","Diagnosis of Depression",43,"Mental Health Disorders",11,"294826016","15639000","26507014","cleansedreadcode"
"E112300","Depression","15219","Single major depressive episode, severe, without psychosis","Diagnosis of Depression",43,"Mental Health Disorders",11,"142541000006115","251000119105","2916281014","cleansedreadcode"
"E112400","Depression","32159","Single major depressive episode, severe, with psychosis","Diagnosis of Depression",43,"Mental Health Disorders",11,"294828015","191604000","294828015","cleansedreadcode"
"E112500","Depression","43324","Single major depressive episode, partial or unspec remission","Diagnosis of Depression",43,"Mental Health Disorders",11,"142521000006110","70747007","117520015","cleansedreadcode"
"E112600","Depression","57409","Single major depressive episode, in full remission","History of Depression",43,"Mental Health Disorders",11,"294831019","19527009","3304522019","cleansedreadcode"
"E112z00","Depression","7011","Single major depressive episode NOS","Diagnosis of Depression",43,"Mental Health Disorders",11,"294832014","36923009","61590015","cleansedreadcode"
"E113.00","Depression","15099","Recurrent major depressive episode","Diagnosis of Depression",43,"Mental Health Disorders",11,"182721000006111","268621008","401767019","cleansedreadcode"
"E113.11","Depression","6932","Endogenous depression - recurrent","Diagnosis of Depression",43,"Mental Health Disorders",11,"410861011","274948002","410861011","cleansedreadcode"
