"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"26C4.00","Dermatitis","10920","Nipple eczema","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"674301000006118","237463009","355885017","cleansedreadcode"
"C391211","Dermatitis","42439","Thrombocytopenic eczema with immunodeficiency","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"100341000006117","36070007","60191017","cleansedreadcode"
"F4D3000","Dermatitis","29779","Eczematous eyelid dermatitis","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"636491000006112","93423006","154630014","cleansedreadcode"
"F4D3100","Dermatitis","16832","Contact or allergic eyelid dermatitis","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"399476014","93423006","154630014","cleansedreadcode"
"F4D3111","Dermatitis","16685","Allergic dermatitis - eyelid","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"223901000000111","68670009","114057013","cleansedreadcode"
"F4D3112","Dermatitis","15879","Contact eczema - eyelids","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"219361000000115","93423006","154630014","cleansedreadcode"
"F4D4.00","Dermatitis","63904","Infective eyelid dermatitis of types resulting in deformity","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"779631000006110","71577007","118911017","cleansedreadcode"
"F4D5.00","Dermatitis","53384","Other eyelid infective dermatitis","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"298564016","27023008","45197011","cleansedreadcode"
"F502400","Dermatitis","10254","Acute eczematoid otitis extern","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"1788053014","54272002","1788053014","cleansedreadcode"
"F502411","Dermatitis","6218","Eczema of external ear","Diagnosis of Dermatitis (atopc/contact/other/unspecified)",44,"Skin conditions",15,"512310013","95812002","512310013","cleansedreadcode"
