"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Diabetes Mellitus_other or not specified",NA,"Acute complication with diabetes mellitus",NA,45,"Diseases of the Endocrine System",5,"3636751012","762489000","3636751012","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Attended DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme",NA,45,"Diseases of the Endocrine System",5,"8082941000006118","276651000000107","1676151000000117","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Attended diabetes education and self management for ongoing and newly diagnosed structured programme",NA,45,"Diseases of the Endocrine System",5,"8082951000006116","276651000000107","474071000000116","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Care contact service: diabetes",NA,45,"Diseases of the Endocrine System",5,"1873301000006114","1873301000006105","1873301000006114","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme completed",NA,45,"Diseases of the Endocrine System",5,"8098341000006116","306501000000105","1678371000000113","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"DKA - diabetic ketoacidosis",NA,45,"Diseases of the Endocrine System",5,"6953901000006115","420422005","3303994013","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetes + neuropathy",NA,45,"Diseases of the Endocrine System",5,"881501000006110","230572002","881501000006110","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetes care planning test results sent to patient",NA,45,"Diseases of the Endocrine System",5,"1918361000006116","1918361000006100","1918361000006116","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetes clinical management plan no longer in place",NA,45,"Diseases of the Endocrine System",5,"1877371000006111","1877371000006107","1877371000006111","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetes mellitus - juvenile",NA,45,"Diseases of the Endocrine System",5,"881441000006111","73211009","881441000006111","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetes mellitus -adult onset",NA,45,"Diseases of the Endocrine System",5,"881451000006113","532411000000102","881451000006113","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetes mellitus confirmed",NA,45,"Diseases of the Endocrine System",5,"1823921000006119","1823921000006103","1823921000006119","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetes mellitus high risk review",NA,45,"Diseases of the Endocrine System",5,"1823471000006110","1823471000006106","1823471000006110","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetes+ketoacidosis -no coma",NA,45,"Diseases of the Endocrine System",5,"881461000006110","420422005","881461000006110","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetic - GP eye check",NA,45,"Diseases of the Endocrine System",5,"856531000006119","856531000006103","856531000006119","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetic - hospital eye check",NA,45,"Diseases of the Endocrine System",5,"856551000006114","856551000006105","856551000006114","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetic - moderate control",NA,45,"Diseases of the Endocrine System",5,"616891000006119","616891000006103","616891000006119","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetic 3 month review",NA,45,"Diseases of the Endocrine System",5,"1876341000006117","1876341000006101","1876341000006117","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetic annual review by practice nurse",NA,45,"Diseases of the Endocrine System",5,"1842001000006118","1842001000006102","1842001000006118","termsearch"
NA,"Diabetes Mellitus_other or not specified",NA,"Diabetic autonomic neuropathy",NA,45,"Diseases of the Endocrine System",5,"3319861000006118","50620007","84344019","termsearch"
