"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Diabetic Eye Disease",NA,"Laser treated diabetic retinopathy",NA,46,"Diseases of the Eye",6,"856611000006114","856611000006105","856611000006114","termsearch"
NA,"Diabetic Eye Disease",NA,"Left laser treated diabetic retinopathy",NA,46,"Diseases of the Eye",6,"856631000006115","856631000006104","856631000006115","termsearch"
NA,"Diabetic Eye Disease",NA,"Left non-proliferative diabetic retinopathy",NA,46,"Diseases of the Eye",6,"857031000006113","857031000006109","857031000006113","termsearch"
NA,"Diabetic Eye Disease",NA,"Left proliferative diabetic retinopathy",NA,46,"Diseases of the Eye",6,"856621000006118","856621000006102","856621000006118","termsearch"
NA,"Diabetic Eye Disease",NA,"Right laser treated diabetic retinopathy",NA,46,"Diseases of the Eye",6,"857421000006119","857421000006103","857421000006119","termsearch"
NA,"Diabetic Eye Disease",NA,"Right non-proliferative diabetic retinopathy",NA,46,"Diseases of the Eye",6,"857971000006110","857971000006106","857971000006110","termsearch"
NA,"Diabetic Eye Disease",NA,"Right preproliferative diabetic retinopathy",NA,46,"Diseases of the Eye",6,"857981000006113","857981000006109","857981000006113","termsearch"
NA,"Diabetic Eye Disease",NA,"Right proliferative diabetic retinopathy",NA,46,"Diseases of the Eye",6,"857411000006110","857411000006106","857411000006110","termsearch"
"","Diabetic Eye Disease","","type i diabetes mellitus with diabetic cataract","Diagnosis of diabetic ophthalmic complications",46,"Diseases of the Eye",6,"913911000006110","421920002","3688521010","description"
"","Diabetic Eye Disease","","type i diabetes mellitus with ophthalmic complications","Diagnosis of diabetic ophthalmic complications",46,"Diseases of the Eye",6,"84771000006114","739681000","3698438014","description"
"","Diabetic Eye Disease","","type ii diabetes mellitus with ophthalmic complications","Diagnosis of diabetic ophthalmic complications",46,"Diseases of the Eye",6,"12702421000006111","422099009","12702421000006111","originalreadcode"
"2BBL.00","Diabetic Eye Disease","9835","O/E - diabetic maculopathy present both eyes","Diagnosis of diabetic ophthalmic complications",46,"Diseases of the Eye",6,"1484887015","390854003","1484887015","cleansedreadcode"
"2BBM.00","Diabetic Eye Disease","47144","O/E - diabetic maculopathy absent both eyes","Diagnosis of diabetic ophthalmic complications",46,"Diseases of the Eye",6,"1484888013","390855002","1484888013","cleansedreadcode"
"2BBP.00","Diabetic Eye Disease","11433","O/E - right eye background diabetic retinopathy","Diagnosis of diabetic ophthalmic complications",46,"Diseases of the Eye",6,"2159973010","408409007","2159973010","cleansedreadcode"
"2BBQ.00","Diabetic Eye Disease","11129","O/E - left eye background diabetic retinopathy","Diagnosis of diabetic ophthalmic complications",46,"Diseases of the Eye",6,"2159974016","408410002","2159974016","cleansedreadcode"
"2BBR.00","Diabetic Eye Disease","13099","O/E - right eye preproliferative diabetic retinopathy","Diagnosis of diabetic ophthalmic complications",46,"Diseases of the Eye",6,"2159975015","408411003","2159975015","cleansedreadcode"
"2BBS.00","Diabetic Eye Disease","13103","O/E - left eye preproliferative diabetic retinopathy","Diagnosis of diabetic ophthalmic complications",46,"Diseases of the Eye",6,"2159976019","408412005","2159976019","cleansedreadcode"
