"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Diabetic Neuropathy",NA,"Diabetes + neuropathy",NA,47,"Neurological conditions",13,"881501000006110","230572002","881501000006110","termsearch"
NA,"Diabetic Neuropathy",NA,"Diabetic autonomic neuropathy",NA,47,"Neurological conditions",13,"3319861000006118","50620007","84344019","termsearch"
NA,"Diabetic Neuropathy",NA,"Diabetic neuropathic arthropathy",NA,47,"Neurological conditions",13,"4808921000006113","201724008","309740011","termsearch"
"","Diabetic Neuropathy","","insulin dependent diab mell with neuropathic arthropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913981000006115","201724008","309740011","description"
"","Diabetic Neuropathy","","insulin dependent diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913771000006115","230577008","345492010","description"
"","Diabetic Neuropathy","","type 1 diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84351000006117","420918009","2618199015","description"
"","Diabetic Neuropathy","","type 1 diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84421000006115","713705003","3297342019","description"
"","Diabetic Neuropathy","","type 2 diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84531000006118","420436000","2618201018","description"
"","Diabetic Neuropathy","","type i diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913791000006119","420918009","3697664014","description"
"","Diabetic Neuropathy","","type i diabetes mellitus with neurological complications","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913521000006113","421468001","3695401013","description"
"","Diabetic Neuropathy","","type i diabetes mellitus with neuropathic arthropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"459295013","71771000119100","3010513018","description"
"","Diabetic Neuropathy","","type i diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84791000006110","713705003","3297390014","description"
"","Diabetic Neuropathy","","type ii diabetes mellitus with neurological complications","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"12702411000006115","421326000","84931000006113","originalreadcode"
"C106.00","Diabetic Neuropathy","16230","Diabetes mellitus with neurological manifestation","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"616391000006114","422088007","3688477014","cleansedreadcode"
"C106.11","Diabetic Neuropathy","59903","Diabetic amyotrophy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"616921000006113","39058009","65526011","cleansedreadcode"
"C106.12","Diabetic Neuropathy","7795","Diabetes mellitus with neuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"345487013","230572002","345487013","cleansedreadcode"
"C106.13","Diabetic Neuropathy","16491","Diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"616451000006110","49455004","82373015","cleansedreadcode"
"C106000","Diabetic Neuropathy","67853","Diabetes mellitus, juvenile, + neurological manifestation","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"616671000006119","421468001","2618197018","cleansedreadcode"
"C106100","Diabetic Neuropathy","39317","Diabetes mellitus, adult onset, + neurological manifestation","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"616481000006119","421326000","2618196010","cleansedreadcode"
"C106y00","Diabetic Neuropathy","61523","Other specified diabetes mellitus with neurological comps","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"13761000006115","422088007","2618195014","cleansedreadcode"
"C106z00","Diabetic Neuropathy","22573","Diabetes mellitus NOS with neurological manifestation","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"292512019","422088007","2618195014","cleansedreadcode"
"C108200","Diabetic Neuropathy","52283","Insulin-dependent diabetes mellitus with neurological comps","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"771481000006112","422088007","3688477014","cleansedreadcode"
"C108211","Diabetic Neuropathy","49146","Type I diabetes mellitus with neurological complications","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84751000006116","421468001","3695401013","cleansedreadcode"
"C108212","Diabetic Neuropathy","61829","Type 1 diabetes mellitus with neurological complications","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84381000006113","421468001","2618197018","cleansedreadcode"
"C108B00","Diabetic Neuropathy","24694","Insulin dependent diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"771371000006118","230577008","345492010","cleansedreadcode"
"C108B11","Diabetic Neuropathy","99231","Type I diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84721000006113","420918009","3697664014","cleansedreadcode"
"C108C00","Diabetic Neuropathy","41716","Insulin dependent diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"771401000006115","49455004","82373015","cleansedreadcode"
"C108J00","Diabetic Neuropathy","39809","Insulin dependent diab mell with neuropathic arthropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"772131000006111","201724008","309740011","cleansedreadcode"
"C108J11","Diabetic Neuropathy","60208","Type I diabetes mellitus with neuropathic arthropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84761000006119","71771000119100","3010513018","cleansedreadcode"
"C108J12","Diabetic Neuropathy","18230","Type 1 diabetes mellitus with neuropathic arthropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84391000006111","71771000119100","3010513018","cleansedreadcode"
"C109200","Diabetic Neuropathy","55842","Non-insulin-dependent diabetes mellitus with neuro comps","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"280591000006115","421326000","3695406015","cleansedreadcode"
"C109211","Diabetic Neuropathy","67905","Type II diabetes mellitus with neurological complications","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84931000006113","421326000","3695406015","cleansedreadcode"
"C109212","Diabetic Neuropathy","45919","Type 2 diabetes mellitus with neurological complications","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84561000006110","421326000","3695406015","cleansedreadcode"
"C109A00","Diabetic Neuropathy","72320","Non-insulin dependent diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"280521000006117","420436000","3697667019","cleansedreadcode"
"C109A11","Diabetic Neuropathy","50813","Type II diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84901000006117","420436000","3697667019","cleansedreadcode"
"C109B00","Diabetic Neuropathy","45467","Non-insulin dependent diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"280541000006112","713706002","3297353013","cleansedreadcode"
"C109B11","Diabetic Neuropathy","47409","Type II diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84971000006111","713706002","3297353013","cleansedreadcode"
"C109B12","Diabetic Neuropathy","109865","Type 2 diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84601000006110","713706002","3297353013","cleansedreadcode"
"C109H00","Diabetic Neuropathy","40962","Non-insulin dependent d m with neuropathic arthropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"281181000006116","314904008","459314010","cleansedreadcode"
"C109H11","Diabetic Neuropathy","47816","Type II diabetes mellitus with neuropathic arthropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84941000006115","314904008","459312014","cleansedreadcode"
"C109H12","Diabetic Neuropathy","66965","Type 2 diabetes mellitus with neuropathic arthropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"84571000006115","314904008","459313016","cleansedreadcode"
"C10E200","Diabetic Neuropathy","42831","Type 1 diabetes mellitus with neurological complications","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913511000006117","421468001","2618197018","cleansedreadcode"
"C10E212","Diabetic Neuropathy","101735","Insulin-dependent diabetes mellitus with neurological comps","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913501000006115","422088007","3688477014","cleansedreadcode"
"C10EB00","Diabetic Neuropathy","68105","Type 1 diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913781000006117","420918009","2618199015","cleansedreadcode"
"C10EC00","Diabetic Neuropathy","46301","Type 1 diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913811000006115","713705003","3297342019","cleansedreadcode"
"C10EC11","Diabetic Neuropathy","91943","Type I diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913821000006111","713705003","3297390014","cleansedreadcode"
"C10EC12","Diabetic Neuropathy","101311","Insulin dependent diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"913801000006118","49455004","82373015","cleansedreadcode"
"C10EJ00","Diabetic Neuropathy","54008","Type 1 diabetes mellitus with neuropathic arthropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"459296014","71771000119100","3010513018","cleansedreadcode"
"C10F200","Diabetic Neuropathy","34268","Type 2 diabetes mellitus with neurological complications","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"914071000006115","421326000","3695406015","cleansedreadcode"
"C10F211","Diabetic Neuropathy","98616","Type II diabetes mellitus with neurological complications","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"914081000006117","421326000","3695406015","cleansedreadcode"
"C10FA00","Diabetic Neuropathy","62674","Type 2 diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"914221000006113","420436000","2618201018","cleansedreadcode"
"C10FA11","Diabetic Neuropathy","95351","Type II diabetes mellitus with mononeuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"914231000006111","420436000","3697667019","cleansedreadcode"
"C10FB00","Diabetic Neuropathy","18425","Type 2 diabetes mellitus with polyneuropathy","Diagnosis of diabetic neurological complications",47,"Neurological conditions",13,"914241000006118","713706002","3297353013","cleansedreadcode"
