"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Diaphragmatic hernia","","repair of diaphragmatic hernia using abdominal approach nec","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"12731571000006110","564111000000109","1254591000000111","originalreadcode"
"","Diaphragmatic hernia","","repair of diaphragmatic hernia using thoracic approach nec","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"12721051000006113","537571000000105","1199501000000113","originalreadcode"
"760K.00","Diaphragmatic hernia","8270","Repair of diaphragmatic hernia","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"184656013","112977000","184656013","cleansedreadcode"
"760K.11","Diaphragmatic hernia","18664","Repair of oesophageal hiatus hernia","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"178931000006116","9292007","510154016","cleansedreadcode"
"760K.12","Diaphragmatic hernia","1178","Repair of hiatus hernia","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"178751000006113","9292007","510154016","cleansedreadcode"
"760K011","Diaphragmatic hernia","47416","Allison repair of oesophageal hiatus hernia","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"477891000006110","265356000","394122016","cleansedreadcode"
"760K012","Diaphragmatic hernia","94728","Mason repair of oesophageal hiatus hernia","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"716661000006118","265356000","394122016","cleansedreadcode"
"760K100","Diaphragmatic hernia","63539","Repair of diaphragmatic hernia using thoracic approach NEC","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"269030014","72583007","120559010","cleansedreadcode"
"760K300","Diaphragmatic hernia","30980","Repair of diaphragmatic hernia using abdominal approach NEC","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"269033011","52917009","88054017","cleansedreadcode"
"760K400","Diaphragmatic hernia","72571","Boerema repair of hiatus hernia","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"269034017","173687009","269034017","cleansedreadcode"
"760K500","Diaphragmatic hernia","22845","Laparoscopic repair of hiatus hernia","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"2474727019","413181005","2474727019","cleansedreadcode"
"760Ky00","Diaphragmatic hernia","60094","Other specified repair of diaphragmatic hernia","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"269035016","112977000","184656013","cleansedreadcode"
"760Kz00","Diaphragmatic hernia","37471","Repair of diaphragmatic hernia NOS","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"269036015","112977000","184656013","cleansedreadcode"
"760L312","Diaphragmatic hernia","61616","Hill repair of hiatus hernia and gastropexy","Procedure for Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"823321000006115","36889006","61536011","cleansedreadcode"
"J34..00","Diaphragmatic hernia","4987","Diaphragmatic hernia","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"67185017","39839004","67185017","cleansedreadcode"
"J34..11","Diaphragmatic hernia","256","Hiatus hernia","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"139434018","84089009","139434018","cleansedreadcode"
"J34..12","Diaphragmatic hernia","31732","Parasternal hernia","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"215501000000113","48763007","81258015","cleansedreadcode"
"J34..13","Diaphragmatic hernia","110120","Retrosternal hernia","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"2536380019","48763007","2536380019","cleansedreadcode"
"J340.00","Diaphragmatic hernia","24703","Diaphragmatic hernia with gangrene","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"94252016","56676008","94252016","cleansedreadcode"
"J341.00","Diaphragmatic hernia","44233","Diaphragmatic hernia with obstruction","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"619651000006118","196903009","302847019","cleansedreadcode"
"J342.00","Diaphragmatic hernia","60697","Diaphragmatic hernia - irreducible","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"619621000006110","196904003","302848012","cleansedreadcode"
"J343.00","Diaphragmatic hernia","34691","Simple diaphragmatic hernia","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"302849016","196905002","302849016","cleansedreadcode"
"J344.00","Diaphragmatic hernia","68880","Hiatus hernia with gangrene","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"453233012","309752000","453233012","cleansedreadcode"
"J345.00","Diaphragmatic hernia","63180","Hiatus hernia with obstruction","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"453234018","309753005","453234018","cleansedreadcode"
"J346.00","Diaphragmatic hernia","48153","Hiatus hernia - irreducible","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"453232019","309751007","453232019","cleansedreadcode"
"J347.00","Diaphragmatic hernia","33779","Simple hiatus hernia","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"453235017","309754004","453235017","cleansedreadcode"
"J348.00","Diaphragmatic hernia","12086","Sliding hiatus hernia","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"353834010","236053002","353834010","cleansedreadcode"
"J34y.00","Diaphragmatic hernia","62920","Unspecified diaphragmatic hernia","Diagnosis of Diaphragmatic hernia",48,"Diseases of the Digestive System",3,"396355016","39839004","67185017","cleansedreadcode"
