"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Diverticular Disease",NA,"Diverticular disease NOS",NA,50,"Diseases of the Digestive System",3,"886341000006110","397881000","886341000006110","termsearch"
NA,"Diverticular Disease",NA,"Duodenal diverticulum",NA,50,"Diseases of the Digestive System",3,"851321000006115","851321000006104","851321000006115","termsearch"
NA,"Diverticular Disease",NA,"Jejunal diverticula",NA,50,"Diseases of the Digestive System",3,"857121000006111","857121000006107","857121000006111","termsearch"
NA,"Diverticular Disease",NA,"[RFC] Diverticulitis",NA,50,"Diseases of the Digestive System",3,"906061000006116","906061000006100","906061000006116","termsearch"
"","Diverticular Disease","","diverticulosis of the colon","Diagnosis of Diverticular disease of intestine (acute and chronic)",50,"Diseases of the Digestive System",3,"6597011000006113","398050005","1786077011","originalreadcode"
"","Diverticular Disease","","diverticulosis unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)",50,"Diseases of the Digestive System",3,"11924441000006111","397881000","626841000006115","originalreadcode"
"","Diverticular Disease","","perforated diverticulum","Diagnosis of Diverticular disease of intestine (acute and chronic)",50,"Diseases of the Digestive System",3,"12452641000006118","197104005","303147010","originalreadcode"
"","Diverticular Disease","","perforated diverticulum","Diagnosis of Diverticular disease of intestine (acute and chronic)",50,"Diseases of the Digestive System",3,"853491000006110","853491000006106","853491000006110","originalreadcode"
"","Diverticular Disease","","perforated diverticulum unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)",50,"Diseases of the Digestive System",3,"11904811000006119","197104005","233441000006111","originalreadcode"
"7718000","Diverticular Disease","34164","Excision of diverticulum of colon","Procedure for Diverticular disease of intestine (acute and chronic)",50,"Diseases of the Digestive System",3,"651641000006113","386197003","1480377015","cleansedreadcode"
"J23z300","Diverticular Disease","68959","Appendicular diverticulum","Diagnosis of Diverticular disease of intestine (acute and chronic)",50,"Diseases of the Digestive System",3,"1222658010","21692001","1222658010","cleansedreadcode"
"J51..00","Diverticular Disease","8322","Diverticula of intestine","Diagnosis of Diverticular disease of intestine (acute and chronic)",50,"Diseases of the Digestive System",3,"105596011","63532004","105596011","cleansedreadcode"
"J51..11","Diverticular Disease","5857","Diverticular disease","Diagnosis of Diverticular disease of intestine (acute and chronic)",50,"Diseases of the Digestive System",3,"1777478012","397881000","1777478012","cleansedreadcode"
