"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"PJ0..00","Down's syndrome","1543","Down's syndrome - trisomy 21","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"628281000006114","41040004","598021000000114","cleansedreadcode"
"PJ0..11","Down's syndrome","23489","Mongolism","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"68472012","41040004","598021000000114","cleansedreadcode"
"PJ0..12","Down's syndrome","18415","Trisomy 21","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"222121000000113","41040004","68470016","cleansedreadcode"
"PJ00.00","Down's syndrome","42701","Trisomy 21, meiotic nondisjunction","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"88351000006114","205615000","315346017","cleansedreadcode"
"PJ01.00","Down's syndrome","32010","Trisomy 21, mosaicism","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"88371000006116","205616004","315347014","cleansedreadcode"
"PJ01.11","Down's syndrome","107919","Trisomy 21, mitotic nondisjunction","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"88361000006111","205616004","315347014","cleansedreadcode"
"PJ02.00","Down's syndrome","61499","Trisomy 21, translocation","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"88381000006118","254264002","378495018","cleansedreadcode"
"PJ02.11","Down's syndrome","101309","Partial trisomy 21 in Down's syndrome","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"378494019","254264002","378494019","cleansedreadcode"
"PJ0z.00","Down's syndrome","10759","Down's syndrome NOS","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"378493013","41040004","598021000000114","cleansedreadcode"
"PJ0z.11","Down's syndrome","61627","Trisomy 21 NOS","Diagnosis of Down's syndrome",51,"Perinatal conditions",14,"1224878018","41040004","222121000000113","cleansedreadcode"
