"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Eating Disorders",NA,"Eating disorder NOS - psychog.",NA,53,"Mental Health Disorders",11,"882611000006115","608241000000102","882611000006115","termsearch"
NA,"Eating Disorders",NA,"Eating disorders",NA,53,"Mental Health Disorders",11,"1620911000006112","1620911000006108","1620911000006112","termsearch"
NA,"Eating Disorders",NA,"Reason for referral: Eating Disorder",NA,53,"Mental Health Disorders",11,"1776641000006112","1776641000006108","1776641000006112","termsearch"
NA,"Eating Disorders",NA,"Referral to eating disorders outreach clinic",NA,53,"Mental Health Disorders",11,"1764491000006116","1764491000006100","1764491000006116","termsearch"
NA,"Eating Disorders",NA,"Seen in eating disorders clinic",NA,53,"Mental Health Disorders",11,"1664151000006114","1664151000006105","1664151000006114","termsearch"
"E271.00","Eating Disorders","2135","Anorexia nervosa","Diagnosis of Anorexia and bulimia nervosa",53,"Mental Health Disorders",11,"94597012","56882008","94597012","cleansedreadcode"
"E275100","Eating Disorders","4377","Bulimia (non-organic overeating)","Diagnosis of Anorexia and bulimia nervosa",53,"Mental Health Disorders",11,"527421000006116","78004001","129452012","cleansedreadcode"
"Eu50000","Eating Disorders","30570","[X]Anorexia nervosa","Diagnosis of Anorexia and bulimia nervosa",53,"Mental Health Disorders",11,"363321000006111","56882008","94597012","cleansedreadcode"
"Eu50100","Eating Disorders","34929","[X]Atypical anorexia nervosa","Diagnosis of Anorexia and bulimia nervosa",53,"Mental Health Disorders",11,"366521000006113","231522009","347005011","cleansedreadcode"
"Eu50200","Eating Disorders","9581","[X]Bulimia nervosa","Diagnosis of Anorexia and bulimia nervosa",53,"Mental Health Disorders",11,"368051000006111","78004001","129452012","cleansedreadcode"
"Eu50211","Eating Disorders","6583","[X]Bulimia NOS","Diagnosis of Anorexia and bulimia nervosa",53,"Mental Health Disorders",11,"368061000006113","78004001","129452012","cleansedreadcode"
"Eu50300","Eating Disorders","33863","[X]Atypical bulimia nervosa","Diagnosis of Anorexia and bulimia nervosa",53,"Mental Health Disorders",11,"366541000006118","231523004","347006012","cleansedreadcode"
"R036011","Eating Disorders","605","[D]Bulimia NOS","Diagnosis of Anorexia and bulimia nervosa",53,"Mental Health Disorders",11,"1222496015","78004001","129453019","cleansedreadcode"
