"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"K542.00","Endometrial hyperplasia and hypertrophy","64955","Hypertrophy of the uterus","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"789521000006118","198316006","304873013","cleansedreadcode"
"K542000","Endometrial hyperplasia and hypertrophy","73811","Hypertrophy of uterus unspecified","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"304875018","198316006","304873013","cleansedreadcode"
"K542100","Endometrial hyperplasia and hypertrophy","2503","Bulky uterus","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"304876017","198318007","304876017","cleansedreadcode"
"K542200","Endometrial hyperplasia and hypertrophy","16024","Enlarged uterus","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"304877014","198319004","304877014","cleansedreadcode"
"K542z00","Endometrial hyperplasia and hypertrophy","66854","Hypertrophy of the uterus NOS","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"304880010","198316006","304873013","cleansedreadcode"
"K543.00","Endometrial hyperplasia and hypertrophy","753","Endometrial cystic hyperplasia","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"304881014","198321009","304881014","cleansedreadcode"
"K543000","Endometrial hyperplasia and hypertrophy","46084","Adenomatous endometrial hyperplasia","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"304886016","198322002","304886016","cleansedreadcode"
"K543100","Endometrial hyperplasia and hypertrophy","37561","Cystic endometrial hyperplasia","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"606341000006119","198324001","304888015","cleansedreadcode"
"K543200","Endometrial hyperplasia and hypertrophy","21215","Glandular endometrial hyperplasia","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"802711000006112","237072009","355352015","cleansedreadcode"
"K543z00","Endometrial hyperplasia and hypertrophy","28607","Endometrial cystic hyperplasia NOS","Diagnosis of Endometrial hyperplasia and hypertrophy",54,"Diseases of the Genitourinary System",7,"304892010","198321009","304881014","cleansedreadcode"
