"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Endometriosis","","endometriosis of the pouch of douglas","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"3545641000006112","64286001","106864016","originalreadcode"
"","Endometriosis","","internal endometriosis","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"3742411000006118","76376003","126837014","originalreadcode"
"7E0D800","Endometriosis","12175","Laparoscopic laser destruction of endometriosis","Procedure for Endometriosis",55,"Diseases of the Genitourinary System",7,"2548653011","416155004","2548653011","cleansedreadcode"
"BBL1.11","Endometriosis","56751","[M]Stromal endometriosis","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"317021000006116","128726006","207190013","cleansedreadcode"
"K50..00","Endometriosis","499","Endometriosis","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"1784724014","129103003","1784724014","cleansedreadcode"
"K50..11","Endometriosis","3432","Adenomyosis","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"126839012","76376003","126839012","cleansedreadcode"
"K500.00","Endometriosis","41735","Endometriosis of uterus","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"126835018","76376003","126835018","cleansedreadcode"
"K500000","Endometriosis","19266","Internal endometriosis","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"770611000006110","198247003","304789015","cleansedreadcode"
"K500100","Endometriosis","61192","Endometriosis of myometrium","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"355411011","237115002","355411011","cleansedreadcode"
"K500111","Endometriosis","22007","Adenomyosis of endometrium","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"461191000006115","237115002","355411011","cleansedreadcode"
"K500200","Endometriosis","36805","Endometriosis of cervix","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"102424012","61640006","102424012","cleansedreadcode"
"K500z00","Endometriosis","42092","Endometriosis of uterus NOS","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"304791011","76376003","126835018","cleansedreadcode"
"K501.00","Endometriosis","19682","Endometriosis of ovary","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"396767017","266589005","396767017","cleansedreadcode"
"K501.11","Endometriosis","16143","Chocolate cyst of ovary","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"355412016","237116001","355412016","cleansedreadcode"
"K502.00","Endometriosis","30091","Endometriosis of the fallopian tube","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642691000006110","22611009","37950010","cleansedreadcode"
"K503.00","Endometriosis","22662","Endometriosis of the pelvic peritoneum","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642741000006112","198251001","304795019","cleansedreadcode"
"K503000","Endometriosis","67137","Endometriosis of the broad ligament","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642671000006114","10535001","18314019","cleansedreadcode"
"K503100","Endometriosis","50464","Endometriosis of the pouch of Douglas","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"106864016","64286001","1232545013","cleansedreadcode"
"K503200","Endometriosis","63232","Endometriosis of the parametrium","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642731000006119","84305006","139827010","cleansedreadcode"
"K503300","Endometriosis","50544","Endometriosis of the round ligament","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642811000006116","5327000","9929018","cleansedreadcode"
"K503z00","Endometriosis","42424","Endometriosis of the pelvic peritoneum NOS","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"304796018","198251001","304795019","cleansedreadcode"
"K504.00","Endometriosis","70854","Endometriosis of the rectovaginal septum and vagina","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642781000006118","52533003","87425018","cleansedreadcode"
"K504000","Endometriosis","50518","Endometriosis of the rectovaginal septum","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642771000006116","52533003","87425018","cleansedreadcode"
"K504100","Endometriosis","37392","Endometriosis of the vagina","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642831000006110","57493005","95606014","cleansedreadcode"
"K504z00","Endometriosis","94268","Endometriosis of the rectovaginal septum and vagina NOS","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"304798017","52533003","87425018","cleansedreadcode"
"K505.00","Endometriosis","20194","Endometriosis of the intestine","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642701000006110","5562006","10284014","cleansedreadcode"
"K505000","Endometriosis","71993","Endometriosis of the appendix","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642651000006116","8421002","14907015","cleansedreadcode"
"K505100","Endometriosis","62982","Endometriosis of the colon","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642681000006112","44601009","74408017","cleansedreadcode"
"K505200","Endometriosis","60784","Endometriosis of the rectum","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642801000006119","9563009","16732013","cleansedreadcode"
"K505z00","Endometriosis","97045","Endometriosis of the intestine NOS","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"304799013","5562006","10284014","cleansedreadcode"
"K506.00","Endometriosis","60097","Endometriosis in scar of skin","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"89618011","53913001","89618011","cleansedreadcode"
"K50y.00","Endometriosis","49603","Other endometriosis","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"304801011","129103003","1784724014","cleansedreadcode"
"K50y000","Endometriosis","36930","Endometriosis of the bladder","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642661000006119","65099004","108185013","cleansedreadcode"
"K50y100","Endometriosis","69931","Endometriosis of the lung","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642721000006117","50993001","84979012","cleansedreadcode"
"K50y200","Endometriosis","48222","Endometriosis of the umbilicus","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642821000006112","17829005","30125011","cleansedreadcode"
"K50y300","Endometriosis","68037","Endometriosis of the vulva","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"642841000006117","38780008","64543018","cleansedreadcode"
"K50yz00","Endometriosis","66361","Other endometriosis NOS","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"304802016","129103003","1784724014","cleansedreadcode"
"K50z.00","Endometriosis","9492","Endometriosis NOS","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"304803014","129103003","1784724014","cleansedreadcode"
"Kyu9000","Endometriosis","63749","[X]Other endometriosis","Diagnosis of Endometriosis",55,"Diseases of the Genitourinary System",7,"305247015","129103003","1784724014","cleansedreadcode"
