"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Enthesopathy and synovial disorder",NA,"Bursitis - ankle/foot",NA,57,"Musculoskeletal conditions",12,"891121000006112","287025008","891121000006112","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Bursitis - elbow",NA,57,"Musculoskeletal conditions",12,"891051000006119","712484007","891051000006119","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Bursitis - hip",NA,57,"Musculoskeletal conditions",12,"891091000006113","81498004","891091000006113","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Bursitis - knee",NA,57,"Musculoskeletal conditions",12,"891101000006119","544491000000101","891101000006119","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Bursitis of bursa of ankle and/or foot",NA,57,"Musculoskeletal conditions",12,"11827271000006117","287025008","3526428015","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Calcific tendinitis of shoulder",NA,57,"Musculoskeletal conditions",12,"2945251000006111","27741009","196621014","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Ganglion/synov.cyst - NOS",NA,57,"Musculoskeletal conditions",12,"891331000006112","667101000000107","891331000006112","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Ganglion/synov.cyst - NOS",NA,57,"Musculoskeletal conditions",12,"991431000006112","78435003","991431000006112","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Ganglion/synov.cyst - elbow",NA,57,"Musculoskeletal conditions",12,"891291000006117","202936005","891291000006117","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Ganglion/synov.cyst - hand",NA,57,"Musculoskeletal conditions",12,"891271000006118","202936005","891271000006118","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Ganglion/synov.cyst - knee",NA,57,"Musculoskeletal conditions",12,"891251000006111","202936005","891251000006111","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Ganglion/synov.cyst - knee",NA,57,"Musculoskeletal conditions",12,"990431000006115","287032004","990431000006115","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Ganglion/synov.cyst - multiple",NA,57,"Musculoskeletal conditions",12,"891311000006118","202936005","891311000006118","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Ganglion/synov.cyst - shoulder",NA,57,"Musculoskeletal conditions",12,"891301000006116","202936005","891301000006116","termsearch"
NA,"Enthesopathy and synovial disorder",NA,"Ganglion/synov.cyst - wrist",NA,57,"Musculoskeletal conditions",12,"891281000006115","202936005","891281000006115","termsearch"
