"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"7H32000","Fibromatosis","10554","Palmar fasciectomy unspecified","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"393495014","24437000","1784955013","cleansedreadcode"
"7H32011","Fibromatosis","1629","Dupuytren hand fasciectomy","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"632501000006115","398211002","1777763016","cleansedreadcode"
"7H32013","Fibromatosis","66133","McIndoe radical palmar fasciectomy","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"1786172019","398211002","1786172019","cleansedreadcode"
"7H32100","Fibromatosis","43740","Revision of palmar fasciectomy","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"275593012","178050002","275593012","cleansedreadcode"
"7H32400","Fibromatosis","48701","Limited palmar fasciectomy","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"275596016","178053000","275596016","cleansedreadcode"
"7H32500","Fibromatosis","41575","Radical palmar fasciectomy","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"275597013","178054006","275597013","cleansedreadcode"
"7H32700","Fibromatosis","39485","Palmar fasciectomy using open palm technique","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"275599011","178056008","275599011","cleansedreadcode"
"7H34000","Fibromatosis","4371","Division of palmar fascia","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"1786131016","398141006","1786131016","cleansedreadcode"
"7H34011","Fibromatosis","54835","Division of hand fascia","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"224161000000114","397737001","1777347014","cleansedreadcode"
"7H34012","Fibromatosis","8360","Dupuytren hand fasciotomy","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"632511000006117","398141006","1786131016","cleansedreadcode"
"7H34300","Fibromatosis","102499","Needle fasciotomy of hand","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"1720821000000114","448339003","2899771017","cleansedreadcode"
"7H35700","Fibromatosis","37325","Fasciotomy hand","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"275631019","178077006","275631019","cleansedreadcode"
"N236.00","Fibromatosis","743","Dupuytren's contracture","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"409907011","274142002","409907011","cleansedreadcode"
"N236.11","Fibromatosis","53902","Palmar fascia contracture","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"249221000006119","274142002","409907011","cleansedreadcode"
"N236000","Fibromatosis","22546","Dupuytren's disease of palm","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"311622011","203045001","311622011","cleansedreadcode"
"N236100","Fibromatosis","10142","Dupuytren's disease of palm, nodules with no contracture","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"311623018","203046000","311623018","cleansedreadcode"
"N236200","Fibromatosis","44504","Dupuytren's disease of palm, with contracture","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"311624012","203047009","311624012","cleansedreadcode"
"N236300","Fibromatosis","11899","Dupuytren's disease of finger(s)","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"311628010","203049007","311628010","cleansedreadcode"
"N236400","Fibromatosis","50915","Dupuytren's disease - finger(s), nodules with no contracture","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"632541000006118","203050007","311629019","cleansedreadcode"
"N236500","Fibromatosis","28831","Dupuytren's disease of finger(s), with contracture","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"311630012","203051006","311630012","cleansedreadcode"
"N236600","Fibromatosis","26216","Dupuytren's disease of palm and finger(s)","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"311631011","203052004","311631011","cleansedreadcode"
"N236700","Fibromatosis","25701","Dupuytren's dis, palm and finger(s), nodules, no contracture","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"632531000006111","203053009","311632016","cleansedreadcode"
"N236800","Fibromatosis","44537","Dupuytren's disease of palm and finger(s), with contracture","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"311633014","203054003","311633014","cleansedreadcode"
"N237100","Fibromatosis","21080","Knuckle pads","Diagnosis of Fibromatoses",60,"Musculoskeletal conditions",12,"28257010","16687001","28257010","cleansedreadcode"
"","Fibromatosis","","palmar fasciectomy unspecified","Procedure for Fibromatoses",60,"Musculoskeletal conditions",12,"12729591000006114","652091000000106","1433771000000119","originalreadcode"
