"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Folate deficiency anaemia",NA,"Folate deficiency anaemia",NA,61,"Haematological/Immunological conditions",9,"506650011","85649008","881951000006119","termsearch"
"","Folate deficiency anaemia","","folic acid deficiency anaemia","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"3892461000006113","85649008","506651010","originalreadcode"
"C262000","Folate deficiency anaemia","4078","Folic acid deficiency","Folic acid deficiency",61,"Haematological/Immunological conditions",9,"293006011","190633005","293006011","cleansedreadcode"
"D012.00","Folate deficiency anaemia","4080","Folate-deficiency anaemia","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"763221000006115","85649008","506649011","cleansedreadcode"
"D012.11","Folate deficiency anaemia","24870","Folic acid deficiency anaemia","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"506651010","85649008","506649011","cleansedreadcode"
"D012100","Folate deficiency anaemia","36634","Folate-deficiency anaemia due to dietary causes","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"763231000006117","267518003","399202013","cleansedreadcode"
"D012111","Folate deficiency anaemia","98709","Goat's milk anaemia","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"804971000006111","15332004","26006014","cleansedreadcode"
"D012200","Folate deficiency anaemia","37082","Folate-deficiency anaemia, drug induced","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"763271000006119","191148006","293935017","cleansedreadcode"
"D012300","Folate deficiency anaemia","55481","Folate-deficiency anaemia due to malabsorption","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"763251000006112","191149003","293938015","cleansedreadcode"
"D012400","Folate deficiency anaemia","56114","Folate-deficiency anaemia due to liver disorders","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"763241000006110","191150003","293939011","cleansedreadcode"
"D012z00","Folate deficiency anaemia","42117","Folate-deficiency anaemia NOS","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"763261000006114","85649008","506650011","cleansedreadcode"
"D013000","Folate deficiency anaemia","22715","Combined B12 and folate deficiency anaemia","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"293948018","191154007","293948018","cleansedreadcode"
"Dyu0300","Folate deficiency anaemia","53783","[X]Other folate deficiency anaemias","Diagnosis of Folate deficiency anaemia",61,"Haematological/Immunological conditions",9,"294572011","85649008","506650011","cleansedreadcode"
