"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Gastritis and duodenitis",NA,"Gastritis/duodenitis NOS",NA,62,"Diseases of the Digestive System",3,"886031000006115","607781000000104","886031000006115","termsearch"
"","Gastritis and duodenitis","","chronic atrophic gastritis","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"12717091000006118","196733008","302619015","originalreadcode"
"","Gastritis and duodenitis","","gastritis and duodenitis nos","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"12727831000006117","607781000000104","1344621000000115","originalreadcode"
"A074313","Gastritis and duodenitis","14928","Helicobacter gastritis","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"819571000006118","89538001","148452011","cleansedreadcode"
"J11z.11","Gastritis and duodenitis","2877","Gastric erosions","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"353273019","235652004","353273019","cleansedreadcode"
"J123.00","Gastritis and duodenitis","3462","Duodenal erosion","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"353328012","235692002","353328012","cleansedreadcode"
"J15..00","Gastritis and duodenitis","3341","Gastritis and duodenitis","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"302616010","196731005","302616010","cleansedreadcode"
"J150.00","Gastritis and duodenitis","5635","Acute gastritis","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"42686017","25458004","42686017","cleansedreadcode"
"J150000","Gastritis and duodenitis","29492","Acute haemorrhagic gastritis","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"478553011","2367005","481682019","cleansedreadcode"
"J151.00","Gastritis and duodenitis","2936","Chronic gastritis","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"15005019","8493009","15005019","cleansedreadcode"
"J151000","Gastritis and duodenitis","15025","Chronic atrophic gastritis","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"302619015","84568007","140221013","cleansedreadcode"
"J151100","Gastritis and duodenitis","11497","Chronic inflammatory gastritis","Diagnosis of Gastritis and duodenitis",62,"Diseases of the Digestive System",3,"554831000006112","8493009","15005019","cleansedreadcode"
