"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"171J.00","Gastro-oesophageal reflux disease","19470","Reflux cough","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"303321000000115","200151000000106","303321000000115","cleansedreadcode"
"760L.00","Gastro-oesophageal reflux disease","18211","Antireflux operations","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"487941000006116","265357009","394125019","cleansedreadcode"
"760L.11","Gastro-oesophageal reflux disease","17263","Oesophageal reflux operations","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"267111000006116","265357009","394126018","cleansedreadcode"
"760L000","Gastro-oesophageal reflux disease","14713","Antireflux fundoplication using thoracic approach","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"394127010","265358004","394127010","cleansedreadcode"
"760L100","Gastro-oesophageal reflux disease","53657","Antireflux operation using thoracic approach NEC","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"269047010","265357009","394124015","cleansedreadcode"
"760L111","Gastro-oesophageal reflux disease","68276","Antireflux procedure using thoracic approach NEC","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"1221523017","265357009","394124015","cleansedreadcode"
"760L200","Gastro-oesophageal reflux disease","17610","Antireflux fundoplication using abdominal approach","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"394128017","265359007","394128017","cleansedreadcode"
"760L300","Gastro-oesophageal reflux disease","45360","Antireflux gastropexy","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"394129013","265360002","394129013","cleansedreadcode"
"760L311","Gastro-oesophageal reflux disease","48146","Antireflux gastroplasty","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"487911000006115","9429009","16524019","cleansedreadcode"
"760L400","Gastro-oesophageal reflux disease","103564","Antireflux procedure and gastroplasty HFQ","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"487951000006119","265357009","394124015","cleansedreadcode"
"760Ly00","Gastro-oesophageal reflux disease","34005","Other specified antireflux operation","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"269067018","265357009","394125019","cleansedreadcode"
"760Lz00","Gastro-oesophageal reflux disease","28619","Antireflux operation NOS","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"269068011","265357009","394125019","cleansedreadcode"
"760M.00","Gastro-oesophageal reflux disease","51400","Revision of antireflux operations","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"269069015","173704005","269069015","cleansedreadcode"
"760Mz00","Gastro-oesophageal reflux disease","67258","Revision of antireflux operation NOS","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"269074011","173704005","2791486011","cleansedreadcode"
"J101100","Gastro-oesophageal reflux disease","2535","Reflux oesophagitis","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"396340013","266433003","396340013","cleansedreadcode"
"J101111","Gastro-oesophageal reflux disease","15054","Acid reflux","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"452891000006114","698065002","2970070010","cleansedreadcode"
"J101112","Gastro-oesophageal reflux disease","7104","Gastro-oesophageal reflux with oesophagitis","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"799341000006115","266433003","396339011","cleansedreadcode"
"J101113","Gastro-oesophageal reflux disease","16605","Oesophageal reflux with oesophagitis","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"396339011","266433003","396339011","cleansedreadcode"
"J10y400","Gastro-oesophageal reflux disease","25610","Oesopheal reflux without mention of oesophagitis","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"266601000006112","266435005","396344016","cleansedreadcode"
"J10y411","Gastro-oesophageal reflux disease","1327","Oesophageal reflux","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"372246012","249496004","372246012","cleansedreadcode"
"J10y412","Gastro-oesophageal reflux disease","984","Gastro-oesophageal reflux","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"353143016","235595009","353143016","cleansedreadcode"
"J10y413","Gastro-oesophageal reflux disease","2281","Acid reflux","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"353140018","698065002","2970070010","cleansedreadcode"
"J10y500","Gastro-oesophageal reflux disease","19111","Laryngopharyngeal reflux","Diagnosis of Gastro-oesophageal reflux diseas",63,"Diseases of the Digestive System",3,"2532987010","414581006","2532987010","cleansedreadcode"
"1957","Gastro-oesophageal reflux disease","7577","Gastric reflux","Diagnosis of Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"339001014","225587003","339001014","originalreadcode"
"","Gastro-oesophageal reflux disease","","oesophageal reflux operations","Procedure for Gastro-oesophageal reflux disease",63,"Diseases of the Digestive System",3,"11904971000006117","265357009","267111000006116","originalreadcode"
NA,"Gastro-oesophageal reflux disease",NA,"Gastrooesophageal reflux disease",NA,63,"Diseases of the Digestive System",3,"5082441000006116","235595009","2642391013","termsearch"
