"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"7259000","Glaucoma","65079","Needling of bleb following glaucoma surgery","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"383421000000110","236891000000101","383421000000110","cleansedreadcode"
"7259100","Glaucoma","89934","Injection of bleb following glaucoma surgery","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"383381000000118","428494000","1659491000000113","cleansedreadcode"
"7259200","Glaucoma","88595","Revision of bleb NEC following glaucoma surgery","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"378061000000112","236891000000101","383421000000110","cleansedreadcode"
"7259300","Glaucoma","91442","Removal of releasable suture following glaucoma surgery","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"2676361011","426877004","2676361011","cleansedreadcode"
"7259400","Glaucoma","93967","Laser suture lysis following glaucoma surgery","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"378701000000110","234611000000100","378701000000110","cleansedreadcode"
"7259y00","Glaucoma","88142","Other specified operations following glaucoma surgery","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"378721000000118","792741000000100","1772301000000112","cleansedreadcode"
"7259z00","Glaucoma","95852","Operations following glaucoma surgery NOS","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"383401000000118","792741000000100","1772301000000112","cleansedreadcode"
"F404211","Glaucoma","44338","Glaucoma - absolute","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"802901000006112","19144002","32262013","cleansedreadcode"
"F45..00","Glaucoma","2074","Glaucoma","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"40268016","23986001","40268016","cleansedreadcode"
"F450100","Glaucoma","10070","Open angle glaucoma with borderline intraocular pressure","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"264071000006115","193533000","298026013","cleansedreadcode"
"F451.00","Glaucoma","1798","Open-angle glaucoma","Diagnosis of glaucoma",65,"Diseases of the Eye",6,"140102012","84494001","140102012","cleansedreadcode"
