"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"D310100","Glomerulonephritis","22897","Henoch-Schonlein nephritis","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"354514013","236504007","354514013","cleansedreadcode"
"G752111","Glomerulonephritis","107564","Antiglomerular basement membrane disease","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"354518011","236506009","354518011","cleansedreadcode"
"G752112","Glomerulonephritis","107045","Anti GBM disease - Antiglomerular basement membrane disease","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"2214081000000112","236506009","2214081000000112","cleansedreadcode"
"K00..00","Glomerulonephritis","2088","Acute glomerulonephritis","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"32619017","19351000","32619017","cleansedreadcode"
"K00..12","Glomerulonephritis","20074","Bright's disease","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"354351015","61503006","102173012","cleansedreadcode"
"K000.00","Glomerulonephritis","29384","Acute proliferative glomerulonephritis","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"303812017","197579006","303812017","cleansedreadcode"
"K000100","Glomerulonephritis","105723","Crescentic glomerulonephritis","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"354363013","236398000","354363013","cleansedreadcode"
"K000111","Glomerulonephritis","108711","CGN - Crescentic glomerulonephritis","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"354364019","236398000","354364019","cleansedreadcode"
"K001.00","Glomerulonephritis","67460","Acute nephritis with lesions of necrotising glomerulitis","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"303814016","197580009","303814016","cleansedreadcode"
"K00y.00","Glomerulonephritis","63599","Other acute glomerulonephritis","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"303815015","19351000","32619017","cleansedreadcode"
"K00y000","Glomerulonephritis","20027","Acute glomerulonephritis in diseases EC","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"303816019","197582001","303816019","cleansedreadcode"
"K00yz00","Glomerulonephritis","47838","Other acute glomerulonephritis NOS","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"303820015","19351000","32619017","cleansedreadcode"
"K00z.00","Glomerulonephritis","20129","Acute glomerulonephritis NOS","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"303824012","19351000","32619017","cleansedreadcode"
"K01..00","Glomerulonephritis","2999","Nephrotic syndrome","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"86957016","52254009","86957016","cleansedreadcode"
"K010.00","Glomerulonephritis","9840","Nephrotic syndrome with proliferative glomerulonephritis","Diagnosis of Glomerulonephritis",66,"Diseases of the Genitourinary System",7,"303825013","197589005","303825013","cleansedreadcode"
