"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Gout",NA,"Gouty tophi + gout NOS",NA,67,"Musculoskeletal conditions",12,"850991000006110","850991000006106","850991000006110","termsearch"
NA,"Gout",NA,"Gouty tophi of toe",NA,67,"Musculoskeletal conditions",12,"2610481000000112","1033961000000104","2610481000000112","termsearch"
"","Gout","","gout associated problems","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"12488961000006118","170737008","264671017","originalreadcode"
"","Gout","","gout nos","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"12729281000006113","646651000000108","1422821000000116","originalreadcode"
"2D52.00","Gout","17284","O/E - auricle of ear - tophi","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"255612014","164208001","255612014","cleansedreadcode"
"669..00","Gout","16475","Gout monitoring","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"264664010","170730005","264664010","cleansedreadcode"
"6691","Gout","14996","Initial gout assessment","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"264665011","170731009","264665011","originalreadcode"
"6692","Gout","35660","Follow-up gout assessment","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"264666012","170732002","264666012","originalreadcode"
"6693","Gout","29658","Joints gout affected","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"264667015","170733007","264667015","originalreadcode"
"6695","Gout","34006","Date gout treatment started","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"264669017","170735000","264669017","originalreadcode"
"6696","Gout","68209","Date of last gout attack","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"264670016","170736004","264670016","originalreadcode"
"6697","Gout","58746","Gout associated problems","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"264671017","170737008","2668302013","originalreadcode"
"669Z.00","Gout","52117","Gout monitoring NOS","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"264675014","170730005","264664010","cleansedreadcode"
"C34..00","Gout","709","Gout","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"150085018","90560007","150085018","cleansedreadcode"
"C340.00","Gout","10080","Gouty arthropathy","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"293392012","190828008","293392012","cleansedreadcode"
"C341.00","Gout","52969","Gouty nephropathy","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"293394013","190829000","293394013","cleansedreadcode"
"C341z00","Gout","61145","Gouty nephropathy NOS","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"293400010","190829000","293393019","cleansedreadcode"
"C342.00","Gout","11462","Idiopathic gout","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"481958014","24595009","481958014","cleansedreadcode"
"C344.00","Gout","44566","Drug-induced gout","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"359373012","239845005","359373012","cleansedreadcode"
"C345.00","Gout","21687","Gout due to impairment of renal function","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"359372019","239844009","359372019","cleansedreadcode"
"C34y.00","Gout","28999","Other specified gouty manifestation","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"293405017","3875003","7521017","cleansedreadcode"
"C34y000","Gout","36481","Gouty tophi of ear","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"25080011","14763005","476698015","cleansedreadcode"
"C34y100","Gout","93689","Gouty tophi of heart","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"806061000006113","27277001","45604013","cleansedreadcode"
"C34y200","Gout","4440","Gouty tophi of other sites","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"293407013","402469004","1781601013","cleansedreadcode"
"C34y300","Gout","50067","Gouty iritis","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"72069017","43193009","72069017","cleansedreadcode"
"C34y400","Gout","59344","Gouty neuritis","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"16455010","9386003","16455010","cleansedreadcode"
"C34y500","Gout","9874","Gouty tophi of hand","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"293410018","190842000","293410018","cleansedreadcode"
"C34yz00","Gout","27521","Other specified gouty manifestation NOS","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"293411019","90560007","150085018","cleansedreadcode"
"C34z.00","Gout","24153","Gout NOS","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"293412014","90560007","150085018","cleansedreadcode"
"G557300","Gout","57334","Gouty tophi of heart","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"45604013","27277001","45604013","cleansedreadcode"
"N023.00","Gout","2857","Gouty arthritis","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"80709010","48440001","80709010","cleansedreadcode"
"N023100","Gout","72471","Gouty arthritis of the shoulder region","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"309674019","201663006","309674019","cleansedreadcode"
"N023200","Gout","97539","Gouty arthritis of the upper arm","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"309675018","201663006","309674019","cleansedreadcode"
"N023300","Gout","45465","Gouty arthritis of the forearm","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"309676017","48440001","80706015","cleansedreadcode"
"N023400","Gout","52101","Gouty arthritis of the hand","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"309677014","201666003","309677014","cleansedreadcode"
"N023600","Gout","49775","Gouty arthritis of the lower leg","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"309679012","48440001","80706015","cleansedreadcode"
"N023700","Gout","35664","Gouty arthritis of the ankle and foot","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"309680010","201669005","309680010","cleansedreadcode"
"N023800","Gout","93677","Gouty arthritis of toe","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"2695828012","428839004","2695828012","cleansedreadcode"
"N023x00","Gout","58064","Gouty arthritis of multiple sites","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"309681014","201670006","309681014","cleansedreadcode"
"N023y00","Gout","60541","Gouty arthritis of other specified site","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"309682019","48440001","80709010","cleansedreadcode"
"N023z00","Gout","12594","Gouty arthritis NOS","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"309683012","48440001","80709010","cleansedreadcode"
"Nyu1700","Gout","94539","[X]Other secondary gout","Diagnosis of Gout",67,"Musculoskeletal conditions",12,"312525018","239843003","359370010","cleansedreadcode"
