"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"43C3.11","HIV","2835","HIV positive","Diagnosis of HIV",72,"Infectious Diseases",10,"257855012","165816005","257855012","cleansedreadcode"
"4J34.00","HIV","27053","HIV viral load","Diagnosis of HIV",72,"Infectious Diseases",10,"459601018","998701000000106","2581941000000113","cleansedreadcode"
"4J3F.00","HIV","96902","Human immunodeficiency virus viral load by log rank","Diagnosis of HIV",72,"Infectious Diseases",10,"603931000000114","998171000000102","2571361000000118","cleansedreadcode"
"65QA.00","HIV","23763","AIDS carrier","History of HIV",72,"Infectious Diseases",10,"264371011","699433000","2984517011","cleansedreadcode"
"65VE.00","HIV","33943","Notification of AIDS","History of HIV",72,"Infectious Diseases",10,"264418012","170530008","264418012","cleansedreadcode"
"66j..00","HIV","98966","Human immunodeficiency virus monitoring","History of HIV",72,"Infectious Diseases",10,"1121571000000111","504871000000109","1121571000000111","cleansedreadcode"
"66j0.00","HIV","101191","Human immunodeficiency virus annual review","History of HIV",72,"Infectious Diseases",10,"1121631000000110","504901000000109","1121631000000110","cleansedreadcode"
"9kl..00","HIV","105040","HIV pos gen health check serv declind - enhanc service admin","History of HIV",72,"Infectious Diseases",10,"1715721000006111","504931000000103","1154521000000111","cleansedreadcode"
"A788.00","HIV","23770","Acquired immune deficiency syndrome","Diagnosis of HIV",72,"Infectious Diseases",10,"103844015","62479008","103844015","cleansedreadcode"
"A788.11","HIV","9130","Human immunodeficiency virus infection","Diagnosis of HIV",72,"Infectious Diseases",10,"143288017","86406008","143288017","cleansedreadcode"
"A788000","HIV","58857","Acute human immunodeficiency virus infection","Diagnosis of HIV",72,"Infectious Diseases",10,"365853018","111880001","179043011","cleansedreadcode"
"A788100","HIV","58859","Asymptomatic human immunodeficiency virus infection","Diagnosis of HIV",72,"Infectious Diseases",10,"152322017","91947003","152322017","cleansedreadcode"
"A788200","HIV","69766","HIV infection with persistent generalised lymphadenopathy","Diagnosis of HIV",72,"Infectious Diseases",10,"825871000006111","95892003","512343012","cleansedreadcode"
"A788300","HIV","70869","Human immunodeficiency virus with constitutional disease","Diagnosis of HIV",72,"Infectious Diseases",10,"829181000006115","186706006","287010012","cleansedreadcode"
"A788400","HIV","53636","Human immunodeficiency virus with neurological disease","Diagnosis of HIV",72,"Infectious Diseases",10,"287012016","186707002","287012016","cleansedreadcode"
"A788500","HIV","70528","Human immunodeficiency virus with secondary infection","Diagnosis of HIV",72,"Infectious Diseases",10,"829221000006112","186708007","287013014","cleansedreadcode"
"A788600","HIV","101836","Human immunodeficiency virus with secondary cancers","Diagnosis of HIV",72,"Infectious Diseases",10,"287014015","713572001","3290189011","cleansedreadcode"
"A788U00","HIV","47632","HIV disease result/haematological+immunologic abnorms,NEC","Diagnosis of HIV",72,"Infectious Diseases",10,"825731000006117","943041000000105","2412691000000112","cleansedreadcode"
"A788W00","HIV","67575","HIV disease resulting in unspecified malignant neoplasm","Diagnosis of HIV",72,"Infectious Diseases",10,"825841000006115","86406008","143288017","cleansedreadcode"
"A788X00","HIV","71450","HIV disease resulting/unspcf infectious+parasitic disease","Diagnosis of HIV",72,"Infectious Diseases",10,"825861000006116","186708007","287013014","cleansedreadcode"
"A788y00","HIV","62891","Human immunodeficiency virus with other clinical findings","Diagnosis of HIV",72,"Infectious Diseases",10,"287020019","86406008","143288017","cleansedreadcode"
"A788z00","HIV","36294","Acquired human immunodeficiency virus infection syndrome NOS","Diagnosis of HIV",72,"Infectious Diseases",10,"287021015","86406008","143288017","cleansedreadcode"
"A789.00","HIV","44303","Human immunodef virus resulting in other disease","Diagnosis of HIV",72,"Infectious Diseases",10,"287022010","81000119104","2967570018","cleansedreadcode"
"A789000","HIV","37006","HIV disease resulting in mycobacterial infection","Diagnosis of HIV",72,"Infectious Diseases",10,"287023017","420818005","2617389018","cleansedreadcode"
"A789100","HIV","66368","HIV disease resulting in cytomegaloviral disease","Diagnosis of HIV",72,"Infectious Diseases",10,"287024011","81000119104","2967570018","cleansedreadcode"
"A789200","HIV","23951","HIV disease resulting in candidiasis","Diagnosis of HIV",72,"Infectious Diseases",10,"287025012","81000119104","2967570018","cleansedreadcode"
"A789300","HIV","27641","HIV disease resulting in Pneumocystis carinii pneumonia","Diagnosis of HIV",72,"Infectious Diseases",10,"825831000006113","420403001","2617400016","cleansedreadcode"
"A789311","HIV","104717","HIV disease resulting in Pneumocystis jirovecii pneumonia","Diagnosis of HIV",72,"Infectious Diseases",10,"1814921000006112","420403001","2617400016","cleansedreadcode"
"A789400","HIV","50076","HIV disease resulting in multiple infections","Diagnosis of HIV",72,"Infectious Diseases",10,"287027016","186708007","287013014","cleansedreadcode"
