"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Hearing loss",NA,"Age-related hearing loss",NA,68,"Diseases of the Ear",4,"3301551000006118","49526009","1230737011","termsearch"
NA,"Hearing loss",NA,"Articulatory defect due to conductive hearing loss",NA,68,"Diseases of the Ear",4,"80699013","48436005","80699013","termsearch"
NA,"Hearing loss",NA,"Articulatory defect secondary to hearing loss",NA,68,"Diseases of the Ear",4,"3283701000006115","48436005","80700014","termsearch"
NA,"Hearing loss",NA,"Articulatory impairment due to conductive hearing loss",NA,68,"Diseases of the Ear",4,"2410391000000119","48436005","2410391000000119","termsearch"
NA,"Hearing loss",NA,"CHL - Conductive hearing loss",NA,68,"Diseases of the Ear",4,"3209511000006111","44057004","1230041018","termsearch"
NA,"Hearing loss",NA,"Cochlear hearing loss",NA,68,"Diseases of the Ear",4,"3890851000006110","85571008","1235048014","termsearch"
NA,"Hearing loss",NA,"Complete deafness",NA,68,"Diseases of the Ear",4,"2636241000006117","8531006","15071010","termsearch"
NA,"Hearing loss",NA,"FHL - Functional hearing loss",NA,68,"Diseases of the Ear",4,"2985721000006119","30169000","1226997019","termsearch"
NA,"Hearing loss",NA,"Functional hearing loss",NA,68,"Diseases of the Ear",4,"2985711000006110","30169000","1226996011","termsearch"
NA,"Hearing loss",NA,"Hearing loss NOS",NA,68,"Diseases of the Ear",4,"883901000006119","679391000000103","883901000006119","termsearch"
NA,"Hearing loss",NA,"Hearing loss NOS",NA,68,"Diseases of the Ear",4,"989081000006119","15188001","989081000006119","termsearch"
NA,"Hearing loss",NA,"Impaired hearing",NA,68,"Diseases of the Ear",4,"2740701000006119","15188001","477218019","termsearch"
NA,"Hearing loss",NA,"Inner ear hearing loss",NA,68,"Diseases of the Ear",4,"3890861000006112","85571008","1235049018","termsearch"
NA,"Hearing loss",NA,"MHL - Mixed hearing loss",NA,68,"Diseases of the Ear",4,"3761251000006115","77507001","1234120019","termsearch"
NA,"Hearing loss",NA,"Mixed conductive AND sensorineural hearing loss",NA,68,"Diseases of the Ear",4,"3761211000006116","77507001","128669010","termsearch"
NA,"Hearing loss",NA,"Mixed deafness",NA,68,"Diseases of the Ear",4,"1234121015","77507001","1234121015","termsearch"
NA,"Hearing loss",NA,"NIHL - Noise-induced hearing loss",NA,68,"Diseases of the Ear",4,"3693771000006111","73415002","502427012","termsearch"
NA,"Hearing loss",NA,"NOHL - Non-organic hearing loss",NA,68,"Diseases of the Ear",4,"2985691000006112","30169000","1226994014","termsearch"
NA,"Hearing loss",NA,"Non-organic hearing loss",NA,68,"Diseases of the Ear",4,"2985701000006112","30169000","1226995010","termsearch"
NA,"Hearing loss",NA,"Profound BSNHL (bilateral sensorineural hearing loss)",NA,68,"Diseases of the Ear",4,"8306171000006110","877191000000104","2310371000000114","termsearch"
NA,"Hearing loss",NA,"Reason for referral: Hearing Problems/Loss",NA,68,"Diseases of the Ear",4,"1776751000006116","1776751000006100","1776751000006116","termsearch"
NA,"Hearing loss",NA,"Retrocochlear hearing loss",NA,68,"Diseases of the Ear",4,"3693061000006119","73371001","502416010","termsearch"
NA,"Hearing loss",NA,"SNHL - Sensorineural hearing loss",NA,68,"Diseases of the Ear",4,"3486111000006112","60700002","1232124012","termsearch"
NA,"Hearing loss",NA,"Sensorineural deafness",NA,68,"Diseases of the Ear",4,"100854015","60700002","100854015","termsearch"
NA,"Hearing loss",NA,"Sensory-neural hearing loss",NA,68,"Diseases of the Ear",4,"3486101000006114","60700002","1232123018","termsearch"
NA,"Hearing loss",NA,"Severe hearing loss",NA,68,"Diseases of the Ear",4,"7976771000006115","3561000119106","3023143010","termsearch"
NA,"Hearing loss",NA,"Sudden hearing loss NOS",NA,68,"Diseases of the Ear",4,"883831000006117","643761000000109","883831000006117","termsearch"
NA,"Hearing loss",NA,"Unilateral conductive hearing loss with unrestricted hearing on the contralateral side",NA,68,"Diseases of the Ear",4,"4775301000006119","194418004","2821126011","termsearch"
NA,"Hearing loss",NA,"Unilateral mixed conductive and sensorineural hearing loss with unrestricted hearing on the contralateral side",NA,68,"Diseases of the Ear",4,"4775371000006113","194428008","2821036017","termsearch"
NA,"Hearing loss",NA,"Unilateral sensorineural hearing loss with unrestricted hearing on the contralateral side",NA,68,"Diseases of the Ear",4,"4775341000006117","194425006","2820989012","termsearch"
"","Hearing loss","","[v]adjustment and management of implanted hearing device","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"12456491000006113","416121000000101","12456491000006113","originalreadcode"
"","Hearing loss","","[v]fitting or adjustment of hearing aid","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"12457891000006112","411511000000107","927411000000113","originalreadcode"
"","Hearing loss","","attention to hearing aid","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"5754981000006118","290036002","430012018","originalreadcode"
"","Hearing loss","","bilateral deafness","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"918721000006114","918721000006105","918721000006114","originalreadcode"
"","Hearing loss","","changing hearing aid battery","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"4720481000006112","183126007","2619459016","originalreadcode"
"","Hearing loss","","deaf mutism, nec","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"12728821000006116","694231000000100","1518611000000111","originalreadcode"
"","Hearing loss","","deafness","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"918681000006119","918681000006103","918681000006119","originalreadcode"
"","Hearing loss","","deafness nos","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"12727231000006118","679391000000103","1488821000000110","originalreadcode"
"","Hearing loss","","does use hearing aid","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"423945013","285055002","423945013","description"
"","Hearing loss","","hard of hearing","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"2740721000006112","15188001","477220016","originalreadcode"
"","Hearing loss","","hearing impaired","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"982621000006118","982621000006102","982621000006118","originalreadcode"
"","Hearing loss","","hearing impairment","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"2740731000006110","15188001","477221017","originalreadcode"
"","Hearing loss","","hi - hearing impairment","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"2740771000006113","15188001","477225014","originalreadcode"
"","Hearing loss","","hl - hearing loss","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"2740761000006118","15188001","477224013","originalreadcode"
"","Hearing loss","","hoh - hard of hearing","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"2740711000006116","15188001","477219010","originalreadcode"
"","Hearing loss","","o/e - conductive deafness","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"4574411000006111","164068006","255434015","originalreadcode"
"","Hearing loss","","partial deafness","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"918711000006118","918711000006102","918711000006118","originalreadcode"
"","Hearing loss","","removal of hearing implant from middle ear","Procedure for Hearing loss",68,"Diseases of the Ear",4,"2675904017","427556004","2675904017","description"
"","Hearing loss","","unilateral deafness","Diagnosis of Hearing loss",68,"Diseases of the Ear",4,"11902971000006110","162342008","253161014","originalreadcode"
