"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Heart failure",NA,"Heart failure monitoring - co-medications",NA,69,"Diseases of the Circulatory System",2,"1539521000006114","1539521000006105","1539521000006114","termsearch"
NA,"Heart failure",NA,"Heart failure monitoring - co-morbidities",NA,69,"Diseases of the Circulatory System",2,"1539531000006112","1539531000006108","1539531000006112","termsearch"
NA,"Heart failure",NA,"Heart failure monitoring - palliative care",NA,69,"Diseases of the Circulatory System",2,"1539541000006119","1539541000006103","1539541000006119","termsearch"
NA,"Heart failure",NA,"Heart failure monitoring - specialist clinical needs",NA,69,"Diseases of the Circulatory System",2,"1539481000006114","1539481000006105","1539481000006114","termsearch"
NA,"Heart failure",NA,"Heart failure monitoring default",NA,69,"Diseases of the Circulatory System",2,"1856381000006114","1856381000006105","1856381000006114","termsearch"
NA,"Heart failure",NA,"Heart failure monitoring in primary care",NA,69,"Diseases of the Circulatory System",2,"1856361000006116","1856361000006100","1856361000006116","termsearch"
NA,"Heart failure",NA,"Heart failure monitoring in secondary care",NA,69,"Diseases of the Circulatory System",2,"1856371000006111","1856371000006107","1856371000006111","termsearch"
NA,"Heart failure",NA,"Heart failure self-management plan review",NA,69,"Diseases of the Circulatory System",2,"2115781000000114","810971000000105","2115781000000114","termsearch"
NA,"Heart failure",NA,"Left heart failure",NA,69,"Diseases of the Circulatory System",2,"3886041000006118","85232009","141303019","termsearch"
"","Heart failure","","admit heart failure emergency","History of Heart failure",69,"Diseases of the Circulatory System",2,"12490061000006118","416683003","2549208013","originalreadcode"
"","Heart failure","","asthma - cardiac","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"3669421000006118","71892000","1495417010","originalreadcode"
"","Heart failure","","biventricular failure","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"4005301000006110","92506005","510016018","originalreadcode"
"","Heart failure","","congestive cardiac failure","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"3182541000006117","42343007","493287011","originalreadcode"
"","Heart failure","","impaired left ventricular function","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"784191000006110","275514001","411506018","description"
"1O1..00","Heart failure","9913","Heart failure confirmed","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"1488804017","395105005","1488804017","cleansedreadcode"
"388D.00","Heart failure","46672","New York Heart Assoc classification heart failure symptoms","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"833381000006119","762994006","3637504017","cleansedreadcode"
"661M500","Heart failure","106198","Heart failure self-management plan agreed","History of Heart failure",69,"Diseases of the Circulatory System",2,"2117931000000116","812001000000102","2117931000000116","cleansedreadcode"
"662T.00","Heart failure","12366","Congestive heart failure monitoring","History of Heart failure",69,"Diseases of the Circulatory System",2,"216184014","134378009","216184014","cleansedreadcode"
"662W.00","Heart failure","30779","Heart failure annual review","History of Heart failure",69,"Diseases of the Circulatory System",2,"1484918019","390885007","1484918019","cleansedreadcode"
"662f.00","Heart failure","18853","New York Heart Association classification - class I","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"2616470012","420300004","2616470012","cleansedreadcode"
"662g.00","Heart failure","13189","New York Heart Association classification - class II","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"2616471011","421704003","2616471011","cleansedreadcode"
"662h.00","Heart failure","19066","New York Heart Association classification - class III","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"2616472016","420913000","2616472016","cleansedreadcode"
"662i.00","Heart failure","51214","New York Heart Association classification - class IV","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"2616473014","422293003","2616473014","cleansedreadcode"
"662p.00","Heart failure","83502","Heart failure 6 month review","History of Heart failure",69,"Diseases of the Circulatory System",2,"404741000000119","247361000000100","404741000000119","cleansedreadcode"
"679W100","Heart failure","105002","Education about deteriorating heart failure","History of Heart failure",69,"Diseases of the Circulatory System",2,"2122191000000110","813991000000101","2122191000000110","cleansedreadcode"
"679X.00","Heart failure","95835","Heart failure education","History of Heart failure",69,"Diseases of the Circulatory System",2,"2645623019","423475008","2645623019","cleansedreadcode"
"8B29.00","Heart failure","24503","Cardiac failure therapy","Diagnosis of Heart failure",69,"Diseases of the Circulatory System",2,"451426015","308118002","451426015","cleansedreadcode"
"8CL3.00","Heart failure","32945","Heart failure care plan discussed with patient","History of Heart failure",69,"Diseases of the Circulatory System",2,"308301000000118","872361000000105","2253411000000117","cleansedreadcode"
"8CMK.00","Heart failure","103732","Has heart failure management plan","History of Heart failure",69,"Diseases of the Circulatory System",2,"1746171000000119","781051000000108","1746171000000119","cleansedreadcode"
"8CMW800","Heart failure","106008","Heart failure clinical pathway","History of Heart failure",69,"Diseases of the Circulatory System",2,"2205951000000117","851521000000102","2205951000000117","cleansedreadcode"
"8CeC.00","Heart failure","105542","Preferred place of care for next exacerbation heart failure","History of Heart failure",69,"Diseases of the Circulatory System",2,"1784061000006118","789621000000105","1765351000000114","cleansedreadcode"
"8H2S.00","Heart failure","32898","Admit heart failure emergency","History of Heart failure",69,"Diseases of the Circulatory System",2,"2549208013","416683003","3082850014","cleansedreadcode"
"8HBE.00","Heart failure","17851","Heart failure follow-up","History of Heart failure",69,"Diseases of the Circulatory System",2,"1484917012","390884006","1484917012","cleansedreadcode"
"8HHz.00","Heart failure","70619","Referral to heart failure exercise programme","History of Heart failure",69,"Diseases of the Circulatory System",2,"308041000000118","704095000","3011242019","cleansedreadcode"
"8Hk0.00","Heart failure","71235","Referred to heart failure education group","History of Heart failure",69,"Diseases of the Circulatory System",2,"311561000000117","203791000000106","311561000000117","cleansedreadcode"
"9N2p.00","Heart failure","19002","Seen by community heart failure nurse","History of Heart failure",69,"Diseases of the Circulatory System",2,"2548316014","417359009","2548316014","cleansedreadcode"
"9N6T.00","Heart failure","69062","Referred by heart failure nurse specialist","History of Heart failure",69,"Diseases of the Circulatory System",2,"303361000000111","200171000000102","303361000000111","cleansedreadcode"
"9On..00","Heart failure","18793","Left ventricular dysfunction monitoring administration","History of Heart failure",69,"Diseases of the Circulatory System",2,"226181000000110","713781000000103","1565021000000117","cleansedreadcode"
"9On0.00","Heart failure","60710","Left ventricular dysfunction monitoring first letter","History of Heart failure",69,"Diseases of the Circulatory System",2,"2533628012","414586001","2533628012","cleansedreadcode"
"9On1.00","Heart failure","60721","Left ventricular dysfunction monitoring second letter","History of Heart failure",69,"Diseases of the Circulatory System",2,"2533629016","414588000","2533629016","cleansedreadcode"
