"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"7L1f.00","Hepatic failure","88994","Compensation for liver failure","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"538081000000115","773411000000107","1726971000000115","cleansedreadcode"
"7L1fz00","Hepatic failure","97650","Compensation for liver failure NOS","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"538101000000114","773411000000107","1726971000000115","cleansedreadcode"
"A700.00","Hepatic failure","55962","Viral hepatitis A with coma","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"286858013","16060001","3008400017","cleansedreadcode"
"A702.00","Hepatic failure","69053","Viral hepatitis B with coma","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"286862019","26206000","3008554017","cleansedreadcode"
"A704.00","Hepatic failure","69552","Other specified viral hepatitis with coma","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"286867013","3738000","7302012","cleansedreadcode"
"A704000","Hepatic failure","65050","Viral hepatitis C with coma","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"286868015","186628001","286868015","cleansedreadcode"
"A704z00","Hepatic failure","89587","Other specified viral hepatitis with hepatic coma NOS","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"286869011","3738000","7302012","cleansedreadcode"
"J60..00","Hepatic failure","48488","Acute and subacute liver necrosis","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303376017","197268000","303376017","cleansedreadcode"
"J600.00","Hepatic failure","41480","Acute necrosis of liver","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303377014","197269008","303377014","cleansedreadcode"
"J600000","Hepatic failure","6690","Acute hepatic failure","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303381014","197270009","303381014","cleansedreadcode"
"J600011","Hepatic failure","39945","Acute liver failure","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303379012","197270009","303379012","cleansedreadcode"
"J600200","Hepatic failure","53704","Acute yellow atrophy","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"2619492010","197269008","2619492010","cleansedreadcode"
"J600z00","Hepatic failure","55637","Acute necrosis of liver NOS","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303385017","197269008","303377014","cleansedreadcode"
"J601.00","Hepatic failure","57324","Subacute necrosis of liver","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303387013","197274000","303387013","cleansedreadcode"
"J601000","Hepatic failure","26490","Subacute hepatic failure","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303388015","197275004","303388015","cleansedreadcode"
"J601200","Hepatic failure","69313","Subacute yellow atrophy","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303389011","197276003","303389011","cleansedreadcode"
"J601z00","Hepatic failure","69367","Subacute necrosis of liver NOS","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303391015","235856003","353559010","cleansedreadcode"
"J60z.00","Hepatic failure","65067","Acute and subacute liver necrosis NOS","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"303392010","197268000","303376017","cleansedreadcode"
"J613000","Hepatic failure","17330","Alcoholic hepatic failure","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"353595019","235881000","353595019","cleansedreadcode"
"J622.00","Hepatic failure","23511","Hepatic coma","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"120980011","72836002","120980011","cleansedreadcode"
"J622.11","Hepatic failure","22411","Encephalopathy - hepatic","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"221131000000118","13920009","23734015","cleansedreadcode"
"J625.00","Hepatic failure","24901","[X] Hepatic failure","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"358961000006119","59927004","99549014","cleansedreadcode"
"J625.11","Hepatic failure","21769","[X] Liver failure","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"359011000006113","59927004","498583014","cleansedreadcode"
"J62y.11","Hepatic failure","56070","Hepatic failure NOS","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"353597010","59927004","99549014","cleansedreadcode"
"J62y.12","Hepatic failure","23775","Liver failure NOS","Diagnosis of Hepatic failure",70,"Diseases of the Digestive System",3,"353596018","59927004","498583014","cleansedreadcode"
