"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Hodgkin Lymphoma",NA,"Hodgkin lymphoma, lymphocyte-rich",NA,73,"Cancers",1,"2663377018","118607005","2663377018","termsearch"
NA,"Hodgkin Lymphoma",NA,"Hodgkin's paragranuloma of lymph nodes of multiple sites",NA,73,"Cancers",1,"289626018","188531003","289626018","termsearch"
NA,"Hodgkin Lymphoma",NA,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm",NA,73,"Cancers",1,"826901000006119","188558005","289654013","termsearch"
"","Hodgkin Lymphoma","","[m]hodgkin's disease, nodular sclerosis nos","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"12455831000006115","52248008","310051000006114","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin lymphoma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"2730231000006116","14537002","195620018","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"2730241000006114","14537002","24700011","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease nos of intra-abdominal lymph nodes","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"11926831000006111","118599009","826141000006119","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease nos of intrathoracic lymph nodes","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"11926851000006116","118599009","826161000006115","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease nos of lymph nodes inguinal region and leg","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"11926861000006119","118599009","826171000006110","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease nos of lymph nodes of axilla and arm","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"11926871000006114","118599009","826181000006113","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease nos of lymph nodes of head, face and neck","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"11926881000006112","118599009","826191000006111","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease nos of lymph nodes of multiple sites","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"11926891000006110","118599009","826201000006114","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease nos of spleen","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"11926901000006114","118599009","826211000006112","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease, lymphocytic depletion","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"4213441000006111","112687003","183342014","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's disease, mixed cellularity","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"3169171000006110","41529000","69276015","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's granuloma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"3706151000006119","74189002","123200019","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's paragranuloma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"12704881000006116","118605002","826681000006115","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's sarcoma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"3258391000006114","46923007","78213013","originalreadcode"
"","Hodgkin Lymphoma","","hodgkin's, lymphocytic-histiocytic predominance unspec site","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"11926921000006116","118607005","826991000006114","originalreadcode"
"B61..00","Hodgkin Lymphoma","2462","Hodgkin's disease","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"2663473018","118599009","2663473018","cleansedreadcode"
"B61..11","Hodgkin Lymphoma","104291","Hodgkin lymphoma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"1815031000006110","118599009","2663473018","cleansedreadcode"
"B610.00","Hodgkin Lymphoma","65489","Hodgkin's paragranuloma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826681000006115","118605002","202988019","cleansedreadcode"
"B610100","Hodgkin Lymphoma","100423","Hodgkin's paragranuloma of lymph nodes of head, face, neck","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826751000006118","93542008","154855017","cleansedreadcode"
"B610300","Hodgkin Lymphoma","98840","Hodgkin's paragranuloma of intra-abdominal lymph nodes","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289621011","93493001","3635497016","cleansedreadcode"
"B611.00","Hodgkin Lymphoma","44196","Hodgkin's granuloma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"2663476014","118602004","2663476014","cleansedreadcode"
"B611100","Hodgkin Lymphoma","98909","Hodgkin's granuloma of lymph nodes of head, face and neck","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289629013","188534006","289629013","cleansedreadcode"
"B612.00","Hodgkin Lymphoma","64036","Hodgkin's sarcoma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"2663376010","118606001","2663376010","cleansedreadcode"
"B612400","Hodgkin Lymphoma","68039","Hodgkin's sarcoma of lymph nodes of axilla and upper limb","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289643015","188547001","289643015","cleansedreadcode"
"B613.00","Hodgkin Lymphoma","38939","Hodgkin's disease, lymphocytic-histiocytic predominance","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826261000006110","118607005","177026017","cleansedreadcode"
"B613000","Hodgkin Lymphoma","71142","Hodgkin's, lymphocytic-histiocytic predominance unspec site","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826991000006114","118607005","177026017","cleansedreadcode"
"B613100","Hodgkin Lymphoma","68330","Hodgkin's, lymphocytic-histiocytic pred of head, face, neck","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826951000006115","188554007","289650016","cleansedreadcode"
"B613200","Hodgkin Lymphoma","92245","Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826941000006117","93495008","154777010","cleansedreadcode"
"B613300","Hodgkin Lymphoma","73532","Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826921000006112","93493001","154775019","cleansedreadcode"
"B613500","Hodgkin Lymphoma","93951","Hodgkin's, lymphocytic-histiocytic pred inguinal and leg","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826911000006116","188559002","289655014","cleansedreadcode"
"B613600","Hodgkin Lymphoma","95338","Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826931000006110","93494007","154776018","cleansedreadcode"
"B613700","Hodgkin Lymphoma","106911","Hodgkin's, lymphocytic-histiocytic predominance of spleen","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289657018","93500006","154785018","cleansedreadcode"
"B613800","Hodgkin Lymphoma","104743","Hodgkin's, lymphocytic-histiocytic pred of multiple sites","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826961000006118","188562004","289658011","cleansedreadcode"
"B613z00","Hodgkin Lymphoma","29876","Hodgkin's, lymphocytic-histiocytic predominance NOS","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289659015","118607005","177026017","cleansedreadcode"
"B614.00","Hodgkin Lymphoma","29178","Hodgkin's disease, nodular sclerosis","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"1220414014","118608000","1220414014","cleansedreadcode"
"B614000","Hodgkin Lymphoma","57225","Hodgkin's disease, nodular sclerosis of unspecified site","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289660013","118608000","177027014","cleansedreadcode"
"B614100","Hodgkin Lymphoma","55303","Hodgkin's nodular sclerosis of head, face and neck","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826611000006110","188565002","289661012","cleansedreadcode"
"B614200","Hodgkin Lymphoma","67506","Hodgkin's nodular sclerosis of intrathoracic lymph nodes","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826651000006111","188566001","289662017","cleansedreadcode"
"B614300","Hodgkin Lymphoma","61149","Hodgkin's nodular sclerosis of intra-abdominal lymph nodes","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826631000006116","188567005","289663010","cleansedreadcode"
"B614400","Hodgkin Lymphoma","65483","Hodgkin's nodular sclerosis of lymph nodes of axilla and arm","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826661000006113","188568000","289664016","cleansedreadcode"
"B614700","Hodgkin Lymphoma","105472","Hodgkin's disease, nodular sclerosis of spleen","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"154811011","93518009","154811011","cleansedreadcode"
"B614800","Hodgkin Lymphoma","19140","Hodgkin's nodular sclerosis of lymph nodes of multiple sites","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826671000006118","188572001","289668018","cleansedreadcode"
"B614z00","Hodgkin Lymphoma","63054","Hodgkin's disease, nodular sclerosis NOS","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289669014","118608000","177027014","cleansedreadcode"
"B615.00","Hodgkin Lymphoma","49605","Hodgkin's disease, mixed cellularity","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"2663461018","118609008","2663461018","cleansedreadcode"
"B615000","Hodgkin Lymphoma","97863","Hodgkin's disease, mixed cellularity of unspecified site","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289670010","118609008","177028016","cleansedreadcode"
"B615100","Hodgkin Lymphoma","94407","Hodgkin's mixed cellularity of lymph nodes head, face, neck","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826571000006117","188575004","289671014","cleansedreadcode"
"B615200","Hodgkin Lymphoma","58684","Hodgkin's mixed cellularity of intrathoracic lymph nodes","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826561000006112","188576003","289672019","cleansedreadcode"
"B615500","Hodgkin Lymphoma","108886","Hodgkin's mixed cellularity of lymph nodes inguinal and leg","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826581000006119","188579005","289675017","cleansedreadcode"
"B615z00","Hodgkin Lymphoma","94005","Hodgkin's disease, mixed cellularity NOS","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289679011","118609008","177028016","cleansedreadcode"
"B616.00","Hodgkin Lymphoma","67703","Hodgkin's disease, lymphocytic depletion","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"2663187010","118610003","2663187010","cleansedreadcode"
"B616000","Hodgkin Lymphoma","95049","Hodgkin's lymphocytic depletion of unspecified site","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289680014","118610003","177029012","cleansedreadcode"
"B616400","Hodgkin Lymphoma","63625","Hodgkin's lymphocytic depletion lymph nodes axilla and arm","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826471000006116","188589009","289696012","cleansedreadcode"
"B616500","Hodgkin Lymphoma","110563","Hodgkin's lymphocytic depletion lymph nodes inguinal and leg","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826481000006118","188590000","289697015","cleansedreadcode"
"B616700","Hodgkin Lymphoma","101715","Hodgkin's disease, lymphocytic depletion of spleen","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289699017","188592008","289699017","cleansedreadcode"
"B616800","Hodgkin Lymphoma","107032","Hodgkin's lymphocytic depletion lymph nodes multiple sites","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826491000006115","188593003","289700016","cleansedreadcode"
"B616z00","Hodgkin Lymphoma","101530","Hodgkin's disease, lymphocytic depletion NOS","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289701017","118610003","177029012","cleansedreadcode"
"B617.00","Hodgkin Lymphoma","104895","Nodular lymphocyte predominant Hodgkin lymphoma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"2168431000000112","118605002","177024019","cleansedreadcode"
"B618.00","Hodgkin Lymphoma","105841","Nodular sclerosis classical Hodgkin lymphoma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"1815051000006115","118608000","1220414014","cleansedreadcode"
"B619.00","Hodgkin Lymphoma","108775","Mixed cellularity classical Hodgkin lymphoma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"1815061000006118","118609008","2663461018","cleansedreadcode"
"B61B.00","Hodgkin Lymphoma","106597","Lymphocyte-rich classical Hodgkin lymphoma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"2870724014","118607005","2870724014","cleansedreadcode"
"B61C.00","Hodgkin Lymphoma","104484","Other classical Hodgkin lymphoma","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"1815091000006114","118599009","2663473018","cleansedreadcode"
"B61z.00","Hodgkin Lymphoma","53397","Hodgkin's disease NOS","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"826121000006114","118599009","2663473018","cleansedreadcode"
"B61z.11","Hodgkin Lymphoma","106349","Hodgkin lymphoma NOS","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"1815101000006115","118599009","177017015","cleansedreadcode"
"B61z000","Hodgkin Lymphoma","61662","Hodgkin's disease NOS, unspecified site","Diagnosis of Hodgkin Lymphoma",73,"Cancers",1,"289703019","118599009","177017015","cleansedreadcode"
