"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Hyperkinetic disorders","","[x]disturbance of activity and attention","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"12718211000006115","464511000000105","947331000000110","originalreadcode"
"6A61.00","Hyperkinetic disorders","101067","Attention deficit hyperactivity disorder annual review","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"1551611000000112","710071000000106","1551611000000112","cleansedreadcode"
"8BPT.00","Hyperkinetic disorders","108002","Drug therapy ADHD (attention deficit hyperactivity disorder)","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"1885221000006117","702538008","3004359016","cleansedreadcode"
"9Ngp.00","Hyperkinetic disorders","107332","On drug ther ADHD (attention deficit hyperactivity disorder)","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"1886751000006113","886371000000105","2284251000000114","cleansedreadcode"
"E2E..00","Hyperkinetic disorders","3775","Childhood hyperkinetic syndrome","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"550441000006114","406506008","2158158016","cleansedreadcode"
"E2E..11","Hyperkinetic disorders","9972","Overactive child syndrome","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"2163264017","406506008","2163264017","cleansedreadcode"
"E2E0100","Hyperkinetic disorders","9715","Attention deficit with hyperactivity","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"498881000006117","406506008","2158158016","cleansedreadcode"
"E2E1.00","Hyperkinetic disorders","58069","Hyperkinesis with developmental delay","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"295622013","192131001","295622013","cleansedreadcode"
"E2E2.00","Hyperkinetic disorders","45263","Hyperkinetic conduct disorder","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"295623015","192132008","295623015","cleansedreadcode"
"E2Ey.00","Hyperkinetic disorders","25469","Other hyperkinetic manifestation","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"295624014","406506008","2158158016","cleansedreadcode"
"E2Ez.00","Hyperkinetic disorders","41769","Hyperkinetic syndrome NOS","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"295625010","406506008","2158158016","cleansedreadcode"
"Eu84400","Hyperkinetic disorders","52602","[X]Overactive disorder assoc mental retard/stereotype movts","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"417681000006116","35919005","59939011","cleansedreadcode"
"Eu90.00","Hyperkinetic disorders","1458","[X]Hyperkinetic disorders","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"389281000006118","406506008","2158158016","cleansedreadcode"
"Eu90000","Hyperkinetic disorders","6512","[X]Disturbance of activity and attention","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"296687014","464511000000105","947331000000110","cleansedreadcode"
"Eu90011","Hyperkinetic disorders","6519","[X]Attention deficit hyperactivity disorder","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"366481000006113","406506008","2158158016","cleansedreadcode"
"Eu90100","Hyperkinetic disorders","33505","[X]Hyperkinetic conduct disorder","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"389251000006114","192132008","295623015","cleansedreadcode"
"Eu90111","Hyperkinetic disorders","45799","[X]Hyperkinetic disorder associated with conduct disorder","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"389261000006111","192132008","295623015","cleansedreadcode"
"Eu90y00","Hyperkinetic disorders","6510","[X]Other hyperkinetic disorders","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"296689012","406506008","2158158016","cleansedreadcode"
"Eu90z00","Hyperkinetic disorders","50015","[X]Hyperkinetic disorder, unspecified","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"296690015","406506008","2158158016","cleansedreadcode"
"Eu90z11","Hyperkinetic disorders","97421","[X]Hyperkinetic reaction of childhood or adolescence NOS","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"389291000006115","406506008","2158158016","cleansedreadcode"
"Eu90z12","Hyperkinetic disorders","96770","[X]Hyperkinetic syndrome NOS","Diagnosis of Hyperkinetic disorders",74,"Mental Health Disorders",11,"389301000006119","406506008","2158158016","cleansedreadcode"
