"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Hyperparathyroidism","","hyperparathyroid bone disease","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"11926961000006110","203471008","830981000006111","originalreadcode"
"C120.00","Hyperparathyroidism","3559","Hyperparathyroidism","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"111289013","66999008","111289013","cleansedreadcode"
"C120.11","Hyperparathyroidism","49456","Osteitis fibrosa cystica","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"41211000006118","84727000","140466019","cleansedreadcode"
"C120.12","Hyperparathyroidism","4116","Von Recklinghausen's bone disease","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"63791000006110","84727000","1234973018","cleansedreadcode"
"C120000","Hyperparathyroidism","18740","Primary hyperparathyroidism","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"60663012","36348003","60663012","cleansedreadcode"
"C120100","Hyperparathyroidism","73934","Hyperparathyroid bone disease","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"830981000006111","84727000","140459015","cleansedreadcode"
"C120111","Hyperparathyroidism","19457","Osteitis fibrosa cystica","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"140466019","84727000","140466019","cleansedreadcode"
"C120112","Hyperparathyroidism","73923","Von Recklinghausen's bone disease","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"1234973018","84727000","1234973018","cleansedreadcode"
"C120200","Hyperparathyroidism","105537","Tertiary hyperparathyroidism","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"129770011","78200003","129770011","cleansedreadcode"
"C1z3100","Hyperparathyroidism","65478","Ectopic hyperparathyroidism","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"49080014","29326002","49080014","cleansedreadcode"
"Cyu4100","Hyperparathyroidism","53819","[X]Other hyperparathyroidism","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"293766019","66999008","111289013","cleansedreadcode"
"K08y100","Hyperparathyroidism","17339","Secondary hyperparathyroidism","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"151534010","91478007","151534010","cleansedreadcode"
"N332500","Hyperparathyroidism","56524","Brown tumour of hyperparathyroidism","Diagnosis of Hyperparathyroidism",75,"Diseases of the Endocrine System",5,"312190010","203471008","312190010","cleansedreadcode"
