"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Hypertension",NA,"Malignant hypertension",NA,77,"Diseases of the Circulatory System",2,"3642801000006112","70272006","116721012","termsearch"
NA,"Hypertension",NA,"Malignant hypertension",NA,77,"Diseases of the Circulatory System",2,"884121000006111","78975002","884121000006111","termsearch"
NA,"Hypertension",NA,"Preg.+ pre-existing hypertensn",NA,77,"Diseases of the Circulatory System",2,"887811000006117","198942000","887811000006117","termsearch"
NA,"Hypertension",NA,"[RFC] Hypertension",NA,77,"Diseases of the Circulatory System",2,"909441000006118","909441000006102","909441000006118","termsearch"
"","Hypertension","","adverse reaction to antihypertensives nos","Hypertension (3)",77,"Diseases of the Circulatory System",2,"12726241000006113","674801000000102","1479611000000118","originalreadcode"
"","Hypertension","","adverse reaction to other antihypertensives","Hypertension (3)",77,"Diseases of the Circulatory System",2,"12726231000006115","674791000000101","1479581000000112","originalreadcode"
"","Hypertension","","borderline hyperten:yearly obs","Hypertension (3)",77,"Diseases of the Circulatory System",2,"12483081000006115","170574005","264467014","originalreadcode"
"","Hypertension","","hypertension annual review","Hypertension (3)",77,"Diseases of the Circulatory System",2,"790031000006119","790031000006103","790031000006119","originalreadcode"
"","Hypertension","","hypertension treatm. started","Hypertension (3)",77,"Diseases of the Circulatory System",2,"12488211000006112","170586008","264485019","originalreadcode"
"","Hypertension","","hypertensive treatm.changed","Hypertension (3)",77,"Diseases of the Circulatory System",2,"12487991000006113","170587004","264486018","originalreadcode"
"2126100","Hypertension","3269","Hypertension resolved","History of hypertension (1)",77,"Diseases of the Circulatory System",2,"790131000006118","162659009","253532015","cleansedreadcode"
"212K.00","Hypertension","19342","Hypertension resolved","History of hypertension (1)",77,"Diseases of the Circulatory System",2,"253532015","162659009","253532015","cleansedreadcode"
"6146200","Hypertension","32976","Hypertension induced by oral contraceptive pill","Secondary hypertension (4)",77,"Diseases of the Circulatory System",2,"262960017","169465000","262960017","cleansedreadcode"
"6624","Hypertension","8296","Borderline hyperten:yearly obs","Hypertension (3)",77,"Diseases of the Circulatory System",2,"264467014","170574005","2692347012","originalreadcode"
"6627","Hypertension","16565","Good hypertension control","Hypertension (3)",77,"Diseases of the Circulatory System",2,"264471012","170577003","264471012","originalreadcode"
"6628","Hypertension","27511","Poor hypertension control","Hypertension (3)",77,"Diseases of the Circulatory System",2,"264472017","170578008","264472017","originalreadcode"
"662F.00","Hypertension","21826","Hypertension treatm. started","Hypertension (3)",77,"Diseases of the Circulatory System",2,"264485019","170586008","2694699015","cleansedreadcode"
"662G.00","Hypertension","13188","Hypertensive treatm.changed","Hypertension (3)",77,"Diseases of the Circulatory System",2,"264486018","170587004","2871342011","cleansedreadcode"
"662O.00","Hypertension","3425","On treatment for hypertension","Hypertension (3)",77,"Diseases of the Circulatory System",2,"443764015","302192008","443764015","cleansedreadcode"
"662b.00","Hypertension","18590","Moderate hypertension control","Hypertension (3)",77,"Diseases of the Circulatory System",2,"1780318013","401117004","1780318013","cleansedreadcode"
"662c.00","Hypertension","18482","Hypertension six month review","Hypertension (3)",77,"Diseases of the Circulatory System",2,"1780253016","401048005","1780253016","cleansedreadcode"
"662d.00","Hypertension","19070","Hypertension annual review","Hypertension (3)",77,"Diseases of the Circulatory System",2,"1780319017","401118009","1780319017","cleansedreadcode"
"662r.00","Hypertension","95359","Trial withdrawal of antihypertensive therapy","Hypertension (3)",77,"Diseases of the Circulatory System",2,"530221000000112","299561000000105","530221000000112","cleansedreadcode"
"7Q01.00","Hypertension","85944","High cost hypertension drugs","Hypertension (3)",77,"Diseases of the Circulatory System",2,"350601000000116","220901000000101","350601000000116","cleansedreadcode"
"8B26.00","Hypertension","18057","Antihypertensive therapy","Hypertension (3)",77,"Diseases of the Circulatory System",2,"451424017","308116003","451424017","cleansedreadcode"
"8BL0.00","Hypertension","11056","Patient on maximal tolerated antihypertensive therapy","Hypertension (3)",77,"Diseases of the Circulatory System",2,"2159168015","407567007","2159168015","cleansedreadcode"
"8I3N.00","Hypertension","22333","Hypertension treatment refused","Hypertension (3)",77,"Diseases of the Circulatory System",2,"1780252014","401047000","1780252014","cleansedreadcode"
"9OI9.00","Hypertension","66645","Hypertens.monitor deleted","History of hypertension (1)",77,"Diseases of the Circulatory System",2,"789981000006111","185724004","285723013","cleansedreadcode"
"F404200","Hypertension","37086","Blind hypertensive eye","Hypertension (3)",77,"Diseases of the Circulatory System",2,"1529013","264008","1529013","cleansedreadcode"
"F421300","Hypertension","6702","Hypertensive retinopathy","Hypertension (3)",77,"Diseases of the Circulatory System",2,"12496011","6962006","12496011","cleansedreadcode"
"G2...00","Hypertension","204","Hypertensive disease","Hypertension (3)",77,"Diseases of the Circulatory System",2,"64168014","38341003","64168014","cleansedreadcode"
"G2...11","Hypertension","8732","BP - hypertensive disease","Hypertension (3)",77,"Diseases of the Circulatory System",2,"523801000006119","38341003","64168014","cleansedreadcode"
"G20..00","Hypertension","799","Essential hypertension","Hypertension (3)",77,"Diseases of the Circulatory System",2,"99042012","59621000","99042012","cleansedreadcode"
"G200.00","Hypertension","15377","Malignant essential hypertension","Hypertension (3)",77,"Diseases of the Circulatory System",2,"131046010","78975002","131046010","cleansedreadcode"
"G201.00","Hypertension","1894","Benign essential hypertension","Hypertension (3)",77,"Diseases of the Circulatory System",2,"3135013","1201005","3135013","cleansedreadcode"
"G202.00","Hypertension","4372","Systolic hypertension","Hypertension (3)",77,"Diseases of the Circulatory System",2,"93494011","56218007","93494011","cleansedreadcode"
"G203.00","Hypertension","83473","Diastolic hypertension","Hypertension (3)",77,"Diseases of the Circulatory System",2,"80224019","48146000","80224019","cleansedreadcode"
"G20z.00","Hypertension","10818","Essential hypertension NOS","Hypertension (3)",77,"Diseases of the Circulatory System",2,"395751018","59621000","99042012","cleansedreadcode"
"G20z.11","Hypertension","3712","Hypertension NOS","Hypertension (3)",77,"Diseases of the Circulatory System",2,"790121000006116","38341003","64176011","cleansedreadcode"
