"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"C390.00","Immunodeficiencies","44147","Deficiencies of humoral immunity","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"398902012","267459007","398902012","cleansedreadcode"
"C390.11","Immunodeficiencies","35682","Agammaglobulinaemia","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"452781013","119249001","452781013","cleansedreadcode"
"C390000","Immunodeficiencies","15137","Hypogammaglobulinaemia NOS","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293658016","119250001","452792014","cleansedreadcode"
"C390100","Immunodeficiencies","8548","Selective IgA immunodeficiency","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293660019","190979003","293660019","cleansedreadcode"
"C390200","Immunodeficiencies","18701","Selective IgM immunodeficiency","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293662010","190980000","293662010","cleansedreadcode"
"C390300","Immunodeficiencies","18700","Selective IgG immunodeficiency","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293665012","190981001","293665012","cleansedreadcode"
"C390400","Immunodeficiencies","68440","Other selective immunoglobulin deficiency","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293666013","234535004","351402018","cleansedreadcode"
"C390500","Immunodeficiencies","57161","Congenital hypogammaglobulinaemia","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"398903019","267460002","398903019","cleansedreadcode"
"C390511","Immunodeficiencies","65603","Bruton's agammaglobulinaemia","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"500241011","65880007","500241011","cleansedreadcode"
"C390512","Immunodeficiencies","60880","Congenital X-linked agammaglobulinaemia","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"589121000006113","65880007","500240012","cleansedreadcode"
"C390600","Immunodeficiencies","69373","Immunodeficiency with IgM hypergammaglobulinaemia","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"1216993016","82286005","1216993016","cleansedreadcode"
"C390700","Immunodeficiencies","57322","Common variable immunodeficiency","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"574941000006114","23238000","481559011","cleansedreadcode"
"C390800","Immunodeficiencies","92569","Transient infant hypogammaglobulinaemia","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"96071000006117","88714009","508154013","cleansedreadcode"
"C390900","Immunodeficiencies","62598","Agammaglobulinaemia NEC","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293678012","119249001","452781013","cleansedreadcode"
"C390A00","Immunodeficiencies","69184","Dysimmunoglobulinaemia NEC","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293679016","103075007","166572019","cleansedreadcode"
"C390A11","Immunodeficiencies","43653","Dysgammaglobulinaemia NEC","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"633031000006112","103075007","166572019","cleansedreadcode"
"C390B00","Immunodeficiencies","60026","Antibod def wth nr-norm imunoglob/or wth hyperimunoglobaemia","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"487321000006110","190986006","293682014","cleansedreadcode"
"C390y00","Immunodeficiencies","69854","Other specified deficiency of humoral immunity","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293683016","103075007","166572019","cleansedreadcode"
"C390z00","Immunodeficiencies","16295","Deficiency of humoral immunity NOS","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293684010","103075007","166572019","cleansedreadcode"
"C391.00","Immunodeficiencies","48307","Deficiencies of cell-mediated immunity","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"1786202010","398293003","1786202010","cleansedreadcode"
"C391000","Immunodeficiencies","50665","Predominantly T-cell immuno-deficiency NOS","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"398905014","398293003","1777833015","cleansedreadcode"
"C391011","Immunodeficiencies","48035","T-lymphocyte deficiency","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"1777625018","398055000","1777625018","cleansedreadcode"
"C391012","Immunodeficiencies","60758","Cellular immunity syndrome","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"540601000006112","398271008","1777815014","cleansedreadcode"
"C391100","Immunodeficiencies","10955","Di George syndrome","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"616061000006115","767263007","3670122015","cleansedreadcode"
"C391200","Immunodeficiencies","31322","Wiskott - Aldrich syndrome","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"53821000006111","36070007","60191017","cleansedreadcode"
"C391211","Immunodeficiencies","42439","Thrombocytopenic eczema with immunodeficiency","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"100341000006117","36070007","60191017","cleansedreadcode"
"C392.00","Immunodeficiencies","62236","Combined immunity deficiency","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"574381000006116","31323000","484843018","cleansedreadcode"
"C392100","Immunodeficiencies","48293","Severe combined immunodeficiency","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"484842011","31323000","484842011","cleansedreadcode"
"C392111","Immunodeficiencies","94120","Swiss type agammaglobulinaemia","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"111721000006119","765145001","3657185019","cleansedreadcode"
"C392300","Immunodeficiencies","31541","Severe combined immunodefiency with reticular dysgenesis","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"293704019","190996002","293704019","cleansedreadcode"
"C392400","Immunodeficiencies","66073","Severe combined immunodef with low T- and B-cell numbers","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"146011000006112","190997006","293705018","cleansedreadcode"
"C392500","Immunodeficiencies","49542","Severe combined immunodef with low or normal B-cell numbers","Diagnosis of Immunodeficiencies",82,"Haematological/Immunological conditions",9,"146001000006114","190998001","293706017","cleansedreadcode"
