"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Intellectual disability",NA,"Care contact service: learning disability",NA,83,"Mental Health Disorders",11,"1873371000006115","1873371000006104","1873371000006115","termsearch"
NA,"Intellectual disability",NA,"Cause of learning disabilities",NA,83,"Mental Health Disorders",11,"1009521000006116","1009521000006100","1009521000006116","termsearch"
NA,"Intellectual disability",NA,"Cause of learning disabilities: Birth trauma",NA,83,"Mental Health Disorders",11,"1009551000006113","1009551000006109","1009551000006113","termsearch"
NA,"Intellectual disability",NA,"Cause of learning disabilities: Congenital hydrocephalus",NA,83,"Mental Health Disorders",11,"1009601000006110","1009601000006106","1009601000006110","termsearch"
NA,"Intellectual disability",NA,"Cause of learning disabilities: Congenital rubella",NA,83,"Mental Health Disorders",11,"1009661000006111","1009661000006107","1009661000006111","termsearch"
NA,"Intellectual disability",NA,"Cause of learning disabilities: Down's syndrome",NA,83,"Mental Health Disorders",11,"1009531000006118","1009531000006102","1009531000006118","termsearch"
NA,"Intellectual disability",NA,"Cause of learning disabilities: Late effect of head injury",NA,83,"Mental Health Disorders",11,"1009581000006117","1009581000006101","1009581000006117","termsearch"
NA,"Intellectual disability",NA,"Cause of learning disabilities: Microcephaly",NA,83,"Mental Health Disorders",11,"1009611000006113","1009611000006109","1009611000006113","termsearch"
NA,"Intellectual disability",NA,"Cause of learning disabilities: Other",NA,83,"Mental Health Disorders",11,"1009691000006115","1009691000006104","1009691000006115","termsearch"
NA,"Intellectual disability",NA,"Cause of learning disabilities: Unknown/despite investigation",NA,83,"Mental Health Disorders",11,"1009681000006118","1009681000006102","1009681000006118","termsearch"
NA,"Intellectual disability",NA,"Ineligib for diab. eye screening: Learning or mental disability",NA,83,"Mental Health Disorders",11,"1673591000006119","1673591000006103","1673591000006119","termsearch"
NA,"Intellectual disability",NA,"Learning disabilities: reasonable adjustments",NA,83,"Mental Health Disorders",11,"2008481000006110","2008481000006106","2008481000006110","termsearch"
NA,"Intellectual disability",NA,"Learning disability confirmed",NA,83,"Mental Health Disorders",11,"1823961000006113","1823961000006109","1823961000006113","termsearch"
NA,"Intellectual disability",NA,"Learning disability follow-up",NA,83,"Mental Health Disorders",11,"1856981000006110","1856981000006106","1856981000006110","termsearch"
NA,"Intellectual disability",NA,"Learning disability nursing",NA,83,"Mental Health Disorders",11,"2153641000000116","828341000000106","2153641000000116","termsearch"
NA,"Intellectual disability",NA,"Significant learning disability",NA,83,"Mental Health Disorders",11,"8337561000006119","931001000000105","2385981000000116","termsearch"
