"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Intervertebral disc disorders",NA,"Laminectomy",NA,84,"Musculoskeletal conditions",12,"1780401000006116","387731002","1481809019","termsearch"
NA,"Intervertebral disc disorders",NA,"Laminectomy - unspecified",NA,84,"Musculoskeletal conditions",12,"875071000006117","575091000000108","875071000006117","termsearch"
NA,"Intervertebral disc disorders",NA,"Laminectomy - unspecified",NA,84,"Musculoskeletal conditions",12,"932311000006110","932311000006106","932311000006110","termsearch"
NA,"Intervertebral disc disorders",NA,"Laminectomy site re-opening",NA,84,"Musculoskeletal conditions",12,"875081000006119","575101000000100","875081000006119","termsearch"
NA,"Intervertebral disc disorders",NA,"Laminectomy site re-opening",NA,84,"Musculoskeletal conditions",12,"932321000006119","932321000006103","932321000006119","termsearch"
NA,"Intervertebral disc disorders",NA,"Lumbar radiculopathy",NA,84,"Musculoskeletal conditions",12,"4405341000006115","128196005","206420017","termsearch"
NA,"Intervertebral disc disorders",NA,"Post laminectomy syndrome",NA,84,"Musculoskeletal conditions",12,"890921000006116","27151001","890921000006116","termsearch"
"","Intervertebral disc disorders","","other and unspecified disc disorders","Diagnosis of Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"12728091000006111","610481000000107","1350031000000115","originalreadcode"
"7J20.00","Intervertebral disc disorders","10018","Primary excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"276261011","178517008","276261011","cleansedreadcode"
"7J20000","Intervertebral disc disorders","6261","Primary laminectomy excision of cervical intervert disc","Procedure for Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"204651000006119","178518003","276263014","cleansedreadcode"
"7J20100","Intervertebral disc disorders","35008","Primary hemilaminectomy excision of cervical IV disc","Procedure for Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"210761000006117","178520000","276265019","cleansedreadcode"
"7J20200","Intervertebral disc disorders","38645","Primary fenestration excision of cervical intervert disc","Procedure for Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"210631000006117","31694007","484975019","cleansedreadcode"
"7J20300","Intervertebral disc disorders","11282","Primary anterior excis cervical IV disc & interbody fusion","Procedure for Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"209131000006117","265709001","394575012","cleansedreadcode"
"7J20400","Intervertebral disc disorders","70697","Primary posterior excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"276274017","178523003","276274017","cleansedreadcode"
"7J20600","Intervertebral disc disorders","38447","Primary anterior excision of cervical intervertebr disc NEC","Procedure for Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"209141000006110","448206004","1780431000000117","cleansedreadcode"
"7J20700","Intervertebral disc disorders","22434","Primary microdiscectomy of cervical intervertebral disc","Procedure for Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"276277012","178526006","276277012","cleansedreadcode"
"7J20800","Intervertebral disc disorders","56943","Primary laser excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders",84,"Musculoskeletal conditions",12,"451070016","307721006","451070016","cleansedreadcode"
