"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"662o.00","Intracerebral haemorrhage","28914","Haemorrhagic stroke monitoring","History of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"2548554013","417506008","2548554013","cleansedreadcode"
"7004300","Intracerebral haemorrhage","7017","Evacuation of intracerebral haematoma NEC","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"265692011","10458001","279429014","cleansedreadcode"
"G61..00","Intracerebral haemorrhage","5051","Intracerebral haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"744901000006114","274100004","2819959010","cleansedreadcode"
"G61..11","Intracerebral haemorrhage","6960","CVA - cerebrovascular accid due to intracerebral haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"605471000006112","274100004","409859018","cleansedreadcode"
"G61..12","Intracerebral haemorrhage","18604","Stroke due to intracerebral haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"122371000006118","274100004","409860011","cleansedreadcode"
"G610.00","Intracerebral haemorrhage","31595","Cortical haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"495394013","49422009","495394013","cleansedreadcode"
"G611.00","Intracerebral haemorrhage","40338","Internal capsule haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"496232015","52201006","496232015","cleansedreadcode"
"G612.00","Intracerebral haemorrhage","46316","Basal nucleus haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"503791000006114","195165005","300272017","cleansedreadcode"
"G613.00","Intracerebral haemorrhage","13564","Cerebellar haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"502878012","75038005","502878012","cleansedreadcode"
"G614.00","Intracerebral haemorrhage","7912","Pontine haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"503469016","7713009","503469016","cleansedreadcode"
"G615.00","Intracerebral haemorrhage","62342","Bulbar haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"483988011","732923001","3467313018","cleansedreadcode"
"G616.00","Intracerebral haemorrhage","30045","External capsule haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"300276019","195167002","300276019","cleansedreadcode"
"G617.00","Intracerebral haemorrhage","30202","Intracerebral haemorrhage, intraventricular","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"300277011","195168007","300277011","cleansedreadcode"
"G618.00","Intracerebral haemorrhage","57315","Intracerebral haemorrhage, multiple localized","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"746571000006116","195169004","300280012","cleansedreadcode"
"G619.00","Intracerebral haemorrhage","107440","Lobar cerebral haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"345675012","230710000","345675012","cleansedreadcode"
"G61X.00","Intracerebral haemorrhage","31060","Intracerebral haemorrhage in hemisphere, unspecified","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"744921000006116","274100004","409860011","cleansedreadcode"
"G61X000","Intracerebral haemorrhage","28314","Left sided intracerebral haemorrhage, unspecified","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"748941000006115","274100004","409859018","cleansedreadcode"
"G61X100","Intracerebral haemorrhage","19201","Right sided intracerebral haemorrhage, unspecified","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"163261000006119","195168007","300277011","cleansedreadcode"
"G61z.00","Intracerebral haemorrhage","3535","Intracerebral haemorrhage NOS","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"300287010","274100004","2819959010","cleansedreadcode"
"G681.00","Intracerebral haemorrhage","48149","Sequelae of intracerebral haemorrhage","History of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"300407010","195241001","300407010","cleansedreadcode"
"G682.00","Intracerebral haemorrhage","43451","Sequelae of other nontraumatic intracranial haemorrhage","History of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"149551000006111","363302008","482447013","cleansedreadcode"
"Gyu6200","Intracerebral haemorrhage","53810","[X]Other intracerebral haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"300939013","274100004","409860011","cleansedreadcode"
"Gyu6F00","Intracerebral haemorrhage","96630","[X]Intracerebral haemorrhage in hemisphere, unspecified","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"300956017","274100004","409860011","cleansedreadcode"
"","Intracerebral haemorrhage","","[x]other intracerebral haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"11919571000006110","274100004","11919571000006110","originalreadcode"
"","Intracerebral haemorrhage","","intracerebral haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"12223101000006118","274100004","3673215016","originalreadcode"
"","Intracerebral haemorrhage","","right sided intracerebral haemorrhage, unspecified","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"12722481000006116","308128006","451441015","originalreadcode"
"","Intracerebral haemorrhage","","stroke due to intracerebral haemorrhage","Diagnosis of Intracerebral haemorrhage",85,"Diseases of the Circulatory System",2,"11903571000006110","274100004","11903571000006110","originalreadcode"
