"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"G63..11","Ischaemic stroke","57495","Infarction - precerebral","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"345639010","230692004","345639010","cleansedreadcode"
"G63y000","Ischaemic stroke","23671","Cerebral infarct due to thrombosis of precerebral arteries","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"300312010","195185009","300312010","cleansedreadcode"
"G63y100","Ischaemic stroke","24446","Cerebral infarction due to embolism of precerebral arteries","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"300313017","195186005","300313017","cleansedreadcode"
"G64..00","Ischaemic stroke","8837","Cerebral arterial occlusion","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"1222398015","20059004","1222398015","cleansedreadcode"
"G64..11","Ischaemic stroke","5363","CVA - cerebral artery occlusion","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"605461000006117","230691006","345638019","cleansedreadcode"
"G64..12","Ischaemic stroke","569","Infarction - cerebral","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"218511000000117","432504007","2770034014","cleansedreadcode"
"G64..13","Ischaemic stroke","6155","Stroke due to cerebral arterial occlusion","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"122361000006113","230691006","345638019","cleansedreadcode"
"G640.00","Ischaemic stroke","16517","Cerebral thrombosis","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"118689010","71444005","118689010","cleansedreadcode"
"G640000","Ischaemic stroke","36717","Cerebral infarction due to thrombosis of cerebral arteries","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"300321011","195189003","300321011","cleansedreadcode"
"G641.00","Ischaemic stroke","15019","Cerebral embolism","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"125470015","75543006","125470015","cleansedreadcode"
"G641.11","Ischaemic stroke","34758","Cerebral embolus","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"542831000006116","75543006","125470015","cleansedreadcode"
"G641000","Ischaemic stroke","27975","Cerebral infarction due to embolism of cerebral arteries","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"300322016","195190007","300322016","cleansedreadcode"
"G64z.00","Ischaemic stroke","3149","Cerebral infarction NOS","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"395780010","432504007","2770034014","cleansedreadcode"
"G64z.11","Ischaemic stroke","15252","Brainstem infarction NOS","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"345650013","95457000","158113017","cleansedreadcode"
"G64z.12","Ischaemic stroke","5602","Cerebellar infarction","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"158118014","95460007","158118014","cleansedreadcode"
"G64z000","Ischaemic stroke","25615","Brainstem infarction","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"524541000006117","95457000","158113017","cleansedreadcode"
"G64z100","Ischaemic stroke","47642","Wallenberg syndrome","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"57341000006119","78569004","130374019","cleansedreadcode"
"G64z111","Ischaemic stroke","5185","Lateral medullary syndrome","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"130375018","78569004","130375018","cleansedreadcode"
"G64z200","Ischaemic stroke","9985","Left sided cerebral infarction","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"451133011","307766002","451133011","cleansedreadcode"
"G64z300","Ischaemic stroke","10504","Right sided cerebral infarction","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"451134017","307767006","451134017","cleansedreadcode"
"G64z400","Ischaemic stroke","26424","Infarction of basal ganglia","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"2474651019","413102000","2474651019","cleansedreadcode"
"G683.00","Ischaemic stroke","39403","Sequelae of cerebral infarction","History of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"300411016","195243003","300411016","cleansedreadcode"
"G6W..00","Ischaemic stroke","40758","Cereb infarct due unsp occlus/stenos precerebr arteries","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"542261000006114","125081000119106","3042974014","cleansedreadcode"
"G6X..00","Ischaemic stroke","33543","Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"543141000006110","20059004","33759015","cleansedreadcode"
"Gyu6300","Ischaemic stroke","91627","[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"370701000006118","20059004","33759015","cleansedreadcode"
"Gyu6400","Ischaemic stroke","53745","[X]Other cerebral infarction","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"300941014","432504007","2770034014","cleansedreadcode"
"Gyu6G00","Ischaemic stroke","94482","[X]Cereb infarct due unsp occlus/stenos precerebr arteries","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"370661000006114","125081000119106","3042974014","cleansedreadcode"
"","Ischaemic stroke","","cerebral infarction nos","Diagnosis of Ischaemic stroke",87,"Diseases of the Circulatory System",2,"12727431000006119","682621000000105","1495311000000117","originalreadcode"
