"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"F371000","Lupus Erythematosus","44095","Polyneuropathy in disseminated lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"297542011","193178008","297542011","cleansedreadcode"
"F396100","Lupus Erythematosus","108072","Myopathy due to disseminated lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"297639014","193248005","297639014","cleansedreadcode"
"F4D3300","Lupus Erythematosus","94751","Eyelid discoid lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"660871000006118","79291003","1234339017","cleansedreadcode"
"H57y400","Lupus Erythematosus","31564","Lung disease with systemic lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"301721015","196138005","301721015","cleansedreadcode"
"K01x400","Lupus Erythematosus","47672","Nephrotic syndrome in systemic lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"677561000006119","68815009","114310015","cleansedreadcode"
"K01x411","Lupus Erythematosus","22205","Lupus nephritis","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"114310015","68815009","114310015","cleansedreadcode"
"K0B4000","Lupus Erythematosus","41148","Renal tubulo-interstitial disorder in SLE","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"177301000006114","307755009","451122013","cleansedreadcode"
"M154.00","Lupus Erythematosus","4125","Lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"308697013","200936003","308697013","cleansedreadcode"
"M154000","Lupus Erythematosus","33449","Lupus erythematosus chronicus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"308700012","200937007","308700012","cleansedreadcode"
"M154100","Lupus Erythematosus","2667","Discoid lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"308701011","200938002","308701011","cleansedreadcode"
"M154200","Lupus Erythematosus","40797","Lupus erythematosus migrans","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"308704015","200939005","308704015","cleansedreadcode"
"M154300","Lupus Erythematosus","65391","Lupus erythematosus nodularis","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"308705019","200940007","308705019","cleansedreadcode"
"M154400","Lupus Erythematosus","46148","Lupus erythematosus profundus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"25612013","15084002","25612013","cleansedreadcode"
"M154500","Lupus Erythematosus","44984","Lupus erythematosus tumidus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"308706018","200941006","308706018","cleansedreadcode"
"M154600","Lupus Erythematosus","63955","Lupus erythematosus unguium mutilans","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"308707010","200942004","308707010","cleansedreadcode"
"M154700","Lupus Erythematosus","25390","Subacute cutaneous lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"359447015","239891002","359447015","cleansedreadcode"
"M154z00","Lupus Erythematosus","7522","Lupus erythematosus NOS","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"308709013","200936003","308697013","cleansedreadcode"
"Myu7800","Lupus Erythematosus","100692","[X]Other local lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"309383019","7119001","12747019","cleansedreadcode"
"N000.00","Lupus Erythematosus","7871","Systemic lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"92208011","55464009","92208011","cleansedreadcode"
"N000000","Lupus Erythematosus","20007","Disseminated lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"92209015","55464009","92209015","cleansedreadcode"
"N000100","Lupus Erythematosus","57675","Libman-Sacks disease","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"496853017","54072008","496853017","cleansedreadcode"
"N000200","Lupus Erythematosus","36942","Drug-induced systemic lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"309405011","201436003","309405011","cleansedreadcode"
"N000300","Lupus Erythematosus","29519","Systemic lupus erythematosus with organ or sys involv","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"114251000006118","239887007","359443016","cleansedreadcode"
"N000400","Lupus Erythematosus","11920","Systemic lupus erythematosus with pericarditis","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"453243010","309762007","453243010","cleansedreadcode"
"N000600","Lupus Erythematosus","101433","Cerebral lupus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"512234017","95644001","512234017","cleansedreadcode"
"N000z00","Lupus Erythematosus","42719","Systemic lupus erythematosus NOS","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"309408013","55464009","92208011","cleansedreadcode"
"Nyu4300","Lupus Erythematosus","58706","[X]Other forms of systemic lupus erythematosus","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,"312579010","55464009","92208011","cleansedreadcode"
"ZRq8.00","Lupus Erythematosus","51798","Systemic lupus activity measure","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,NA,NA,NA,"cleansedreadcode"
"ZRq8.11","Lupus Erythematosus","106086","SLAM - Systemic lupus activity measure","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,NA,NA,NA,"cleansedreadcode"
"ZRq9.00","Lupus Erythematosus","45726","Systemic lupus erythematosus disease activity index","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,NA,NA,NA,"cleansedreadcode"
"ZRq9.11","Lupus Erythematosus","63283","SLEDAI-Sys lup ery dis act ind","Diagnosis of Lupus erythematosus (local and systemic)",91,"Musculoskeletal conditions",12,NA,NA,NA,"cleansedreadcode"
